interaction	NOM	interaction
est	VER:pres	être
les	DET:def	le
hommes	NOM	homme
qui	PRO:rel	qui
étaient	VER:impf	être
avant	ADV	avant
nous	PRO:ton	nous
ça	PRO:ton	ça
ça	PRO:ton	ça
c'	PRO:cls	ce
.	VER:cond	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
les	DET:def	le
hommes	NOM	homme
-ci	ADV	-ci
celui	PRO:dem	celui
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
roi	NOM	roi
le	DET:def	le
roi	NOM	roi
des	PRP:det	du
hommes	NOM	homme
.	NAM	<unknown>
oui	FNO	oui
ah	INT	ah
d'	PRP	un
accord	NOM	accord
ça	PRO:ton	ça
le	DET:def	le
singe	NOM	singe
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
singe	NOM	singe
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
singe	NOM	singe
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
xxx	NOM	<unknown>
regarde	VER:impe	regarder
l'	DET:def	le
éléphant	NOM	éléphant
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
l'	DET:def	le
éléphant	NOM	éléphant
là	ADV	là
l'	DET:def	le
éléphant	NOM	éléphant
regarde	VER:pres	regarder
non	FNO	non
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
un	DET:ind	un
éléphant	NOM	éléphant
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
mammouth	NOM	mammouth
tu	PRO:cls	tu
connais	VER:pres	connaître
les	DET:def	le
mammouths	NOM	mammouth
toi	PRO:ton	toi
.	NAM	<unknown>
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
mammouth	NOM	mammouth
et	KON	et
tu	PRO:cls	tu
sais	VER:pres	savoir
comment	PRO:int	comment
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
mammouth	NOM	mammouth
.	NAM	<unknown>
tu	PRO:cls	tu
connais	VER:pres	connaître
un	DET:ind	un
ma-	TRC	ma-
un	DET:ind	un
mammouth	NOM	mammouth
.	NAM	<unknown>
bah	INT	bah
non	FNO	non
c'	PRO:cls	ce
est	AUX:pres	être
mort	VER:pper	mourir
un	DET:ind	un
mammouth	NOM	mammouth
bah	INT	bah
non	FNO	non
ça	PRO:ton	ça
c'	PRO:cls	ce
est	AUX:pres	être
pas	ADV	pas
mort	VER:pper	mourir
bah	INT	bah
si	KON	si
ça	PRO:cls	ça
n'	ADV	ne
existe	VER:pres	exister
pas	ADV	pas
bon	INT	bon
on	PRO:cls	on
arrête	VER:pres	arrêter
alors	ADV	alors
.	NOM:sig	<unknown>
ouais	FNO	ouais
d'	PRP	un
accord	NOM	accord
merci	FNO	merci
