par	PRP	par
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
plein	ADV	plein
et	KON	et
bah	INT	bah
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
l'	DET:def	le
annonce	NOM	annonce
bah	INT	bah
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
des	DET:ind	un
traducteurs	NOM	traducteur
euh	INT	euh
partout	ADV	partout
ouais	FNO	ouais
mais	KON	mais
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
je	PRO:cls	je
trouve	VER:pres	trouver
ça	PRO:ton	ça
bizarre	ADJ	bizarre
je	PRO:cls	je
sais	VER:pres	savoir
l'	DET:def	le
annonce	NOM	annonce
t'	PRO:clo	te
imagine	VER:impe	imaginer
il	PRO:cls	il
répond	VER:pres	répondre
à	PRP	à
l'	DET:def	le
annonce	NOM	annonce
cherche	VER:pres	chercher
traducteur	NOM	traducteur
papou	ADJ	papou
mais	KON	mais
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
en	PRP	en
éthiopie	NOM	<unknown>
le	DET:def	le
euh	INT	euh
comme	KON	comme
il	PRO:cls	il
parle	VER:pres	parler
bien	ADV	bien
français	ADJ	français
le	DET:def	le
mec	NOM	mec
il	PRO:cls	il
parle	VER:pres	parler
le	DET:def	le
français	NOM	français
comme	KON	comme
toi	PRO:ton	toi
que	KON	que
où	PRO:int	où
ça	PRO:ton	ça
lequel	PRO:rel	lequel
le	DET:def	le
traducteur	NOM	traducteur
éthiopien	ADJ	éthiopien
merci	FNO	merci
les	DET:def	le
colonies	NOM	colonie
françaises	ADJ	français
ah	INT	ah
ouais	FNO	ouais
hein	INT	hein
donc	ADV	donc
euh	INT	euh
il	PRO:cls	il
parlait	VER:impf	parler
euh	INT	euh
incroyable	ADJ	incroyable
hum	FNO	hum
bah	INT	bah
ouais	FNO	ouais
ben	INT	ben
oui	FNO	oui
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
émission	NOM	émission
qui	PRO:rel	qui
est	VER:pres	être
vachement	ADV	vachement
bien	ADV	bien
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
et	KON	et
euh	INT	euh
zazie	NOM	<unknown>
elle	PRO:cls	elle
disait	VER:impf	dire
à	PRP	à
parce	TRC	parce
qu'	KON	que
ils	PRO:cls	il
étaient	AUX:impf	être
invités	VER:pper	inviter
hier	ADV	hier
euh	INT	euh
Adriana	NOM	<unknown>
Karembeu	ADV	<unknown>
les	DET:def	le
quatres	NOM	<unknown>
qui	PRO:rel	qui
avaient	VER:impf	avoir
quatres	NOM	<unknown>
sur	PRP	sur
tous	DET:pre	tout
ceux	PRO:dem	celui
qui	PRO:rel	qui
avaient	AUX:impf	avoir
fait	VER:pper	faire
hein	INT	hein
ils	PRO:cls	il
en	PRO:clo	en
ont	AUX:pres	avoir
passé	VER:pper	passer
que	KON	que
quatre	NUM	@card@
et	KON	et
hum	FNO	hum
parce	TRC	parce
que	KON	que
Adriana	NAM	<unknown>
Karembeu	NAM	<unknown>
à	PRP	à
un	DET:ind	un
moment	NOM	moment
le	DET:def	le
euh	INT	euh
Cissé	NAM	<unknown>
le	DET:def	le
monsieur	NOM	monsieur
qui	PRO:rel	qui
la	PRO:clo	le
recevait	VER:impf	recevoir
chez	PRP	chez
elle	PRO:ton	elle
joueur	NOM	joueur
de	PRP	de
foot	NOM	<unknown>
la	DET:def	le
famille	NOM	famille
ils	PRO:cls	il
non	FNO	non
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
dit	VER:pper	dire
ça	PRO:ton	ça
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
dit	VER:pper	dire
ça	PRO:ton	ça
aussi	ADV	aussi
c'	PRO:cls	ce
est	VER:pres	être
il	PRO:clsi	il
lui	PRO:clo	lui
a	AUX:pres	avoir
demandé	VER:pper	demander
il	PRO:clsi	il
lui	PRO:clo	lui
a	AUX:pres	avoir
demandé	VER:pper	demander
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
elle	PRO:cls	elle
faisait	VER:impf	faire
comme	KON	comme
métier	NOM	métier
et	KON	et
là	ADV	là
elle	PRO:cls	elle
a	AUX:pres	avoir
été	AUX:pper	être
très	ADV	très
très	ADV	très
embétée	VER:pper	<unknown>
euh	INT	euh
ah	INT	ah
elle	PRO:cls	elle
était	AUX:impf	être
gênée	VER:pper	gêner
parce	TRC	parce
qu'	KON	que
elle	PRO:cls	elle
a	AUX:pres	avoir
dit	VER:pper	dire
je	PRO:cls	je
suis	AUX:pres	être
payée	VER:pper	payer
à	PRP	à
être	VER:infi	être
belle	ADJ	beau
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
voilà	FNO	voilà
je	PRO:cls	je
suis	AUX:pres	être
payée	VER:pper	payer
euh	INT	euh
pour	PRP	pour
être	VER:infi	être
belle	ADJ	beau
et	KON	et
il	PRO:cls	il
comprenait	VER:impf	comprendre
pas	ADV	pas
quoi	INT	quoi
euh	INT	euh
elle	PRO:cls	elle
savait	VER:impf	savoir
pas	ADV	pas
comment	PRO:int	comment
lui	PRO:clo	lui
expliquer	VER:infi	expliquer
donc	ADV	donc
après	ADV	après
elle	PRO:cls	elle
lui	PRO:clo	lui
a	AUX:pres	avoir
expiqué	VER:pper	<unknown>
que	KON	que
chez	PRP	chez
nous	PRO:ton	nous
bah	INT	bah
les	DET:def	le
vêtements	NOM	vêtement
tout	DET:pre	tout
ça	PRO:ton	ça
ça	PRO:cls	ça
avait	VER:impf	avoir
beaucoup	ADV	beaucoup
d'	PRP	un
importance	NOM	importance
donc	ADV	donc
il	PRO:clsi	il
fallait	VER:impf	falloir
qu'	KON	que
elle	PRO:cls	elle
soit	VER:subp	être
bien	ADV	bien
coiffée	VER:pper	coiffer
bien	ADV	bien
maquillée	VER:pper	maquiller
qu'	KON	que
elle	PRO:cls	elle
porte	VER:pres	porter
les	DET:def	le
vêtements	NOM	vêtement
et	KON	et
qu'	KON	que
on	PRO:cls	on
la	PRO:clo	le
prenait	VER:impf	prendre
en	PRP	en
photo	NOM:trc	photographie
pour	PRP	pour
euh	INT	euh
voilà	FNO	voilà
et	KON	et
Zazie	NAM	<unknown>
elle	PRO:cls	elle
disait	VER:impf	dire
bah	INT	bah
j'	PRO:cls	je
ai	AUX:pres	avoir
eu	VER:pper	avoir
le	DET:def	le
même	ADJ	même
problème	NOM	problème
bah	INT	bah
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
de	PRP	de
quoi	PRO:int	quoi
être	AUX:infi	être
gêné	VER:pper	gêner
hein	INT	hein
parce	TRC	parce
que	KON	que
alors	ADV	alors
il	PRO:clsi	il
leur	PRO:clo	lui
a	AUX:pres	avoir
répondu	VER:pper	répondre
cissé	VER:pper	<unknown>
je	PRO:cls	je
usis	VER:simp	<unknown>
payée	VER:pper	payer
zazie	NOM	<unknown>
zazie	NOM	<unknown>
elle	PRO:cls	elle
est	AUX:pres	être
payée	VER:pper	payer
pour	PRP	pour
chanter	VER:infi	chanter
de	PRP	de
la	DET:def	le
merde	NOM	merde
et	KON	et
elle	PRO:cls	elle
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
voix	NOM	voix
alors	ADV	alors
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
de	PRP	de
quoi	PRO:int	quoi
être	AUX:infi	être
gêné	VER:pper	gêner
aussi	ADV	aussi
zazie	ADJ	<unknown>
zazie	NOM	<unknown>
elle	PRO:cls	elle
a	AUX:pres	avoir
dit	VER:pper	dire
euh	INT	euh
bah	INT	bah
moi	PRO:ton	moi
voilà	FNO	voilà
elle	PRO:cls	elle
a	AUX:pres	avoir
dit	VER:pper	dire
j'	PRO:cls	je
ai	AUX:pres	avoir
eu	VER:pper	avoir
le	DET:def	le
même	ADJ	même
problème	NOM	problème
que	KON	que
toi	PRO:ton	toi
moi	PRO:ton	moi
jai	NOM	<unknown>
bah	INT	bah
euh	INT	euh
que	KON	que
je	PRO:cls	je
chantais	VER:impf	chanter
et	KON	et
puis	KON	puis
que	KON	que
bah	INT	bah
quand	KON	quand
j'	PRO:cls	je
avais	AUX:impf	avoir
chanté	VER:pper	chanter
bah	INT	bah
on	PRO:cls	on
me	PRO:clo	me
donnait	VER:impf	donner
à	PRP	à
manger	VER:infi	manger
en	PRP	en
gros	ADJ	gros
euh	INT	euh
tu	PRO:cls	tu
vois	VER:pres	voir
avec	PRP	avec
les	DET:def	le
sous	PRP	sous
ça	PRO:ton	ça
euh	INT	euh
voilà	FNO	voilà
alors	ADV	alors
elle	PRO:cls	elle
disait	VER:impf	dire
j'	PRO:cls	je
ai	AUX:pres	avoir
eu	VER:pper	avoir
le	DET:def	le
même	ADJ	même
problème	NOM	problème
que	KON	que
toi	PRO:ton	toi
euh	INT	euh
moi	PRO:ton	moi
j'	PRO:cls	je
ai	AUX:pres	avoir
dis	VER:pres	dire
que	KON	que
je	PRO:cls	je
chantais	VER:impf	chanter
toi	PRO:ton	toi
tu	PRO:cls	tu
as	VER:pres	avoir
dis	VER:pres	dire
que	KON	que
tu	PRO:cls	tu
étais	VER:impf	être
belle	ADJ	beau
quoi	INT	quoi
et	KON	et
quand	KON	quand
elle	PRO:cls	elle
a	AUX:pres	avoir
chanté	VER:pper	chanter
là	ADV	là
à	PRP	à
peine	NOM	peine
fini	VER:pper	finir
hop	INT	hop
ils	PRO:cls	il
lui	PRO:clo	lui
ont	AUX:pres	avoir
donné	VER:pper	donner
à	PRP	à
manger	VER:infi	manger
ils	PRO:cls	il
lui	PRO:clo	lui
ont	AUX:pres	avoir
donné	VER:pper	donner
à	PRP	à
manger	VER:infi	manger
ils	PRO:cls	il
lui	PRO:clo	lui
ont	AUX:pres	avoir
donné	VER:pper	donner
une	DET:ind	un
a-	TRC	a-
je	PRO:cls	je
te	PRO:clo	te
jure	VER:pres	jurer
veridique	ADJ	<unknown>
qu'	KON	que
ils	PRO:cls	il
aients	VER:cond	<unknown>
alors	ADV	alors
la	DET:def	le
franchement	ADV	franchement
ah	INT	ah
ouais	FNO	ouais
ouais	FNO	ouais
ouais	FNO	ouais
oh	INT	oh
c'	PRO:cls	ce
est	VER:pres	être
trop	ADV	trop
drôle	ADJ	drôle
elle	PRO:cls	elle
avait	AUX:impf	avoir
amené	VER:pper	amener
une	DET:ind	un
toute	DET:ind	tout
petite	ADJ	petit
guitare	NOM	guitare
et	KON	et
elle	PRO:ton	elle
euh	INT	euh
ukulele	NOM	<unknown>
après	ADV	après
elle	PRO:cls	elle
leur	PRO:clo	lui
en	PRO:clo	en
a	AUX:pres	avoir
fait	VER:pper	faire
cadeau	NOM	cadeau
et	KON	et
puis	KON	puis
elle	PRO:cls	elle
a	VER:pres	avoir
ils	PRO:cls	il
se	PRO:clo	se
sont	AUX:pres	être
tous	PRO:ind	tout
vus	VER:pper	voir
en	PRP	en
vidéo	NOM	vidéo
con	ADJ	con
conférence	NOM	conférence
sauf	PRP	sauf
Karembeu	NAM	<unknown>
qui	PRO:rel	qui
a	AUX:pres	avoir
voulu	VER:pper	vouloir
retourner	VER:infi	retourner
sur	PRP	sur
place	NOM	place
elle	PRO:cls	elle
elle	PRO:cls	elle
a	AUX:pres	avoir
dit	VER:pper	dire
j'	PRO:cls	je
y	PRO:clo	y
retourne	VER:pres	retourner
moi	PRO:ton	moi
sur	PRP	sur
place	NOM	place
elle	PRO:cls	elle
a	AUX:pres	avoir
voulu	VER:pper	vouloir
retourner	VER:infi	retourner
sur	PRP	sur
place	NOM	place
quand	KON	quand
euh	INT	euh
quand	KON	quand
ils	PRO:cls	il
leurs	DET:pos	leur
ont	AUX:pres	avoir
passé	VER:pper	passer
euh	INT	euh
quand	KON	quand
ils	PRO:cls	il
ont	AUX:pres	avoir
proposé	VER:pper	proposer
de	PRP	de
repasser	VER:infi	repasser
les	DET:def	le
films	NOM	film
ah	INT	ah
je	PRO:cls	je
te	PRO:clo	te
dis	VER:pres	dire
pas	ADV	pas
le	DET:def	le
retour	NOM	retour
hein	INT	hein
olala	NOM	<unknown>
ils	PRO:cls	il
ont	AUX:pres	avoir
interviewé	VER:pper	interviewer
euh	INT	euh
tout	DET:pre	tout
tout	DET:pre	tout
les	DET:def	le
ceux	PRO:dem	celui
qui	PRO:rel	qui
y	PRO:clo	y
étaient	AUX:impf	être
allés	VER:pper	aller
et	KON	et
puis	KON	puis
ils	PRO:cls	il
leurs	DET:pos	leur
ont	AUX:pres	avoir
demandé	VER:pper	demander
de	PRP	de
faire	VER:infi	faire
un	DET:ind	un
petit	ADJ	petit
message	NOM	message
et	KON	et
puis	KON	puis
ils	PRO:cls	il
ont	AUX:pres	avoir
tous	PRO:ind	tout
fait	VER:pper	faire
des	DET:ind	un
petis	NOM	<unknown>
cadeaux	NOM	cadeau
tu	PRO:cls	tu
sais	VER:pres	savoir
des	DET:ind	un
petits	ADJ	petit
euh	INT	euh
cadeaux	NOM	cadeau
puis	KON	puis
l'	DET:def	le
Adriana	NOM	<unknown>
Karembeu	NAM	<unknown>
elle	PRO:cls	elle
a	AUX:pres	avoir
dit	VER:pper	dire
oh	INT	oh
moi	PRO:ton	moi
je	PRO:cls	je
veux	VER:pres	vouloir
retourner	VER:infi	retourner
voir	VER:infi	voir
Cissé	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
de	PRP	de
tous	PRO:ind	tout
euh	INT	euh
Cissé	NAM	<unknown>
c'	PRO:cls	ce
était	VER:impf	être
oh	INT	oh
oh	INT	oh
non	FNO	non
une	DET:ind	un
classe	NOM	classe
écoute	VER:impe	écouter
euh	INT	euh
vraiment	ADV	vraiment
une	DET:ind	un
classe	NOM	classe
une	DET:ind	un
euh	INT	euh
elle	PRO:cls	elle
était	VER:impf	être
où	PRO:int	où
la	DET:def	le
Karembeu	NOM	<unknown>
en	PRP	en
éthiopie	NOM	<unknown>
en	PRP	en
éthiopie	NOM	<unknown>
ah	INT	ah
oui	FNO	oui
mais	KON	mais
sur	PRP	sur
les	DET:def	le
haut	ADJ	haut
plateaux	NOM	plateau
euh	INT	euh
d'	PRP	un
éthiopie	NOM	<unknown>
tu	PRO:cls	tu
sais	VER:pres	savoir
hum	FNO	hum
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
un	DET:ind	un
homme	NOM	homme
franchement	ADV	franchement
les	DET:def	le
étherniopiens	NOM	<unknown>
ouais	FNO	ouais
étherniopien	NOM	<unknown>
Pascal	NAM	Pascal
la	DET:def	le
dalle	NOM	dalle
les	DET:def	le
piranhianhia	NOM	<unknown>
et	KON	et
elle	PRO:cls	elle
a	AUX:pres	avoir
voulu	VER:pper	vouloir
y	PRO:clo	y
retourner	VER:infi	retourner
mais	KON	mais
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
elle	PRO:cls	elle
y	PRO:clo	y
est	VER:pres	être
carrément	ADV	carrément
retourner	VER:infi	retourner
ah	INT	ah
franchement	ADV	franchement
c'	PRO:cls	ce
était	VER:impf	être
classe	ADJ	classe
ah	INT	ah
ouais	FNO	ouais
elle	PRO:cls	elle
a	AUX:pres	avoir
dit	VER:pper	dire
moi	PRO:ton	moi
j'	PRO:cls	je
y	PRO:clo	y
retourne	VER:pres	retourner
et	KON	et
puis	KON	puis
ils	PRO:cls	il
ont	AUX:pres	avoir
dit	VER:pper	dire
bah	INT	bah
non	FNO	non
on	PRO:cls	on
peut	VER:pres	pouvoir
pas	ADV	pas
la	DET:def	le
prod-	NOM	<unknown>
elle	PRO:cls	elle
a	AUX:pres	avoir
dit	VER:pper	dire
non	FNO	non
on	PRO:cls	on
peut	VER:pres	pouvoir
pas	ADV	pas
euh	INT	euh
on	PRO:cls	on
a	VER:pres	avoir
pas	ADV	pas
les	DET:def	le
moyens	NOM	moyen
on	PRO:cls	on
a	VER:pres	avoir
pas	ADV	pas
le	DET:def	le
budget	NOM	budget
on	PRO:cls	on
euh	INT	euh
elle	PRO:cls	elle
a	AUX:pres	avoir
dit	VER:pper	dire
ça	PRO:cls	ça
fait	VER:pres	faire
rien	PRO:ind	rien
je	PRO:cls	je
paye	VER:pres	payer
mon	DET:pos	mon
voyage	NOM	voyage
je	PRO:cls	je
paye	VER:pres	payer
tout	DET:pre	tout
ma	DET:pos	mon
part	NOM	part
mais	KON	mais
j'	PRO:cls	je
y	PRO:clo	y
retourne	VER:pres	retourner
moi	PRO:ton	moi
je	PRO:cls	je
veux	VER:pres	vouloir
pas	ADV	pas
euh	INT	euh
les	PRO:clo	le
voir	VER:infi	voir
comme	KON	comme
ça	PRO:ton	ça
en	PRP	en
vidéo	NOM	vidéo
conférence	NOM	conférence
j'	PRO:cls	je
y	PRO:clo	y
retourne	VER:pres	retourner
et	KON	et
puis	KON	puis
euh	INT	euh
ils	PRO:cls	il
se	PRO:clo	se
sont	AUX:pres	être
jetés	VER:pper	jeter
dans	PRP	dans
les	DET:def	le
bras	NOM	bras
l'	DET:def	le
un	NUM	@card@
de	PRP	de
l'	DET:def	le
autre	ADJ	autre
le	DET:def	le
Cissé	NAM:sig	<unknown>
et	KON	et
elle	PRO:ton	elle
ils	PRO:cls	il
étaient	VER:impf	être
euh	INT	euh
tout	DET:pre	tout
tout	DET:pre	tout
mes	DET:pos	mon
les	DET:def	le
enfants	NOM	enfant
de	PRP	de
la	PRO:clo	le
revoir	VER:infi	revoir
et	KON	et
tout	PRO:ind	tout
c'	PRO:cls	ce
était	VER:impf	être
vraiment	ADV	vraiment
beau	ADJ	beau
j'	PRO:cls	je
ai	VER:pres	avoir
envie	NOM	envie
de	PRP	de
dire	VER:infi	dire
elle	PRO:cls	elle
perd	VER:pres	perdre
pas	ADV	pas
au	PRP:det	au
change	NOM	change
quoi	INT	quoi
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
horrible	ADJ	horrible
je	PRO:cls	je
pensais	VER:impf	penser
la	DET:def	le
même	ADJ	même
chose	NOM	chose
c'	PRO:cls	ce
est	VER:pres	être
ah	INT	ah
ouais	FNO	ouais
ouais	FNO	ouais
ouais	FNO	ouais
c'	PRO:cls	ce
était	VER:impf	être
bien	ADV	bien
moi	PRO:ton	moi
j'	PRO:cls	je
aime	VER:pres	aimer
bien	ADV	bien
l'	DET:def	le
émission	NOM	émission
là	ADV	là
je	PRO:cls	je
vous	PRO:clo	vous
remercie	VER:pres	remercier
de	PRP	de
ne	ADV	ne
pas	ADV	pas
m'	PRO:clo	me
avoir	VER:infi	avoir
marier	VER:infi	marier
à	PRP	à
douze	NUM	@card@
ans	NOM	an
ouais	FNO	ouais
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
vraiment	ADV	vraiment
maman	NOM	maman
à	PRP	à
quinze	NUM	@card@
ans	NOM	an
euh	INT	euh
mais	KON	mais
fr-	TRC	<unknown>
franchement	ADV	franchement
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
émission	NOM	émission
elle	PRO:cls	elle
est	VER:pres	être
ouais	FNO	ouais
roh	NOM	<unknown>
tip	NOM	<unknown>
top	ADJ	top
tip	NOM	<unknown>
top	ADJ	top
tip	NOM	<unknown>
top	ADJ	top
hum	FNO	hum
han	NOM	<unknown>
alors	ADV	alors
moi	PRO:ton	moi
je	PRO:cls	je
c'	PRO:cls	ce
est	VER:pres	être
les	DET:def	le
départs	NOM	départ
aussi	ADV	aussi
alors	ADV	alors
je	PRO:cls	je
te	PRO:clo	te
dis	VER:pres	dire
pas	ADV	pas
moi	PRO:ton	moi
hier	ADV	hier
moi	PRO:ton	moi
je	PRO:cls	je
les	DET:def	le
mouchoirs	NOM	mouchoir
ah	INT	ah
non	FNO	non
moi	PRO:ton	moi
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
le	DET:def	le
genre	NOM	genre
de	PRP	de
truc	NOM	truc
qui	PRO:rel	qui
me	PRO:clo	me
euh	INT	euh
oh	INT	oh
moi	PRO:ton	moi
ça	PRO:cls	ça
me	PRO:clo	me
retourne	VER:pres	retourner
complètement	ADV	complètement
moi	PRO:ton	moi
qui	PRO:rel	qui
m'	PRO:clo	me
émeut	VER:pres	émouvoir
mais	KON	mais
tu	PRO:cls	tu
en	PRO:clo	en
as	AUX:pres	avoir
déjà	ADV	déjà
regardé	VER:pper	regarder
une	DET:ind	un
d'	DET:ind	un
émission	NOM	émission
hum	FNO	hum
euh	INT	euh
hein	INT	hein
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
qui	PRO:int	qui
et	KON	et
puis	KON	puis
Karembeu	NAM	<unknown>
Adriana	NAM	<unknown>
Karembeu	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
oh	INT	oh
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
femme	NOM	femme
aussi	ADV	aussi
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
pas	ADV	pas
la	DET:def	le
Balasko	NOM	<unknown>
qui	PRO:rel	qui
l'	PRO:clo	le
avait	AUX:impf	avoir
fait	VER:pper	faire
une	DET:ind	un
fois	NOM	fois
non	FNO	non
non	FNO	non
bah	INT	bah
je	PRO:cls	je
ne	ADV	ne
sais	VER:pres	savoir
plus	ADV	plus
une	DET:ind	un
une	DET:ind	un
actrice	NOM	actrice
et	KON	et
hein	INT	hein
Adriana	NOM	<unknown>
Karembeu	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
femme	NOM	femme
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
eh	INT	eh
une	DET:ind	un
actrice	NOM	actrice
ouais	FNO	ouais
une	DET:ind	un
gentillesse	NOM	gentillesse
une	DET:ind	un
classe	NOM	classe
une	DET:ind	un
euh	INT	euh
xxx	NOM	<unknown>
je	PRO:cls	je
sais	VER:pres	savoir
plus	ADV	plus
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
regardé	VER:pper	regarder
pfff	NOM	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
femme	NOM	femme
ce	PRO:dem	ce
qui	PRO:rel	qui
elle	PRO:cls	elle
est	VER:pres	être
formidable	ADJ	formidable
formidable	ADJ	formidable
tout	DET:pre	tout
le	DET:def	le
long	NOM	long
de	PRP	de
gentillesse	NOM	gentillesse
de	PRP	de
tendresse	NOM	tendresse
de	PRP	de
tout	PRO:ind	tout
de	PRP	de
ce	PRO:dem	ce
qui	PRO:rel	qui
doit	VER:pres	devoir
être	AUX:infi	être
sympa	ADJ:trc	sympathique
c'	PRO:cls	ce
est	VER:pres	être
de	PRP	de
voyager	VER:infi	voyager
et	KON	et
de	PRP	de
le	DET:def	le
de	PRP	de
le	PRO:clo	le
faire	VER:infi	faire
soi-même	PRO:ton	soi-même
euh	INT	euh
comme	KON	comme
tu	PRO:cls	tu
pourrais	VER:cond	pouvoir
partir	VER:infi	partir
je	PRO:cls	je
sais	VER:pres	savoir
plus	ADV	plus
j'	PRO:cls	je
avais	VER:impf	avoir
un	DET:ind	un
collègue	NOM	collègue
de	PRP	de
boulot	NOM	boulot
euh	INT	euh
ah	INT	ah
bah	INT	bah
elle	PRO:cls	elle
a	AUX:pres	avoir
dit	VER:pper	dire
là	ADV	là
que	KON	que
maintenant	ADV	maintenant
elle	PRO:cls	elle
a	AUX:pres	avoir
repéré	VER:pper	repérer
bien	ADV	bien
le	DET:def	le
euh	INT	euh
truc	NOM	truc
euh	INT	euh
ça	PRO:cls	ça
fait	VER:pres	faire
deux	NUM	@card@
fois	NOM	fois
qu'	KON	que
elle	PRO:cls	elle
y	PRO:clo	y
va	VER:pres	aller
elle	PRO:cls	elle
a	AUX:pres	avoir
dit	VER:pper	dire
qu'	KON	que
elle	PRO:cls	elle
y	PRO:clo	y
retournera	VER:futu	retourner
avec	PRP	avec
le	DET:def	le
principe	NOM	principe
peu	NOM	peu
importe	VER:pres	importer
l'	DET:def	le
endroit	NOM	endroit
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
par	PRP	par
exemple	NOM	exemple
et	KON	et
euh	INT	euh
Richard	NOM	richard
hum	FNO	hum
celui	PRO:dem	celui
qui	PRO:rel	qui
est	VER:pres	être
aveugle	ADJ	aveugle
là	ADV	là
comme	KON	comme
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
Gilbert	NAM	Gilbert
Gilbert	NAM	Gilbert
Montagné	NAM	<unknown>
Gilbert	NAM	Gilbert
Montagné	NAM	<unknown>
il	PRO:cls	il
était	VER:impf	être
dans	PRP	dans
une	NUM	@card@
euh	INT	euh
famille	NOM	famille
euh	INT	euh
elle	PRO:ton	elle
elle	PRO:cls	elle
était	VER:impf	être
euh	INT	euh
infimière	ADJ	<unknown>
euh	INT	euh
donc	ADV	donc
c'	PRO:cls	ce
était	VER:impf	être
des	DET:ind	un
hum	FNO	hum
tu	PRO:cls	tu
sais	VER:pres	savoir
ils	PRO:cls	il
étaient	VER:impf	être
euh	INT	euh
au	PRP:det	au
euh	INT	euh
lascar	NOM	lascar
comment	PRO:int	comment
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
lascar	NOM	lascar
nascar	ADJ	<unknown>
nascar	NOM	<unknown>
là	ADV	là
haut	ADJ	haut
tu	PRO:cls	tu
sais	VER:pres	savoir
dans	PRP	dans
l'	DET:def	le
Himalaya	NAM	<unknown>
et	KON	et
euh	INT	euh
la	DET:def	le
dame	NOM	dame
chez	PRP	chez
qui	PRO:rel	qui
il	PRO:cls	il
était	VER:impf	être
elle	PRO:ton	elle
euh	INT	euh
elle	PRO:cls	elle
avait	VER:impf	avoir
euh	INT	euh
elle	PRO:ton	elle
euh	INT	euh
elle	PRO:ton	elle
euh	INT	euh
elle	PRO:cls	elle
avait	VER:impf	avoir
pleins	ADJ	plein
de	PRP	de
métiers	NOM	métier
et	KON	et
entre	PRP	entre
autre	ADJ	autre
elle	PRO:cls	elle
était	VER:impf	être
infirmière	NOM	infirmière
et	KON	et
elle	PRO:cls	elle
voulait	VER:impf	vouloir
que	KON	que
ses	DET:pos	son
enfants	NOM	enfant
réussissent	VER:pres	réussir
donc	ADV	donc
elle	PRO:cls	elle
les	PRO:clo	le
avait	VER:impf	avoir
mit	VER:simp	mettre
ils	PRO:cls	il
vont	VER:pres	aller
dans	PRP	dans
des	DET:ind	un
écoles	NOM	école
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
loin	ADV	loin
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
pensionnats	NOM	pensionnat
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
montagnes	NOM	montagne
euh	INT	euh
qui	PRO:rel	qui
sont	VER:pres	être
euh	INT	euh
durent	VER:pres	durer
à	PRP	à
gravir	VER:infi	gravir
et	KON	et
tout	PRO:ind	tout
