pro	quelque+chose
conj	si
pro:subj&MASC	il
v:aux	être
v-PP	nourrir
PCT	.
det&FEM&SING	la
n	larve
pro:rel	qui
v:mdl	aller
pro:refl	se
v-INF	développer
conj	si
pro:subj&FEM	elle
v:aux	être
v-PP	nourrir
co	euh
prep	comme
adv	habituellement
prep	par
det&MASC&SING	du
n	pollen
pro:dem	ça
v:mdl	aller
v-INF	donner
det&FEM&SING	une
n	abeille
PCT	.
conj	mais
adv:place	là
det:dem&SING	cette
n	larve
pro:subj	on
?	l–
det&PL	les
n	abeille
pro&SING	lui
v	donner
prep	de
det&FEM&SING	la
n	gelée
adj-FEM	royal
PCT	.
det&FEM&SING	la
n	larve
v:aux	être
v-PP	nourrir
prep	avec
prep	de
det&FEM&SING	la
?	jle–
n	gelée
adj-FEM	royal
conj	et
adv	rien
conj	que
prep	par
det&MASC&SING	le
n	changement
prep:art	de
n	régime
adj	alimentaire
PCT	.
pro:dem	ça
v:mdl	aller
v-INF	donner
det&FEM&SING	une
n	rein
conj	donc
v:exist	c'est
det&MASC&SING	le
n	changement
prep:art	de
n	régime
adj	alimentaire
pro:rel	qui
pro:rel	qui
v:mdl	faire
v-INF	évoluer
det&FEM&SING	la
n	larve
adv	différemment
PCT	.
conj	donc
co	euh
v:exist	il+y+a
det&FEM&SING	une
n	rein
pro:rel	qui
v	rester
co	euh
prep	dans
det&FEM&SING	la
n	ruche
det&SING	le/la
pro	autre
co	euh
det&SING	le/la
pro	autre
co	euh
pro:refl	se
pro:y	en
v:mdllex	aller
adv	et+puis
co	euh
PCT	.
conj	donc
prep	dans
det&MASC&SING	un
n-MASC	premie
n	temps
det&SING	le/la
n	essaim
pro:rel	qui
v:aux	être
v-PP	partir
prep	avec
co	euh
PCT	.
adv	enfin
det&PL	les
n	abeille
det&FEM&SING	la
n	moitié
det&PL	des
n	abeille
pro:rel	qui
v:aux	être
v-PP	partir
pro:refl	se
v	poser
prep	dans
det&MASC&SING	un
n	rayon
adv	de
n	cinquante
v	métrer
adv:place	autour
prep:art	du
det&MASC&SING	du
n	rucher
PCT	.
conj	donc
conj	quand
pro:subj	on
v	habiter
prep	sur
n	place
pro:subj	on
pro:y	y
v:mdllex	aller
det:gen&MASC	tous
det&PL	les
n	jour
PCT	.
pro:subj	on
v	regarder
prep	dans
det&MASC&SING	un
n	rayon
det	de
n	cinquante
n	mètre
conj	si
v:exist	il+y+a
det&PL	des
n	essaim
conj	et
pro:subj	on
det&PL	les
n	capture
PCT	.
pro:subj	on
det&PL	les
n	mets
?	nous–mêmes
prep	dans
det&FEM&SING	une
co	euh
?	ruchette
prep	dans
det&FEM&SING	une
n	ruche
PCT	.
adv	d'accord
?	,
?	***
PCT	.
co	euh
conj	et
conj	si
pro:subj	on
adv:neg	ne
v:exist	être
adv:neg	pas
adv:place	là
conj	donc
pro:subj&MASC	il
v:mdl	falloir
det&FEM&SING	la
adj	seul
n	solution
conj	si
pro:subj	on
adv:neg	ne
v:exist	être
adv:neg	pas
adv:place	là
det:gen&MASC	tous
det&PL	les
n	jour
PCT	.
v:exist	c'est
prep	de
v-INF	tendre
det&PL	des
n	piège
conj	parce+que
prep	dans
det&MASC&SING	un
adj:num	deuxième
n	temps
det&FEM&SING	une
n	fo^n|fois
conj	que
det&SING	le/la
n	essaim
v:exist	être
prep	à
prep	dans
det&MASC&SING	un
n	rayon
adv	de
n	cinquante
n	mètre
v-PP	poser
prep	sur
det&FEM&SING	une
n	branche
PCT	.
co	hum
co	hum
PCT	.
co	euh
det&PL	les
n	abeille
v:mdllex	aller
prep	à
det&FEM&SING	la
n	recherche
prep	de
det&FEM&SING	une
n	habitation
conj	alors
conj	quand
v:exist	c'est
prep	à
det&SING	le/la
n	état
adj	sauvage
pro:subj&FEM	elles
v:mdllex	aller
prep	dans
det&MASC&SING	un
n	tronc
prep:art	de
n	arbre
adj-MASC	creux
pro	n'importe
det:gen	quel
?	ab–
n	abri
PCT	.
conj	mais
co	ben
pro:subj	nous
pro:subj	on
pro:obj&MASC&SING	le
pro:subj	on
pro	leur
v	proposer
det&PL	des
det&PL	des
n	maison
det:gen&FEM	toutes
adj	fait
co	hein
co	euh
PCT	.
co	ah
adv:yn	oui
PCT	.
conj	donc
v:exist	c'est
det&PL	les
det&PL	les
det&PL	les
det&PL	des
det&PL	des
?	ruchettes
conj	et+puis
pro:subj	on
v	mettre
det&MASC&SING	un
n	produit
conj	ou
pro:subj	on
v	mettre
det&MASC&SING	un
adj	vieux
n	cadre
prep	à
det&SING	le/la
n	intérieur
prep	pour
v-INF	attirer
det&PL	les
n	abeille
pro:rel	qui
v:exist	être
prep	à
det&FEM&SING	la
n	recherche
prep	de
det&FEM&SING	une
n	habitation
PCT	.
pro:subj&FEM	elles
v	prévenir
det&SING	le/la
n	essaim
conj	et
det&SING	le/la
n	essaim
pro:refl	se
v	diriger
prep:art	en
n	entier
conj	alors
det&PL	les
n	essaim
conj	qu'
pro:subj	on
v	voir
v-INF	passer
co	euh
prep	en
det&SING	le/la
n	air
co	euh
v:exist	c'est
pro:dem	ça
PCT	.
pro:subj&MASC	ils
v:mdllex	aller
prep	vers
det&MASC&SING	un
n	endroit
v-PP	guider
co	euh
prep	par
det&PL	les
n	abeille
pro:rel	qui
v:aux	avoir
v-PP	repérer
det&FEM&SING	une
adj-FEM^adj|nouvel-FEM	nouveau
n	habitation
PCT	.
conj	et
pro:subj&FEM	elles
v	rentrer
co	euh
prep	dans
det&MASC&SING	le
n	piège
conj	alors
v:exist	c'est
prep	comme
pro:dem	ça
conj	que
pro:subj	je
v	mettre
pro&SING	moi
conj	aussi
det&PL	des
det&PL	des
?	ruchettes
prep	dans
det:poss&MASC&SING	mon
n	jardin
PCT	.
co	ah
adv:yn	oui
adv:yn	oui
det&PL	les
pro:subj	je
pro:y	en
v:aux	avoir
PCT	.
prep:art	au
n	milieu
prep	de
?	¤T1¤
PCT	.
v&PP-MASC	voir
adv	déjà
PCT	.
pro:subj	je
v	mettre
conj	et
pro:subj	on
v	capturer
det&PL	des
n	essaim
prep	de
det:dem&SING	cette
?	façon–là
PCT	.
n:prop	O
PCT	.
n:prop	K
PCT	.
conj	donc
co	euh
v:exist	c'est
adj	intéressant
conj	et
det&PL	les
n	abeille
prep	pendant
conj	qu'
pro:subj&FEM	elles
v:exist	être
prep	à
det&FEM&SING	la
n	recherche
pro:subj&FEM	elles
v:exist	être
adv:neg	pas
n	agressive
prep:art	du
pro&MASC	tout
co	hein
PCT	.
det&PL	les
n	abeille
adv:neg	ne
v:exist	être
n	agressive
conj	que
conj	si
pro:subj	on
co	hum
v:mdl	venir
co	euh
v-INF	attaquer
det:poss	leur
det:poss	leur
det:poss	leur
n	maison
PCT	.
co	ah
adv:yn	oui
PCT	.
prep	pour
pro	leur
v-INF	voler
det&MASC&SING	le
n	miel
adv:place	là
pro:subj&FEM	elles
v:mdl	pouvoir
v:exist&INF	être
adj-FEM	agressif
PCT	.
conj	mais
conj	quand
pro:subj&FEM	elles
v:exist	être
prep:art	en
n	essaim
co	ben
pro:subj&FEM	elles
adv:neg	ne
v:aux	avoir
adv	rien
prep	à
v-INF	défendre
co	hein
pro:subj&FEM	elles
v:exist	être
prep	à
det&FEM&SING	la
n	recherche
prep	de
det&FEM&SING	une
n	habitation
PCT	.
prep	de
det&FEM&SING	une
n	habitation
PCT	.
conj	donc
pro:subj&FEM	elles
v:exist	être
adv:neg	pas
n	agressive
prep:art	du
pro&MASC	tout
PCT	.
n:prop	O
PCT	.
n:prop	K
PCT	.
conj	donc
PCT	.
conj	donc
conj	si
pro:subj	tu
v:mdl	vouloir
v&INF	voir
PCT	.
adv:yn	oui
adv:yn	oui
pro:dem	ça
pro:refl	me
v	intéresser
prep	de
v&INF	voir
pro:dem	ça
adv	déjà
pro:subj	tu
pro:refl	me
pro:obj&SING	le/la
v:aux	avoir
v-PP	expliquer
adv	donc
?	peut–être
prep	dans
det&FEM&SING	la
n	pratique
pro:dem	ça
v:exist&FUT	être
adv	un+peu+plus
adj	impressionnant
adv:place	voilà
PCT	.
adv:yn	ouais
PCT	.
