ouh	INT	ouh
vous	PRO:cls	vous
allez	VER:pres	aller
aller	VER:infi	aller
rejoindre	VER:infi	rejoindre
les	DET:def	le
autres	ADJ	autre
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
oui	FNO	oui
on	PRO:cls	on
peut	VER:pres	pouvoir
prendre	VER:infi	prendre
.	NAM	<unknown>
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
