adv:place	voilà
adv:int	comment
PCT	?
PCT	.
prep:art	à
n	part
adj	grand
PCT	?
co	euh
co	euh
PCT	.
conj	que
pro:subj	vous
v:poss&FUT	avoir
det&PL	les
adj-MASC	même^adj|même
n	jeu
PCT	?
conj	que
pro:subj	vous
v-FUT	penser
det&PL	les
adj-MASC	même^adj|même
n	chose
PCT	?
PCT	.
co	ben
adv:yn	non
adv:yn	non
PCT	.
conj	alors
prep	à
pro:int	quoi
pro:subj	tu
pro:subj	je
v:mdl	savoir
adv:neg	pas
pro&SING	moi
PCT	.
?	***
PCT	.
pro&SING	moi
det:poss&SING	ma
n	soeur
pro:subj&FEM	elle
v	jouer
adv	parfois
prep	avec
pro:subj	nous
PCT	.
adv:yn	ouais
adv	quand+même
PCT	?
adv:yn	oui
PCT	.
pro:subj	vous
v-FUT	jouer
adv	encore
PCT	?
PCT	.
co	ah
adv:yn	oui
adv	parfois
?	p–
PCT	.
prep	à
pro:int	quoi
PCT	?
PCT	.
prep	à
det	aux
n	jeu
prep:art	de
n	société
PCT	.
co	hum
pro:subj	tu
pro:refl	te
v	imaginer
pro&SING	toi
v:exist&INF	être
adj	grand
PCT	?
det&PL	des
n	fo^n|fois
pro:subj	tu
pro:subj	tu
pro:refl	te
v	demander
adv:int	comment
pro:subj	tu
v:exist&FUT	être
PCT	?
PCT	.
adv:yn	oui
PCT	.
conj	et
conj	qu'
?	est–ce
conj	que
pro:subj	tu
v	imaginer
adv	alors
PCT	?
PCT	.
co	euh
det:poss&SING	ma
n	soeur
conj	et
det:poss&MASC&SING	mon
n	frère
pro:subj&MASC	ils
v-FUT	jouer
PCT	.
adv:yn	oui
conj	qu'
pro:subj&MASC	ils
v-FUT	jouer
prep	avec
pro&SING	toi
PCT	?
adv:yn	oui
PCT	.
adv:yn	ouais
conj	ou
pro&SING	toi
pro:subj	tu
v-FUT	jouer
prep	avec
pro&MASC&PL	eux
PCT	?
adv:yn	oui
PCT	.
adv	d'accord
?	ok
conj	donc
pro:subj	vous
v:mdl	savoir
adv	déjà
pro:rel	ce+que
pro:subj	vous
v:poss	avoir
n	envie
prep	de
v:mdllex-INF	faire
prep	comme
n	métier
PCT	?
PCT	.
co	hum
PCT	.
conj	quand
pro:subj	vous
v:exist&FUT	être
n	grand
PCT	?
pro&SING	moi
pro:subj	je
v	hésiter
prep	entre
v:mdllex-INF	faire
co	euh
prep	de
det&SING	le/la
n	équitation
PCT	.
adv:yn	oui
PCT	.
conj	et
pro:refl	me
v-INF	occuper
det&PL	des
n-PL	cheval
PCT	.
adv:yn	ouais
pro:subj	tu
pro:refl	me
v:aux	avoir
adv	déjà
v-PP	dire
conj	et
pro&SING	toi
PCT	?
conj	ou
conj	alors
pro:subj	je
v:mdllex-COND	faire
det&PL	les
n	deux
PCT	.
co	hum
conj	et
pro&SING	toi
PCT	?
?	***
pro:subj	je
v-COND	monter
prep:art	à
n-SING	cheval
PCT	.
pro&SING	toi
adv	aussi
pro:subj	tu
v-FUT	monter
prep:art	à
n-SING	cheval
PCT	?
adv:yn	ouais
PCT	?
adv	d'accord
PCT	.
n	bon
conj	et
co	ben
pro:subj	je
pro:subj	vous
v	remercier
det&PL	les
n	fille
PCT	.
pro:subj	on
v:mdl	aller
v-INF	retourner
prep:art	en
n	classe
PCT	?
adv:yn	oui
PCT	.
co	hum
PCT	.
