depuis	ADV	depuis
a	AUX:pres	avoir
pris	VER:pper	prendre
au	PRP:det	au
pif	NOM	pif
enfin	ADV	enfin
il	PRO:cls	il
a	AUX:pres	avoir
regardé	VER:pper	regarder
une	DET:ind	un
liste	NOM	liste
euh	INT	euh
de	PRP	de
bah	INT	bah
après	ADV	après
euh	INT	euh
tu	PRO:cls	tu
sais	VER:pres	savoir
c'	PRO:cls	ce
est	VER:pres	être
facile	ADJ	facile
xxx	NOM	<unknown>
hein	INT	hein
euh	INT	euh
tu	PRO:cls	tu
as	VER:pres	avoir
un	DET:ind	un
pote	NOM	pote
euh	INT	euh
a-	TRC	a-
enfin	ADV	enfin
rien	PRO:ind	rien
que	KON	que
ça	PRO:ton	ça
tu	PRO:cls	tu
as	VER:pres	avoir
un	DET:ind	un
pote	ADJ	pote
flic	NOM	flic
ou	KON	ou
un	DET:ind	un
truc	NOM	truc
comme	KON	comme
ça	PRO:ton	ça
franchement	ADV	franchement
c'	PRO:cls	ce
est	VER:pres	être
con	ADJ	con
à	PRP	à
dire	VER:infi	dire
mais	KON	mais
je	PRO:cls	je
suis	VER:pres	être
sûre	ADJ	sûr
que	KON	que
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
qui	PRO:rel	qui
filent	VER:pres	filer
les	DET:def	le
infos	NOM:trc	information
et	KON	et
tout	PRO:ind	tout
hein	INT	hein
euh	INT	euh
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
ils	PRO:cls	il
s'	PRO:clo	se
en	PRO:clo	en
foutent	VER:subp	foutre
hein	INT	hein
hum	FNO	hum
mais	KON	mais
dans	PRP	dans
tous	DET:pre	tout
les	DET:def	le
cas	NOM	cas
mes	DET:pos	mon
parents	NOM	parent
qui	PRO:rel	qui
me	PRO:clo	me
disent	VER:pres	dire
ouais	FNO	ouais
fallait	VER:impf	falloir
que	KON	que
ça	PRO:cls	ça
tombe	VER:pres	tomber
sur	PRP	sur
toi	PRO:ton	toi
ouais	FNO	ouais
en	PRP	en
un	DET:ind	un
an	NOM	an
de	PRP	de
permis	NOM	permis
s'	KON	si
il	PRO:clsi	il
te	PRO:clo	te
plaît	VER:pres	plaire
je	PRO:cls	je
suis	AUX:pres	être
allée	VER:pper	aller
deux	NUM	@card@
fois	NOM	fois
au	PRP:det	au
commissariat	NOM	commissariat
hein	INT	hein
alors	ADV	alors
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
rien	PRO:ind	rien
fait	VER:pper	faire
.	NAM	<unknown>
tu	PRO:cls	tu
vois	VER:pres	voir
abusé	VER:pper	abuser
ils	PRO:cls	il
te	PRO:clo	te
connaissent	VER:pres	connaître
maintenant	ADV	maintenant
ah	INT	ah
salut	FNO	salut
¤N¤	NAM	¤N¤
alors	ADV	alors
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
c'	PRO:cls	ce
est	VER:pres	être
aujourd'hui	ADV	aujourd'hui
euh	INT	euh
tu	PRO:cls	tu
as	AUX:pres	avoir
braqué	VER:pper	braquer
une	DET:ind	un
banque	NOM	banque
putain	INT	putain
imagine	VER:impe	imaginer
hum	FNO	hum
mais	KON	mais
la	DET:def	le
première	ADJ	premier
fois	NOM	fois
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
que	KON	que
euh	INT	euh
mon	DET:pos	mon
père	NOM	père
il	PRO:cls	il
avait	VER:impf	avoir
pas	ADV	pas
il	PRO:cls	il
avait	AUX:impf	avoir
pas	ADV	pas
fait	VER:pper	faire
le	DET:def	le
contrôle	NOM	contrôle
technique	ADJ	technique
euh	INT	euh
à	PRP	à
temps	NOM	temps
et	KON	et
vu	VER:pper	voir
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
moi	PRO:ton	moi
qui	PRO:rel	qui
conduisais	VER:impf	conduire
la	DET:def	le
voiture	NOM	voiture
allez	INT	allez
xxx	NOM	<unknown>
au	PRP:det	au
moment	NOM	moment
là	ADV	là
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
moi	PRO:ton	moi
qui	PRO:rel	qui
ai	AUX:pres	avoir
dû	VER:pper	devoir
ramener	VER:infi	ramener
euh	INT	euh
le	DET:def	le
bolide	NOM	bolide
le	DET:def	le
g-	TRC	g-
le	DET:def	le
le	DET:def	le
papier	NOM	papier
comme	KON	comme
quoi	INT	quoi
la	DET:def	le
la	DET:def	le
le	DET:def	le
contrôle	NOM	contrôle
technique	ADJ	technique
est	AUX:pres	être
bien	ADV	bien
fait	VER:pper	faire
parce	TRC	parce
que	KON	que
sinon	ADV	sinon
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
dit	VER:pper	dire
ouais	FNO	ouais
si	KON	si
tu	PRO:cls	tu
me	PRO:clo	me
le	PRO:clo	le
ramènes	VER:pres	ramener
pas	ADV	pas
dans	PRP	dans
les	DET:def	le
deux	NUM	@card@
jours	NOM	jour
je	PRO:cls	je
te	PRO:clo	te
mets	VER:pres	mettre
une	DET:ind	un
amende	NOM	amende
oh	INT	oh
sérieux	ADJ	sérieux
bah	INT	bah
oui	FNO	oui
putain	INT	putain
le	DET:def	le
fils	NOM	fil|fils
de	PRP	de
pute	NOM	pute
tu	PRO:cls	tu
sais	VER:pres	savoir
surtout	ADV	surtout
que	KON	que
je	PRO:cls	je
m'	PRO:clo	me
étais	AUX:impf	être
fait	VER:pper	faire
arrêter	VER:infi	arrêter
dix	NUM	@card@
minutes	NOM	minute
avant	ADV	avant
je	PRO:cls	je
t'	PRO:clo	te
avais	AUX:impf	avoir
raconté	VER:pper	raconter
ça	PRO:ton	ça
non	FNO	non
qu'	KON	que
un	DET:ind	un
coup	NOM	coup
je	PRO:cls	je
suis	AUX:pres	être
allée	VER:pper	aller
euh	INT	euh
je	PRO:cls	je
suis	AUX:pres	être
allée	VER:pper	aller
chercher	VER:infi	chercher
¤Pren¤	NAM	<unknown>
euh	INT	euh
à	PRP	à
Houdemont	NAM	<unknown>
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
tu	PRO:cls	tu
sais	VER:pres	savoir
au	PRP:det	au
rond	NOM	rond
point	NOM	point
de	PRP	de
Chatton	NOM	<unknown>
ouais	FNO	ouais
ah	INT	ah
oui	FNO	oui
ouais	FNO	ouais
et	KON	et
ben	INT	ben
en	PRP	en
fait	NOM	fait
pour	PRP	pour
passer	VER:infi	passer
devant	PRP	devant
l'	DET:def	le
hôpital	NOM	hôpital
en	PRP	en
fait	NOM	fait
c'	PRO:cls	ce
était	AUX:impf	être
fermé	VER:pper	fermer
la	DET:def	le
route	NOM	route
elle	PRO:cls	elle
était	AUX:impf	être
barrée	VER:pper	barrer
du	PRP:det	du
coup	NOM	coup
je	PRO:cls	je
devais	VER:impf	devoir
partir	VER:infi	partir
vers	PRP	vers
euh	INT	euh
la	DET:def	le
gare	NOM	gare
et	KON	et
en	PRO:clo	en
fait	VER:pres	faire
là	ADV	là
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
la	DET:def	le
gendarmerie	NOM	gendarmerie
et	KON	et
en	PRP	en
gros	ADJ	gros
euh	INT	euh
et	KON	et
là	ADV	là
ils	PRO:cls	il
m'	PRO:clo	me
ont	AUX:pres	avoir
arrêtée	VER:pper	arrêter
et	KON	et
la	DET:def	le
gendarme	NOM	gendarme
euh	INT	euh
tu	PRO:cls	tu
vois	VER:pres	voir
trop	ADV	trop
gentille	ADJ	gentil
enfin	ADV	enfin
tu	PRO:cls	tu
sais	VER:pres	savoir
elle	PRO:cls	elle
a	AUX:pres	avoir
vu	VER:pper	voir
que	KON	que
mon	DET:pos	mon
ouais	FNO	ouais
contrôle	NOM	contrôle
technique	ADJ	technique
était	VER:impf	être
pas	ADV	pas
fait	VER:pper	faire
mais	KON	mais
elle	PRO:cls	elle
a	AUX:pres	avoir
dit	VER:pper	dire
ouais	FNO	ouais
tu	PRO:cls	tu
diras	VER:futu	dire
bien	ADV	bien
à	PRP	à
ton	DET:pos	ton
papa	NOM	papa
de	PRP	de
le	PRO:clo	le
faire	VER:infi	faire
parce	TRC	parce
que	KON	que
là	ADV	là
c'	PRO:cls	ce
était	VER:impf	être
genre	NOM	genre
on	PRO:cls	on
était	VER:impf	être
en	PRP	en
février	NOM	février
mars	NOM	mars
et	KON	et
il	PRO:cls	il
devait	VER:impf	devoir
le	PRO:clo	le
faire	VER:infi	faire
il	PRO:cls	il
devait	VER:impf	devoir
être	AUX:infi	être
fait	VER:pper	faire
pour	PRP	pour
janvier	NOM	janvier
tu	PRO:cls	tu
vois	VER:pres	voir
ah	INT	ah
oui	FNO	oui
donc	ADV	donc
voilà	FNO	voilà
et	KON	et
euh	INT	euh
elle	PRO:cls	elle
m'	PRO:clo	me
a	AUX:pres	avoir
laissée	VER:pper	laisser
repartir	VER:infi	repartir
et	KON	et
donc	ADV	donc
je	PRO:cls	je
suis	AUX:pres	être
allée	VER:pper	aller
chercher	VER:infi	chercher
¤Pren¤	NAM	<unknown>
et	KON	et
je	PRO:cls	je
suis	AUX:pres	être
redescendue	VER:pper	redescendre
mais	KON	mais
là	ADV	là
je	PRO:cls	je
pouvais	VER:impf	pouvoir
passer	VER:infi	passer
devant	PRP	devant
l'	DET:def	le
hôpital	NOM	hôpital
tu	PRO:cls	tu
vois	VER:pres	voir
puis	KON	puis
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
dit	VER:pper	dire
oh	INT	oh
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
déjà	ADV	déjà
fait	VER:pper	faire
arrêter	VER:infi	arrêter
euh	INT	euh
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
déjà	ADV	déjà
fait	VER:pper	faire
arrêter	VER:infi	arrêter
une	DET:ind	un
fois	NOM	fois
je	PRO:cls	je
vais	VER:pres	aller
pas	ADV	pas
me	PRO:clo	me
oui	FNO	oui
et	KON	et
là	ADV	là
faire	VER:infi	faire
arrêter	VER:infi	arrêter
une	DET:ind	un
deuxième	ADJ	deuxième
fois	NOM	fois
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
là	ADV	là
euh	INT	euh
ils	PRO:cls	il
étaient	VER:impf	être
bah	INT	bah
juste	ADV	juste
devant	PRP	devant
Chatton	NOM	<unknown>
et	KON	et
c'	PRO:cls	ce
était	VER:impf	être
la	DET:def	le
police	NOM	police
qui	PRO:rel	qui
était	VER:impf	être
là	ADV	là
tu	PRO:cls	tu
vois	VER:pres	voir
donc	ADV	donc
ils	PRO:cls	il
m'	PRO:clo	me
ont	AUX:pres	avoir
arrêtée	VER:pper	arrêter
aussi	ADV	aussi
oh	INT	oh
putain	INT	putain
donc	ADV	donc
là	ADV	là
euh	INT	euh
moins	ADV	moins
sympa	ADJ:trc	sympathique
le	DET:def	le
gars	NOM	gars
euh	INT	euh
il	PRO:clsi	il
m'	PRO:clo	me
a	VER:pres	avoir
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
dit	VER:pper	dire
ouais	FNO	ouais
euh	INT	euh
ton	DET:pos	ton
machin	NOM	machin
il	PRO:cls	il
est	AUX:pres	être
pas	ADV	pas
fait	VER:pper	faire
euh	INT	euh
euh	INT	euh
puis	KON	puis
tu	PRO:cls	tu
sais	VER:pres	savoir
¤Pren¤	NAM	<unknown>
.	NAM	<unknown>
tu	PRO:cls	tu
vois	VER:pres	voir
comment	PRO:int	comment
il	PRO:cls	il
est	VER:pres	être
il	PRO:cls	il
a	VER:pres	avoir
ouais	FNO	ouais
commencé	VER:pper	commencer
à	PRP	à
gueuler	VER:infi	gueuler
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
qu'	KON	que
un	DET:ind	un
contrôle	NOM	contrôle
technique	ADJ	technique
gna	VER:simp	<unknown>
gna	VER:simp	<unknown>
gna	VER:simp	<unknown>
putain	INT	putain
j'	PRO:cls	je
étais	VER:impf	être
là	ADV	là
mais	KON	mais
putain	INT	putain
ferme	VER:pres	fermer
ta	DET:pos	ton
gueule	NOM	gueule
pour	PRP	pour
une	DET:ind	un
fois	NOM	fois
ferme	VER:pres	fermer
ta	DET:pos	ton
gueule	NOM	gueule
quoi	INT	quoi
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
et	KON	et
puis	KON	puis
après	ADV	après
ah	INT	ah
bah	INT	bah
euh	INT	euh
vu	VER:pper	voir
que	KON	que
euh	INT	euh
ce	DET:dem	ce
jeune	ADJ	jeune
homme	NOM	homme
prend	VER:pres	prendre
votre	DET:pos	votre
défense	NOM	défense
machin	NOM	machin
euh	INT	euh
je	PRO:cls	je
vous	PRO:clo	vous
laisse	VER:pres	laisser
deux	NUM	@card@
jours	NOM	jour
pour	PRP	pour
le	PRO:clo	le
faire	VER:infi	faire
vous	PRO:cls	vous
me	PRO:clo	me
ramenez	VER:pres	ramener
euh	INT	euh
le	DET:def	le
papier	NOM	papier
euh	INT	euh
oh	INT	oh
xxx	NOM	<unknown>
et	KON	et
faut	VER:pres	falloir
qu'	KON	que
il	PRO:clsi	il
fasse	VER:subp	faire
gaffe	NOM	gaffe
parce	TRC	parce
que	KON	que
imagine	VER:impe	imaginer
le	DET:def	le
gars	NOM	gars
il	PRO:cls	il
t'	PRO:clo	te
aurait	AUX:cond	avoir
dit	VER:pper	dire
euh	INT	euh
viol-	TRC	<unknown>
enfin	ADV	enfin
tu	PRO:cls	tu
sais	VER:pres	savoir
insolence	NOM	insolence
et	KON	et
tout	PRO:ind	tout
euh	INT	euh
il	PRO:cls	il
t'	PRO:clo	te
aurait	AUX:cond	avoir
dit	VER:pper	dire
ah	INT	ah
oui	FNO	oui
non	FNO	non
mais	KON	mais
il	PRO:clsi	il
lui	PRO:clo	lui
a	AUX:pres	avoir
dit	VER:pper	dire
en	PRP	en
plus	ADV	plus
hein	INT	hein
il	PRO:clsi	il
lui	PRO:clo	lui
a	AUX:pres	avoir
dit	VER:pper	dire
euh	INT	euh
vous	PRO:cls	vous
me	PRO:clo	me
parlez	VER:pres	parler
pas	ADV	pas
comme	KON	comme
ça	PRO:ton	ça
et	KON	et
tout	PRO:ind	tout
euh	INT	euh
il	PRO:clsi	il
lui	PRO:clo	lui
a	AUX:pres	avoir
dit	VER:pper	dire
euh	INT	euh
-moi	PRO:clo	moi
montrez	VER:impe	montrer
votre	DET:pos	votre
carte	NOM	carte
d'	PRP	un
identité	NOM	identité
euh	INT	euh
oh	INT	oh
mais	KON	mais
il	PRO:clsi	il
l'	PRO:clo	le
avait	VER:impf	avoir
pas	ADV	pas
en	PRP	en
plus	ADV	plus
non	FNO	non
mais	KON	mais
il	PRO:cls	il
est	VER:pres	être
con	ADJ	con
il	PRO:cls	il
a	VER:pres	avoir
trop	ADV	trop
une	DET:ind	un
grande	ADJ	grand
gueule	NOM	gueule
le	DET:def	le
gars	NOM	gars
déjà	ADV	déjà
il	PRO:cls	il
ouvre	VER:pres	ouvrir
sa	DET:pos	son
gueule	NOM	gueule
en	PRP	en
plus	ADV	plus
il	PRO:cls	il
est	VER:pres	être
pas	ADV	pas
en	PRP	en
règle	NOM	règle
tu	PRO:cls	tu
sais	VER:pres	savoir
non	FNO	non
mais	KON	mais
déjà	ADV	déjà
bah	INT	bah
après	ADV	après
euh	INT	euh
voilà	FNO	voilà
quoi	INT	quoi
j'	PRO:cls	je
au-	TRC	au-
surtout	ADV	surtout
que	KON	que
la	DET:def	le
dernière	ADJ	dernier
fois	NOM	fois
attends	VER:impe	attendre
une	DET:ind	un
fois	NOM	fois
euh	INT	euh
on	PRO:cls	on
a	AUX:pres	avoir
croisé	VER:pper	croiser
les	DET:def	le
les	DET:def	le
flics	NOM	flic
euh	INT	euh
au	PRP:det	au
au	PRP:det	au
rond	NOM	rond
point	NOM	point
de	PRP	de
du	PRP:det	du
Leclerc	NAM	Leclerc
et	KON	et
la	DET:def	le
première	ADJ	premier
fois	NOM	fois
que	KON	que
je	PRO:cls	je
me	PRO:clo	me
fais	VER:pres	faire
pas	ADV	pas
arrêter	VER:infi	arrêter
tu	PRO:cls	tu
vois	VER:pres	voir
¤Pren¤	NAM	<unknown>
il	PRO:cls	il
fait	VER:pres	faire
quoi	INT	quoi
il	PRO:clsi	il
les	PRO:clo	le
regarde	VER:pres	regarder
il	PRO:clsi	il
dit	VER:pres	dire
salut	FNO	salut
comme	KON	comme
ça	PRO:ton	ça
non	FNO	non
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
vrai	ADJ	vrai
mongole	ADJ	mongol
le	DET:def	le
mec	NOM	mec
là	ADV	là
et	KON	et
eux	PRO:ton	eux
ils	PRO:cls	il
vous	PRO:clo	vous
ont	AUX:pres	avoir
arrêtés	VER:pper	arrêter
après	ADV	après
non	FNO	non
non	FNO	non
après	ADV	après
nous	PRO:ton	nous
non	FNO	non
on	PRO:cls	on
est	AUX:pres	être
allés	VER:pper	aller
au	PRP:det	au
au	PRP:det	au
Mac	NOM	mac
Do	NOM	do
et	KON	et
après	ADV	après
quand	KON	quand
on	PRO:cls	on
est	AUX:pres	être
revenus	VER:pper	revenir
et	KON	et
ben	INT	ben
on	PRO:cls	on
les	PRO:clo	le
a	AUX:pres	avoir
croisés	VER:pper	croiser
en	PRO:clo	en
fait	VER:pres	faire
les	DET:def	le
flics	NOM	flic
ils	PRO:cls	il
allaient	VER:impf	aller
ah	INT	ah
faire	VER:infi	faire
un	DET:ind	un
tour	NOM	tour
euh	INT	euh
xxx	NOM	<unknown>
au	PRP:det	au
Mac	NOM	mac
Do	NOM	do
aussi	ADV	aussi
ailleurs	ADV	ailleurs
ouais	FNO	ouais
tu	PRO:cls	tu
vois	VER:pres	voir
putain	INT	putain
en	PRP	en
parlant	VER:ppre	parler
de	PRP	de
contrôle	NOM	contrôle
d'	PRP	un
identité	NOM	identité
tu	PRO:cls	tu
sais	VER:pres	savoir
que	KON	que
mon	DET:pos	mon
frère	NOM	frère
il	PRO:clsi	il
s'	PRO:clo	se
est	AUX:pres	être
fait	VER:pper	faire
il	PRO:cls	il
a	AUX:pres	avoir
eu	VER:pper	avoir
euh	INT	euh
contrôle	NOM	contrôle
d'	PRP	un
identité	NOM	identité
à	PRP	à
¤T¤	NAM	¤T¤
en	PRP	en
pleine	ADJ	plein
rue	NOM	rue
comme	KON	comme
ça	PRO:ton	ça
ouais	FNO	ouais
ah	INT	ah
bon	INT	bon
par	PRP	par
des	DET:ind	un
gendarmes	NOM	gendarme
comme	KON	comme
ça	PRO:ton	ça
oui	FNO	oui
genre	NOM	genre
euh	INT	euh
ils	PRO:cls	il
étaient	VER:impf	être
à	PRP	à
¤T¤	NAM	¤T¤
ils	PRO:cls	il
traînaient	VER:impf	traîner
et	KON	et
tout	PRO:ind	tout
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
une	DET:ind	un
la	DET:def	le
fête	NOM	fête
forraine	ADJ	<unknown>
ou	KON	ou
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
quoi	PRO:int	quoi
tu	PRO:cls	tu
sais	VER:pres	savoir
un	DET:ind	un
truc	NOM	truc
et	KON	et
devait	VER:impf	devoir
y	PRO:clo	y
avoir	VER:infi	avoir
un	DET:ind	un
truc	NOM	truc
le	DET:def	le
matin	NOM	matin
une	DET:ind	un
fête	NOM	fête
forraine	ADJ	<unknown>
à	PRP	à
¤T¤	NAM	¤T¤
et	KON	et
tout	PRO:ind	tout
bah	INT	bah
tu	PRO:cls	tu
sais	VER:pres	savoir
le	DET:def	le
petit	ADJ	petit
machin	NOM	machin
là	ADV	là
ah	INT	ah
oui	FNO	oui
et	KON	et
genre	NOM	genre
euh	INT	euh
il	PRO:cls	il
voit	VER:pres	voir
les	DET:def	le
les	DET:def	le
policiers	NOM	policier
ils	PRO:cls	il
lui	PRO:clo	lui
disent	VER:pres	dire
contrôle	NOM	contrôle
d'	PRP	un
identité	NOM	identité
tu	PRO:cls	tu
sais	VER:pres	savoir
en	PRP	en
gros	ADJ	gros
tu	PRO:cls	tu
dois	VER:pres	devoir
montrer	VER:infi	montrer
quoi	INT	quoi
ta	DET:pos	ton
carte	NOM	carte
d'	PRP	un
identité	NOM	identité
tes	DET:pos	ton
papiers	NOM	papier
ouais	FNO	ouais
ouais	FNO	ouais
.	NAM	<unknown>
oui	FNO	oui
bah	INT	bah
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
que	KON	que
ça	PRO:cls	ça
en	PRO:clo	en
fait	VER:pres	faire
non	FNO	non
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
quoi	INT	quoi
d'	PRP	un
autre	ADJ	autre
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
tout	PRO:ind	tout
à	PRP	à
montrer	VER:infi	montrer
ah	INT	ah
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
tout	PRO:ind	tout
non	FNO	non
parce	TRC	parce
que	KON	que
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
rien	PRO:ind	rien
d'	PRP	un
autre	ADJ	autre
moi	PRO:ton	moi
non	FNO	non
plus	ADV	plus
enfin	ADV	enfin
mon	DET:pos	mon
passeport	NOM	passeport
quoi	INT	quoi
mais	KON	mais
moi	PRO:ton	moi
enfin	ADV	enfin
je	PRO:cls	je
crois	VER:pres	croire
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
de	PRP	de
passeport	NOM	passeport
je	PRO:cls	je
sais	VER:pres	savoir
même	ADV	même
pas	ADV	pas
si	KON	si
j'	PRO:cls	je
en	PRO:clo	en
ai	VER:pres	avoir
un	DET:ind	un
enfin	ADV	enfin
pas	ADV	pas
sur	PRP	sur
moi	PRO:ton	moi
en	PRP	en
tout	PRO:ind	tout
cas	NOM	cas
bah	INT	bah
après	ADV	après
si	KON	si
tu	PRO:cls	tu
as	VER:pres	avoir
une	DET:ind	un
carte	NOM	carte
d'	PRP	un
identité	NOM	identité
euh	INT	euh
tu	PRO:cls	tu
t'	PRO:clo	te
en	PRO:clo	en
fous	VER:pres	foutre
du	PRP:det	du
passeport	NOM	passeport
ouais	FNO	ouais
genre	NOM	genre
à	PRP	à
¤T¤	NAM	¤T¤
tu	PRO:cls	tu
sais	VER:pres	savoir
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
si	KON	si
là	ADV	là
on	PRO:cls	on
te	PRO:clo	te
demandait	VER:impf	demander
tes	DET:pos	ton
papiers	NOM	papier
tu	PRO:cls	tu
sais	VER:pres	savoir
gros	ADJ	gros
délinquant	NOM	délinquant
montre	VER:pres	montrer
moi	PRO:ton	moi
ton	DET:pos	ton
ton	DET:pos	ton
identité	NOM	identité
vite	ADV	vite
surtout	ADV	surtout
mon	DET:pos	mon
frère	NOM	frère
tu	PRO:cls	tu
sais	VER:pres	savoir
euh	INT	euh
le	DET:def	le
gars	NOM	gars
qui	PRO:rel	qui
a	VER:pres	avoir
trop	ADV	trop
une	DET:ind	un
allure	NOM	allure
de	PRP	de
délinquant	VER:ppre	délinquer
tu	PRO:cls	tu
sais	VER:pres	savoir
non	FNO	non
mais	KON	mais
bref	INT	bref
il	PRO:cls	il
était	VER:impf	être
avec	PRP	avec
qui	PRO:rel	qui
tout	ADV	tout
seul	ADJ	seul
il	PRO:cls	il
était	VER:impf	être
tout	ADV	tout
seul	ADJ	seul
genre	NOM	genre
ma	DET:pos	mon
mère	NOM	mère
elle	PRO:cls	elle
était	VER:impf	être
à	PRP	à
la	DET:def	le
banque	NOM	banque
je	PRO:cls	je
crois	VER:pres	croire
et	KON	et
puis	KON	puis
non	FNO	non
mais	KON	mais
n'	ADV	ne
importe	VER:pres	importer
quoi	PRO:int	quoi
lui	PRO:ton	lui
il	PRO:cls	il
était	VER:impf	être
tout	ADV	tout
seul	ADJ	seul
tes	DET:pos	ton
papiers	NOM	papier
vite	ADV	vite
non	FNO	non
mais	KON	mais
tu	PRO:cls	tu
sais	VER:pres	savoir
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
comme	KON	comme
si	KON	si
genre	NOM	genre
ils	PRO:cls	il
étaient	VER:impf	être
un	DET:ind	un
groupe	NOM	groupe
de	PRP	de
jeunes	ADJ	jeune
en	PRP	en
bande	NOM	bande
à	PRP	à
fumer	VER:infi	fumer
ou	KON	ou
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
quoi	INT	quoi
euh	INT	euh
un	DET:ind	un
truc	NOM	truc
bizarre	ADJ	bizarre
tu	PRO:cls	tu
sais	VER:pres	savoir
non	FNO	non
non	FNO	non
c'	PRO:cls	ce
est	AUX:pres	être
abusé	VER:pper	abuser
et	KON	et
tu	PRO:cls	tu
sais	VER:pres	savoir
que	KON	que
merde	INT	merde
je	PRO:cls	je
sais	VER:pres	savoir
plus	ADV	plus
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:rel	qui
qui	PRO:rel	qui
me	PRO:clo	me
disait	VER:impf	dire
ça	PRO:ton	ça
les	DET:def	le
voilà	FNO	voilà
bah	INT	bah
tiens	INT	tiens
ils	PRO:cls	il
viennent	VER:pres	venir
me	PRO:clo	me
chercher	VER:infi	chercher
j'	PRO:cls	je
ai	AUX:pres	avoir
fais	VER:pres	faire
quoi	INT	quoi
encore	ADV	encore
je	PRO:cls	je
sais	VER:pres	savoir
plus	ADV	plus
pourquoi	PRO:int	pourquoi
euh	INT	euh
mais	KON	mais
mais	KON	mais
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
ils	PRO:cls	il
sont	VER:pres	être
où	PRO:int	où
peut-être	ADV	peut-être
attends	VER:impe	attendre
je	PRO:cls	je
sais	VER:pres	savoir
plus	ADV	plus
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:rel	qui
qui	PRO:rel	qui
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
le	DET:def	le
truc	NOM	truc
des	PRP:det	du
pompiers	NOM	pompier
ça	PRO:ton	ça
bah	INT	bah
ouvre	VER:impe	ouvrir
voir	VER:infi	voir
la	DET:def	le
fenêtre	NOM	fenêtre
ah	INT	ah
si	FNO	si
ouais	FNO	ouais
ah	INT	ah
non	FNO	non
non	FNO	non
attends	VER:impe	attendre
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
voiture	NOM	voiture
euh	INT	euh
jaune	NOM	jaune
pétant	VER:ppre	péter
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
police	NOM	police
ou	KON	ou
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
quoi	INT	quoi
ou	KON	ou
le	DET:def	le
.	ADJ	<unknown>
jaune	NOM	jaune
pétant	VER:ppre	péter
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
.	NAM	<unknown>
je	PRO:cls	je
crois	VER:pres	croire
xxx	NOM	<unknown>
genre	NOM	genre
de	PRP	de
quatre	NUM	@card@
quatre	NUM	@card@
bizarre	ADJ	bizarre
ouais	FNO	ouais
moi	PRO:ton	moi
je	PRO:cls	je
croyais	VER:impf	croire
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
quand	KON	quand
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
une	DET:ind	un
alerte	NOM	alerte
à	PRP	à
la	DET:def	le
j'	PRO:cls	je
aimerais	VER:cond	aimer
bien	ADV	bien
voir	VER:infi	voir
une	DET:ind	un
course	NOM	course
poursuite	NOM	poursuite
moi	PRO:ton	moi
j'	PRO:cls	je
en	PRO:clo	en
ai	AUX:pres	avoir
vu	VER:pper	voir
une	DET:ind	un
à	PRP	à
Toulouse	NAM	<unknown>
