a-	TRC	a-
en	PRO:clo	en
fait	VER:pres	faire
euh	INT	euh
le	DET:def	le
frère	NOM	frère
le	DET:def	le
facteur	NOM	facteur
euh	INT	euh
le	DET:def	le
le	DET:def	le
le	DET:def	le
frère	NOM	frère
du	PRP:det	du
facteur	NOM	facteur
oui	FNO	oui
non	FNO	non
en	PRO:clo	en
fait	VER:pres	faire
Horacio	NOM	<unknown>
Horacio	NOM	<unknown>
il	PRO:cls	il
sortait	VER:impf	sortir
avec	PRP	avec
la	DET:def	le
soeur	NOM	soeur
de	PRP	de
hum	FNO	hum
voilà	FNO	voilà
ah	INT	ah
ouais	FNO	ouais
donc	ADV	donc
c'	PRO:cls	ce
était	VER:impf	être
le	DET:def	le
frère	NOM	frère
de	PRP	de
sa	DET:pos	son
ah	INT	ah
bon	INT	bon
femme	NOM	femme
à	PRP	à
Horacio	NOM	<unknown>
Kane	NAM	<unknown>
ah	INT	ah
oui	FNO	oui
si	KON	si
et	KON	et
il	PRO:cls	il
a-	TRC	a-
ah	INT	ah
oui	FNO	oui
elle	PRO:cls	elle
a	AUX:pres	avoir
été	AUX:pper	être
assassinée	VER:pper	assassiner
par	PRP	par
le	DET:def	le
méchant	ADJ	méchant
plein	ADV	plein
de	PRP	de
tatouages	NOM	tatouage
là	ADV	là
ah	INT	ah
ce	PRO:cls	ce
n'	ADV	ne
était	VER:impf	être
pas	ADV	pas
une	DET:ind	un
maladie	NOM	maladie
mais	KON	mais
non	FNO	non
elle	PRO:cls	elle
est	AUX:pres	être
morte	VER:pper	mourir
elle	PRO:cls	elle
a	AUX:pres	avoir
été	AUX:pper	être
assassinée	VER:pper	assassiner
ah	INT	ah
ouais	FNO	ouais
ça	PRO:cls	ça
doit	VER:pres	devoir
être	VER:infi	être
ça	PRO:ton	ça
je	PRO:cls	je
ne	ADV	ne
sais	VER:pres	savoir
pas	ADV	pas
je	PRO:cls	je
n'	ADV	ne
ai	VER:pres	avoir
pas	ADV	pas
tout	PRO:ind	tout
suivi	VER:pper	suivre
moi	PRO:ton	moi
par	PRP	par
euh	INT	euh
euh	INT	euh
un	DET:ind	un
un	DET:ind	un
bizarre	ADJ	bizarre
avec	PRP	avec
des	DET:ind	un
tatouages	NOM	tatouage
muni	VER:pper	munir
d'	PRP	un
une	DET:ind	un
arme	NOM	arme
à	PRP	à
feu	NOM	feu
waouh	INT	waouh
c'	PRO:cls	ce
était	VER:impf	être
beau	ADJ	beau
ça	PRO:ton	ça
muni	ADJ	muni
d'	PRP	un
une	DET:ind	un
arme	NOM	arme
ouah	INT	ouah
ouais	FNO	ouais
xxx	NOM	<unknown>
xxx	NOM	<unknown>
allez	INT	allez
il	PRO:cls	il
faut	VER:pres	falloir
être	VER:infi	être
en	PRP	en
forme	NOM	forme
xxx	NOM	<unknown>
pour	PRP	pour
l'	DET:def	le
anglais	NOM	anglais
là	ADV	là
hein	INT	hein
ah	INT	ah
on	PRO:cls	on
va	VER:pres	aller
le	DET:def	le
minimum	NOM	minimum
non	FNO	non
mais	KON	mais
la	DET:def	le
dernière	ADJ	dernier
fois	NOM	fois
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
ennuyée	VER:pper	ennuyer
ah	INT	ah
bah	INT	bah
moi	PRO:ton	moi
aussi	ADV	aussi
oh	INT	oh
euh	INT	euh
on	PRO:cls	on
a	AUX:pres	avoir
fait	VER:pper	faire
quoi	INT	quoi
déjà	ADV	déjà
rien	PRO:ind	rien
bah	INT	bah
si	KON	si
les	DET:def	le
nanny	NOM	<unknown>
state	ADJ	<unknown>
laws	NOM	<unknown>
on	PRO:cls	on
a	AUX:pres	avoir
fait	VER:pper	faire
le	DET:def	le
le	DET:def	le
début	NOM	début
de	PRP	de
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
va	VER:pres	aller
non	FNO	non
c'	PRO:cls	ce
était	VER:impf	être
pas	ADV	pas
ça	PRO:cls	ça
continuer	VER:infi	continuer
bah	INT	bah
l'	DET:def	le
autre	ADJ	autre
on	PRO:cls	on
a	AUX:pres	avoir
fait	VER:pper	faire
euh	INT	euh
jour	NOM	jour
on	PRO:cls	on
a	AUX:pres	avoir
rien	PRO:ind	rien
fait	VER:pper	faire
la	DET:def	le
semaine	NOM	semaine
dernière	ADJ	dernier
the	ETR	the
barter	NOM	<unknown>
bah	INT	bah
si	KON	si
un	DET:ind	un
truc	NOM	truc
à	PRP	à
deux	NUM	@card@
tu	PRO:cls	tu
sais	VER:pres	savoir
louable	ADJ	louable
oui	FNO	oui
avec	PRP	avec
la	DET:def	le
montre	NOM	montre
on	PRO:cls	on
a	AUX:pres	avoir
rien	PRO:ind	rien
fait	VER:pper	faire
ah	INT	ah
les	DET:def	le
trucs	NOM	truc
de	PRP	de
de	PRP	de
trocs	NOM	troc
et	KON	et
tout	PRO:ind	tout
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
voilà	FNO	voilà
et	KON	et
a-	TRC	a-
avec	PRP	avec
sells	NOM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
le	DET:def	le
verbe	NOM	verbe
sell	NOM	<unknown>
sell	NOM	<unknown>
oui	FNO	oui
ah	INT	ah
oui	FNO	oui
oh	INT	oh
non	FNO	non
ce	PRO:cls	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
vrai	ADJ	vrai
elle	PRO:cls	elle
allait	VER:impf	aller
étouffer	VER:infi	étouffer
en	PRP	en
plus	ADV	plus
oui	FNO	oui
¤Pren¤	NAM	<unknown>
tu	PRO:cls	tu
es	VER:pres	être
un	DET:ind	un
peu	NOM	peu
portée	VER:pper	porter
sur	PRP	sur
euh	INT	euh
les	DET:def	le
cacas	NOM	caca
hein	INT	hein
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
¤pren¤	NAM	<unknown>
hein	INT	hein
ta	DET:pos	ton
copine	NOM	copine
elle	PRO:cls	elle
s'	PRO:clo	se
appelle	VER:pres	appeler
¤Pren¤	NAM	<unknown>
bah	INT	bah
oui	FNO	oui
bah	INT	bah
voilà	FNO	voilà
elle	PRO:cls	elle
fait	VER:pres	faire
même	ADV	même
la	DET:def	le
différence	NOM	différence
tu	PRO:cls	tu
as	VER:pres	avoir
du	DET:par	du
confondre	VER:infi	confondre
entre	PRP	entre
nous	PRO:ton	nous
deux	NUM	@card@
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
¤Pren¤	NAM	<unknown>
et	KON	et
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
¤Pren¤	NAM	<unknown>
et	KON	et
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
¤Pren¤	NAM	<unknown>
xxx	NOM	<unknown>
oui	FNO	oui
mais	KON	mais
moi	PRO:ton	moi
je	PRO:cls	je
préfère	VER:pres	préférer
moi	PRO:ton	moi
je	PRO:cls	je
sais	VER:pres	savoir
rester	VER:infi	rester
qui	PRO:int	qui
je	PRO:cls	je
suis	VER:pres	être
comment	PRO:int	comment
c'	PRO:cls	ce
est	VER:pres	être
¤Pren¤	NAM	<unknown>
je	PRO:cls	je
suis	AUX:pres	être
perdue	VER:pper	perdre
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
l'	DET:def	le
article	NOM	article
euh	INT	euh
scientifique	ADJ	scientifique
ça	PRO:cls	ça
a	VER:pres	avoir
un	DET:ind	un
peu	NOM	peu
euh	INT	euh
détruit	VER:pper	détruire
mes	DET:pos	mon
neurones	NOM	neurone
non	FNO	non
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
qu'	KON	que
il	PRO:cls	il
était	VER:impf	être
long	ADJ	long
ouais	FNO	ouais
han	NOM	<unknown>
abusé	VER:pper	abuser
quoi	INT	quoi
et	KON	et
on	PRO:cls	on
l'	PRO:clo	le
a	AUX:pres	avoir
lu	VER:pper	lire
entièrement	ADV	entièrement
mais	KON	mais
le	DET:def	le
truc	NOM	truc
c'	PRO:cls	ce
est	VER:pres	être
les	DET:def	le
trucs	NOM	truc
là	ADV	là
tu	PRO:cls	tu
les	PRO:clo	le
lis	VER:pres	lire
en	PRP	en
plusieurs	DET:ind	plusieurs
fois	NOM	fois
quoi	INT	quoi
mais	KON	mais
tu	PRO:cls	tu
as	VER:pres	avoir
ouais	FNO	ouais
une	DET:ind	un
pause	NOM	pause
où	PRO:rel	où
attends	VER:pres	attendre
le	DET:def	le
¤S¤	NAM	<unknown>
pour	PRP	pour
t'	PRO:clo	te
aider	VER:infi	aider
hein	INT	hein
mais	KON	mais
ça	PRO:ton	ça
non	FNO	non
mais	KON	mais
franchement	ADV	franchement
tu	PRO:cls	tu
lis	VER:pres	lire
pas	ADV	pas
tu	PRO:cls	tu
lis	VER:pres	lire
pas	ADV	pas
quinze	NUM	@card@
pages	NOM	page
d'	PRP	un
un	DET:ind	un
bloc	NOM	bloc
comme	KON	comme
ça	PRO:ton	ça
euh	INT	euh
bah	INT	bah
oui	FNO	oui
hein	INT	hein
écrit	VER:pper	écrire
en	PRP	en
minuscule	ADJ	minuscule
xxx	NOM	<unknown>
dans	PRP	dans
le	DET:def	le
noir	ADJ	noir
presque	ADV	presque
c'	PRO:cls	ce
est	AUX:pres	être
toujours	ADV	toujours
parfait	VER:pper	parfaire
non	FNO	non
mais	KON	mais
moi	PRO:ton	moi
je	PRO:cls	je
vais	VER:pres	aller
chez	PRP	chez
l'	DET:def	le
ophtalmo	NOM	<unknown>
euh	INT	euh
lundi	NOM	lundi
je	PRO:cls	je
ne	ADV	ne
vois	VER:pres	voir
plus	ADV	plus
rien	PRO:ind	rien
et	KON	et
moi	PRO:ton	moi
non	FNO	non
plus	ADV	plus
je	PRO:cls	je
ne	ADV	ne
vois	VER:pres	voir
plus	ADV	plus
rien	PRO:ind	rien
je	PRO:cls	je
n'	ADV	ne
ai	AUX:pres	avoir
pas	ADV	pas
eu	VER:pper	avoir
de	PRP	de
-vous	PRO:clo	vous
rendez	VER:pres	rendre
avant	ADV	avant
mars	NOM	mars
pourquoi	PRO:int	pourquoi
tu	PRO:cls	tu
y	PRO:clo	y
vas	VER:pres	aller
là	ADV	là
à	PRP	à
cause	NOM	cause
des	PRP:det	du
panneaux	NOM	panneau
ah	INT	ah
ouais	FNO	ouais
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
rendue	VER:pper	rendre
compte	NOM	compte
cet	DET:dem	ce
été	NOM	été
en	PRP	en
allant	VER:ppre	aller
à	PRP	à
à	PRP	à
Béziers	NOM	<unknown>
en	PRP	en
vacances	NOM	vacances
et	KON	et
je	PRO:cls	je
descends	VER:pres	descendre
tranquille	ADJ	tranquille
¤T¤	NAM	¤T¤
ça	PRO:cls	ça
va	VER:pres	aller
je	PRO:cls	je
descends	VER:pres	descendre
après	ADV	après
tu	PRO:cls	tu
sais	VER:pres	savoir
ah	INT	ah
merde	NOM	merde
dans	PRP	dans
Béziers	NOM	<unknown>
je	PRO:cls	je
ne	ADV	ne
vois	VER:pres	voir
pas	ADV	pas
bien	ADV	bien
les	DET:def	le
panneaux	NOM	panneau
et	KON	et
je	PRO:cls	je
suis	AUX:pres	être
obligée	VER:pper	obliger
de	PRP	de
les	DET:def	le
lire	NOM	lire
je	PRO:cls	je
connais	VER:pres	connaître
pas	ADV	pas
je	PRO:cls	je
dis	VER:pres	dire
maman	NOM	maman
s'	KON	si
il	PRO:clsi	il
te	PRO:clo	te
plaît	VER:pres	plaire
lis	VER:impe	lire
moi	PRO:ton	moi
les	DET:def	le
panneaux	NOM	panneau
avant	ADV	avant
parce	TRC	parce
que	KON	que
moi	PRO:ton	moi
je	PRO:cls	je
les	PRO:clo	le
vois	VER:pres	voir
à	PRP	à
deux	NUM	@card@
mètres	NOM	mètre
avant	ADV	avant
d'	PRP	un
arriver	VER:infi	arriver
pile	ADV	pile
c'	PRO:cls	ce
est	AUX:pres	être
mort	VER:pper	mourir
quoi	INT	quoi
et	KON	et
en	PRP	en
plus	ADV	plus
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
rendue	VER:pper	rendre
compte	NOM	compte
que	KON	que
je	PRO:cls	je
les	PRO:clo	le
voyais	VER:impf	voir
plus	ADV	plus
et	KON	et
en	PRP	en
fait	NOM	fait
à	PRP	à
¤T¤	NAM	¤T¤
ça	PRO:cls	ça
ne	ADV	ne
me	PRO:clo	me
gêne	VER:pres	gêner
pas	ADV	pas
parce	TRC	parce
qu'	PRO:rel	que
en	PRO:clo	en
fait	VER:pres	faire
je	PRO:cls	je
les	PRO:clo	le
regarde	VER:pres	regarder
pas	ADV	pas
tu	PRO:cls	tu
connais	VER:pres	connaître
je	PRO:cls	je
les	PRO:clo	le
regarde	VER:pres	regarder
pas	ADV	pas
donc	ADV	donc
du	PRP:det	du
coup	NOM	coup
j'	PRO:cls	je
avais	AUX:impf	avoir
pas	ADV	pas
remarqué	VER:pper	remarquer
que	KON	que
que	KON	que
je	PRO:cls	je
voyais	VER:impf	voir
plus	ADV	plus
hum	FNO	hum
trop	ADV	trop
bien	ADV	bien
de	PRP	de
loin	ADV	loin
ah	INT	ah
mais	KON	mais
moi	PRO:ton	moi
c'	PRO:cls	ce
est	VER:pres	être
de	PRP	de
près	ADV	près
par	PRP	par
exemple	NOM	exemple
tu	PRO:cls	tu
vois	VER:pres	voir
quand	KON	quand
je	PRO:cls	je
vais	VER:pres	aller
lire	VER:infi	lire
longtemps	ADV	longtemps
bah	INT	bah
je	PRO:cls	je
saute	VER:subp	sauter
des	DET:ind	un
lignes	NOM	ligne
j'	PRO:cls	je
y	PRO:clo	y
arrive	VER:pres	arriver
pas	ADV	pas
tu	PRO:cls	tu
vas	VER:pres	aller
devenir	VER:infi	devenir
presbyte	ADJ	presbyte
ouais	FNO	ouais
pourquoi	PRO:int	pourquoi
tout	ADV	tout
de	PRP	de
suite	NOM	suite
vous	PRO:cls	vous
êtes	VER:pres	être
euh	INT	euh
non	FNO	non
mais	KON	mais
le	DET:def	le
pire	NOM	pire
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
eu	VER:pper	avoir
la	DET:def	le
même	ADJ	même
pensée	NOM	pensée
que	KON	que
toi	PRO:ton	toi
bah	INT	bah
¤Pren¤	NAM	<unknown>
voyons	VER:impe	voir
voyons	VER:impe	voir
non	FNO	non
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
non	FNO	non
mais	KON	mais
franchement	ADV	franchement
oui	FNO	oui
mais	KON	mais
ça	PRO:cls	ça
m'	PRO:clo	me
étonne	VER:pres	étonner
de	PRP	de
¤Pren¤	NAM	<unknown>
xxx	NOM	<unknown>
et	KON	et
sur	PRP	sur
Facebook	NAM	Facebook
bah	INT	bah
en	PRO:clo	en
fait	VER:pres	faire
.	NAM	<unknown>
je	PRO:cls	je
ne	ADV	ne
suis	VER:pres	être
pas	ADV	pas
je	PRO:cls	je
ne	ADV	ne
suis	VER:pres	être
pas	ADV	pas
presbyte	ADJ	presbyte
je	PRO:cls	je
suis	VER:pres	être
myope	ADJ	myope
plutôt	ADV	plutôt
ah	INT	ah
non	FNO	non
si	KON	si
tu	PRO:cls	tu
vois	VER:pres	voir
pas	ADV	pas
de	PRP	de
près	ADV	près
tu	PRO:cls	tu
es	VER:pres	être
hypermétrope	ADJ	hypermétrope
si	KON	si
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
plus	ADV	plus
loin	ADV	loin
non	FNO	non
mais	KON	mais
non	FNO	non
hypermétrope	NOM	hypermétrope
myope	ADJ	myope
c'	PRO:cls	ce
est	VER:pres	être
de	PRP	de
loin	ADV	loin
mais	KON	mais
tu	PRO:cls	tu
sais	VER:pres	savoir
les	DET:def	le
taupes	NOM	taupe
sont	VER:pres	être
myopes	ADJ	myope
je	PRO:cls	je
crois	VER:pres	croire
elles	PRO:cls	elle
voient	VER:pres	voir
de	PRP	de
près	ADV	près
non	FNO	non
mais	KON	mais
je	PRO:cls	je
suis	VER:pres	être
myope	ADJ	myope
et	KON	et
astigmate	ADJ	astigmate
et	KON	et
je	PRO:cls	je
ne	ADV	ne
vois	VER:pres	voir
pas	ADV	pas
de	PRP	de
loin	ADV	loin
moi	PRO:ton	moi
c'	PRO:cls	ce
est	VER:pres	être
pareil	ADJ	pareil
et	KON	et
comment	PRO:int	comment
tu	PRO:cls	tu
peux	VER:pres	pouvoir
savoir	VER:infi	savoir
si	KON	si
tu	PRO:cls	tu
as	AUX:pres	avoir
jamais	ADV	jamais
été	AUX:pper	être
chez	PRP	chez
l'	DET:def	le
ophtalmo	NOM	<unknown>
j'	PRO:cls	je
y	PRO:clo	y
vais	VER:pres	aller
tous	DET:pre	tout
les	DET:def	le
deux	NUM	@card@
ans	NOM	an
ah	INT	ah
oui	FNO	oui
tu	PRO:cls	tu
as	VER:pres	avoir
des	DET:ind	un
lentilles	NOM	lentille
oui	FNO	oui
je	PRO:cls	je
suis	VER:pres	être
myope	ADJ	myope
depuis	ADV	depuis
que	KON	que
je	PRO:cls	je
suis	VER:pres	être
au	PRP:det	au
collège	NOM	collège
donc	ADV	donc
oui	FNO	oui
tu	PRO:cls	tu
les	PRO:clo	le
avais	VER:impf	avoir
ah	INT	ah
oui	FNO	oui
vous	PRO:cls	vous
ne	ADV	ne
l'	PRO:clo	le
avez	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
avec	PRP	avec
des	DET:ind	un
lunettes	NOM	lunettes
non	FNO	non
je	PRO:cls	je
non	FNO	non
de	DET:ind	un
première	ADJ	premier
année	NOM	année
non	FNO	non
si	KON	si
un	DET:ind	un
moment	NOM	moment
elle	PRO:cls	elle
avait	AUX:impf	avoir
eu	VER:pper	avoir
des	DET:ind	un
lunettes	NOM	lunettes
ah	INT	ah
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
que	KON	que
j'	PRO:cls	je
étais	AUX:impf	être
trop	ADV	trop
fatiguée	VER:pper	fatiguer
pour	PRP	pour
mettre	VER:infi	mettre
mes	DET:pos	mon
lentilles	NOM	lentille
ça	PRO:cls	ça
me	PRO:clo	me
fait	VER:pres	faire
mal	ADV	mal
à	PRP	à
la	DET:def	le
tête	NOM	tête
et	KON	et
du	PRP:det	du
coup	NOM	coup
ah	INT	ah
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
si	KON	si
j'	PRO:cls	je
aimerais	VER:cond	aimer
han	NOM	<unknown>
mon	DET:pos	mon
copain	NOM	copain
il	PRO:clsi	il
en	PRO:clo	en
met	VER:pres	mettre
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
comment	PRO:int	comment
il	PRO:cls	il
fait	VER:pres	faire
par	PRP	par
la	DET:def	le
suite	NOM	suite
j'	PRO:cls	je
ai	AUX:pres	avoir
prévu	VER:pper	prévoir
de	PRP	de
faire	VER:infi	faire
l'	DET:def	le
opération	NOM	opération
tu	PRO:cls	tu
vas	VER:pres	aller
faire	VER:infi	faire
une	DET:ind	un
opération	NOM	opération
bah	INT	bah
ouais	FNO	ouais
je	PRO:cls	je
au	PRP:det	au
laser	NOM	laser
là	ADV	là
découper	VER:infi	découper
les	DET:def	le
yeux	NOM	oeil
hum	FNO	hum
ah	INT	ah
non	FNO	non
mais	KON	mais
moi	PRO:ton	moi
je	PRO:cls	je
me	PRO:clo	me
demande	VER:pres	demander
si	KON	si
vraiment	ADV	vraiment
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
la	DET:def	le
faute	NOM	faute
des	PRP:det	du
yeux	NOM	oeil
t-	TRC	t-
sais	VER:pres	savoir
c'	PRO:cls	ce
est	VER:pres	être
au	PRP:det	au
bout	NOM	bout
d'	PRP	un
un	DET:ind	un
moment	NOM	moment
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
migraines	NOM	migraine
ah	INT	ah
oui	FNO	oui
ça	PRO:cls	ça
doit	VER:pres	devoir
être	VER:infi	être
ça	PRO:ton	ça
ouais	FNO	ouais
voilà	FNO	voilà
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
migraines	NOM	migraine
euh	INT	euh
par	PRP	par
exemple	NOM	exemple
là	ADV	là
les	DET:def	le
lumières	NOM	lumière
ça	PRO:cls	ça
me	PRO:clo	me
fait	VER:pres	faire
mal	ADV	mal
aux	PRP:det	au
yeux	NOM	oeil
ah	INT	ah
moi	PRO:ton	moi
aussi	ADV	aussi
moi	PRO:ton	moi
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
lumière	NOM	lumière
du	PRP:det	du
jour	NOM	jour
la	DET:def	le
lumière	NOM	lumière
du	PRP:det	du
jour	NOM	jour
ça	PRO:cls	ça
me	PRO:clo	me
fait	VER:pres	faire
un	DET:ind	un
peu	NOM	peu
l'	DET:def	le
oeil	NOM	oeil
rouge	ADJ	rouge
ouais	FNO	ouais
han	NOM	<unknown>
les	DET:def	le
yeux	NOM	oeil
qui	PRO:rel	qui
pleurent	VER:pres	pleurer
euh	INT	euh
je	PRO:cls	je
mettrais	VER:cond	mettre
mes	DET:pos	mon
lunettes	NOM	lunettes
de	PRP	de
soleil	NOM	soleil
quand	KON	quand
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
petit	ADJ	petit
bout	NOM	bout
de	PRP	de
soleil	NOM	soleil
alors	ADV	alors
qu'	KON	que
il	PRO:cls	il
fait	VER:pres	faire
superbe	ADJ	superbe
euh	INT	euh
gris	ADJ	gris
quoi	INT	quoi
ouais	FNO	ouais
oh	INT	oh
.	NAM	<unknown>
bah	INT	bah
il	PRO:cls	il
ne	ADV	ne
m'	PRO:clo	me
a	AUX:pres	avoir
pas	ADV	pas
donné	VER:pper	donner
le	DET:def	le
permis	NOM	permis
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
dégueulasse	ADJ	dégueulasse
hum	FNO	hum
bah	INT	bah
en	PRP	en
même	ADJ	même
temps	NOM	temps
on	PRO:cls	on
ne	ADV	ne
va	VER:pres	aller
pas	ADV	pas
foutre	VER:infi	foutre
une	DET:ind	un
myope	NOM	myope
sur	PRP	sur
la	DET:def	le
route	NOM	route
tu	PRO:cls	tu
imagines	VER:pres	imaginer
non	FNO	non
mais	KON	mais
attends	VER:impe	attendre
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
elle	PRO:cls	elle
est	VER:pres	être
très	ADV	très
loin	ADV	loin
la	DET:def	le
voiture	NOM	voiture
s'	KON	si
il	PRO:cls	il
lit	VER:pres	lire
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:clsi	il
y	PRO:clo	y
a	AUX:pres	avoir
marqué	VER:pper	marquer
en	PRP	en
bas	NOM	bas
ils	PRO:cls	il
m'	PRO:clo	me
ont	AUX:pres	avoir
fait	VER:pper	faire
le	DET:def	le
même	ADJ	même
coup	NOM	coup
ils	PRO:cls	il
m'	PRO:clo	me
ont	AUX:pres	avoir
fait	VER:pper	faire
le	DET:def	le
même	ADJ	même
coup	NOM	coup
elle	PRO:cls	elle
était	VER:impf	être
super	ADV	super
loin	ADV	loin
