donc	ADV	donc
est	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
ben	INT	ben
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
est	VER:pres	être
en	PRP	en
relief	NOM	relief
hum	FNO	hum
hum	FNO	hum
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
la	DET:def	le
coccinelle	NOM	coccinelle
elle	PRO:cls	elle
a	VER:pres	avoir
et	KON	et
regarde	VER:impe	regarder
les	DET:def	le
pieds	NOM	pied
ses	DET:pos	son
pattes	NOM	patte
dedans	ADV	dedans
regarde	VER:pres	regarder
là	ADV	là
y	PRO:clo	y
a	VER:pres	avoir
les	DET:def	le
pattes	NOM	patte
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
marrant	ADJ	marrant
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
les	DET:def	le
pattes	NOM	patte
ah	INT	ah
ah	INT	ah
bon	INT	bon
mais	KON	mais
oui	FNO	oui
parce	TRC	parce
que	KON	que
tu	PRO:cls	tu
vois	VER:pres	voir
les	DET:def	le
autres	ADJ	autre
tu	PRO:cls	tu
as	VER:pres	avoir
tout	PRO:ind	tout
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
c-	TRC	c-
mais	KON	mais
regarde	VER:impe	regarder
c'	PRO:cls	ce
est	VER:pres	être
toutes	DET:pre	tout
les	DET:def	le
petites	ADJ	petit
pattes	NOM	patte
où	PRO:int	où
ça	PRO:ton	ça
mais	KON	mais
regarde	VER:impe	regarder
ouais	FNO	ouais
mais	KON	mais
sur	PRP	sur
le	DET:def	le
coup	NOM	coup
je	PRO:cls	je
trouve	VER:pres	trouver
ça	PRO:cls	ça
fait	VER:pres	faire
quand	KON	quand
même	ADV	même
un	DET:ind	un
peu	NOM	peu
gros	ADJ	gros
nan	NOM	<unknown>
oh	INT	oh
avec	PRP	avec
les	DET:def	le
coeurs	NOM	<unknown>
non	FNO	non
après	ADV	après
euh	INT	euh
ça	PRO:cls	ça
fait	VER:pres	faire
euh	INT	euh
mais	KON	mais
bon	INT	bon
moi	PRO:ton	moi
je	PRO:cls	je
trouvais	VER:impf	trouver
que	KON	que
la	DET:def	le
la	DET:def	le
chaîne	NOM	chaîne
je	PRO:cls	je
trouvais	VER:impf	trouver
ça	PRO:ton	ça
pas	ADV	pas
beau	ADJ	beau
hum	FNO	hum
hum	FNO	hum
et	KON	et
comme	KON	comme
ça	PRO:ton	ça
je	PRO:cls	je
peux	VER:pres	pouvoir
le	PRO:clo	le
mettre	VER:infi	mettre
même	ADV	même
sans	PRP	sans
rien	PRO:ind	rien
après	ADV	après
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
oui	FNO	oui
après	ADV	après
tu	PRO:cls	tu
mets	VER:pres	mettre
ceux	PRO:dem	celui
que	PRO:rel	que
tu	PRO:cls	tu
veux	VER:pres	vouloir
ouais	FNO	ouais
hum	FNO	hum
hum	FNO	hum
hum	FNO	hum
hum	FNO	hum
ou	KON	ou
pas	ADV	pas
ou	KON	ou
ouais	FNO	ouais
mais	KON	mais
je	PRO:cls	je
te	PRO:clo	te
dis	VER:pres	dire
niveau	NOM	niveau
prix	NOM	prix
quand	KON	quand
tu	PRO:cls	tu
regardes	VER:pres	regarder
le	DET:def	le
chat	NOM	chat
il	PRO:cls	il
était	VER:impf	être
à	PRP	à
plus	ADV	plus
de	PRP	de
vingt	NUM	@card@
euros	NOM	euro
vingt-quatre	NUM	@card@
euros	NOM	euro
et	KON	et
c'	PRO:cls	ce
est	AUX:pres	être
barré	VER:pper	barrer
ça	PRO:ton	ça
aussi	ADV	aussi
c'	PRO:cls	ce
était	VER:impf	être
dans	PRP	dans
les	DET:def	le
dix-sept	NUM	@card@
ben	INT	ben
la	DET:def	le
coccinelle	NOM	coccinelle
c'	PRO:cls	ce
est	VER:pres	être
normal	ADJ	normal
hein	INT	hein
je	PRO:cls	je
trouve	VER:pres	trouver
elle	PRO:cls	elle
est	VER:pres	être
vachement	ADV	vachement
bien	ADV	bien
faite	VER:pper	faire
hum	FNO	hum
hum	FNO	hum
et	KON	et
euh	INT	euh
après	ADV	après
si	KON	si
maintenant	ADV	maintenant
tu	PRO:cls	tu
veux	VER:pres	vouloir
la	PRO:clo	le
mettre	VER:infi	mettre
après	ADV	après
un	DET:ind	un
pendentif	NOM	pendentif
tu	PRO:cls	tu
peux	VER:pres	pouvoir
aussi	ADV	aussi
hein	INT	hein
ouais	FNO	ouais
ben	INT	ben
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
tu	PRO:cls	tu
peux	VER:pres	pouvoir
hum	FNO	hum
hum	FNO	hum
la	DET:def	le
tortue	NOM	tortue
j'	PRO:cls	je
adore	VER:pres	adorer
et	KON	et
sur	PRP	sur
le	DET:def	le
coup	NOM	coup
quand	KON	quand
j'	PRO:cls	je
avais	VER:impf	avoir
euh	INT	euh
/f-	TRC	<unknown>
fi-	TRC	fi-
s-	TRC	s-
si-/	MLT	<unknown>
euh	INT	euh
/fi-	TRC	<unknown>
si-/	MLT	<unknown>
fait	VER:pper	faire
ma	DET:pos	mon
simulation	NOM	simulation
de	PRP	de
commande	NOM	commande
han	NOM	<unknown>
je	PRO:cls	je
me	PRO:clo	me
dis	VER:pres	dire
quoi	INT	quoi
le	DET:def	le
bracelet	NOM	bracelet
le	DET:def	le
je	PRO:cls	je
croyais	VER:impf	croire
qu'	KON	que
il	PRO:cls	il
était	VER:impf	être
que	KON	que
dix	NUM	@card@
sept	NUM	@card@
alors	ADV	alors
moi	PRO:ton	moi
j'	PRO:cls	je
ai	AUX:pres	avoir
mesuré	VER:pper	mesurer
j'	PRO:cls	je
ai	AUX:pres	avoir
essayé	VER:pper	essayer
j'	PRO:cls	je
ai	AUX:pres	avoir
pris	VER:pper	prendre
un	DET:ind	un
bracelet	NOM	bracelet
à	PRP	à
moi	PRO:ton	moi
et	KON	et
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
ouah	INT	ouah
dix	NUM	@card@
sept	NUM	@card@
ça	PRO:cls	ça
fait	VER:pres	faire
peut	VER:pres	pouvoir
être	VER:infi	être
quand	KON	quand
même	ADV	même
hum	FNO	hum
bon	INT	bon
elle	PRO:cls	elle
a	VER:pres	avoir
elle	PRO:cls	elle
a	VER:pres	avoir
le	DET:def	le
poignet	NOM	poignet
fin	NOM	fin
mais	KON	mais
attends	VER:impe	attendre
j'	PRO:cls	je
ai	VER:pres	avoir
le	DET:def	le
poignet	NOM	poignet
beaucoup	ADV	beaucoup
plus	ADV	plus
fin	NOM	fin
que	KON	que
toi	PRO:ton	toi
va	VER:pres	aller
hum	FNO	hum
ouais	FNO	ouais
m-	TRC	m-
mais	KON	mais
moi	PRO:ton	moi
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
tout	PRO:ind	tout
juste	ADV	juste
dix	NUM	@card@
sept	NUM	@card@
et	KON	et
après	ADV	après
ou	KON	ou
quinze	NUM	@card@
c'	PRO:cls	ce
était	VER:impf	être
je	PRO:cls	je
me	PRO:clo	me
rappelle	VER:pres	rappeler
plus	ADV	plus
c'	PRO:cls	ce
était	VER:impf	être
quinze	NUM	@card@
quinze	NUM	@card@
ouais	FNO	ouais
regarde	VER:impe	regarder
celui	PRO:dem	celui
là	ADV	là
il	PRO:cls	il
est	VER:pres	être
trop	ADV	trop
grand	ADJ	grand
et	KON	et
alors	ADV	alors
euh	INT	euh
mais	KON	mais
après	ADV	après
j'	PRO:cls	je
ai	AUX:pres	avoir
vu	VER:pper	voir
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
de	PRP	de
marge	NOM	marge
ah	INT	ah
ouais	FNO	ouais
bah	INT	bah
oui	FNO	oui
mais	KON	mais
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
normal	ADJ	normal
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
surplus	NOM	surplus
c'	PRO:cls	ce
était	AUX:impf	être
marqué	VER:pper	marquer
dix	NUM	@card@
sept	NUM	@card@
plus	ADV	plus
trois	NUM	@card@
centimètres	NOM	centimètre
ah	INT	ah
c'	PRO:cls	ce
était	VER:impf	être
plus	ADV	plus
que	KON	que
trois	NUM	@card@
ouais	FNO	ouais
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
plus	ADV	plus
ouais	FNO	ouais
ou	KON	ou
cinq	NUM	@card@
plus	ADV	plus
cinq	NUM	@card@
centimètres	NOM	centimètre
je	PRO:cls	je
crois	VER:pres	croire
mais	KON	mais
mais	KON	mais
j'	PRO:cls	je
aurais	AUX:cond	avoir
je	PRO:cls	je
pourrais	VER:cond	pouvoir
même	ADV	même
le	PRO:clo	le
mettre	VER:infi	mettre
là	ADV	là
hein	INT	hein
ouais	FNO	ouais
au	PRP:det	au
début	NOM	début
j'	PRO:cls	je
avais	AUX:impf	avoir
pensé	VER:pper	penser
l'	PRO:clo	le
accrocher	VER:infi	accrocher
là	ADV	là
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
dommage	NOM	dommage
pour	PRP	pour
le	DET:def	le
dernier	ADJ	dernier
coeur	NOM	coeur
du	PRP:det	du
coup	NOM	coup
parce	TRC	parce
que	KON	que
tu	PRO:cls	tu
vois	VER:pres	voir
mais	KON	mais
xxx	NOM	<unknown>
mais	KON	mais
non	FNO	non
regarde	VER:impe	regarder
mais	KON	mais
du	PRP:det	du
coup	NOM	coup
il	PRO:cls	il
est	VER:pres	être
vachement	ADV	vachement
sur	PRP	sur
ma	DET:pos	mon
main	NOM	main
quoi	INT	quoi
alors	ADV	alors
que	KON	que
mais	KON	mais
ça	PRO:cls	ça
fait	VER:pres	faire
rien	PRO:ind	rien
si	KON	si
si	KON	si
si-	TRC	si-
sinon	ADV	sinon
ah	INT	ah
il	PRO:cls	il
sort	VER:pres	sortir
pas	ADV	pas
sinon	ADV	sinon
tu	PRO:cls	tu
vois	VER:pres	voir
il	PRO:cls	il
aurait	AUX:cond	avoir
été	VER:pper	être
plus	ADV	plus
euh	INT	euh
genre	NOM	genre
euh	INT	euh
comme	KON	comme
ça	PRO:ton	ça
euh	INT	euh
oui	FNO	oui
mais	KON	mais
il	PRO:cls	il
sort	VER:pres	sortir
pas	ADV	pas
là	ADV	là
ouais	FNO	ouais
ouais	FNO	ouais
ouais	FNO	ouais
ça	PRO:cls	ça
fait	VER:pres	faire
rien	PRO:ind	rien
donc	ADV	donc
ben	INT	ben
si	KON	si
toi	PRO:ton	toi
ça	PRO:cls	ça
te	PRO:clo	te
gêne	VER:pres	gêner
pas	ADV	pas
ben	INT	ben
ça	PRO:cls	ça
va	VER:pres	aller
m'	PRO:clo	me
embêter	VER:infi	embêter
je	PRO:cls	je
pense	VER:pres	penser
au	PRP:det	au
bout	NOM	bout
d'	PRP	un
un	DET:ind	un
moment	NOM	moment
mais	KON	mais
pour	PRP	pour
le	DET:def	le
moment	NOM	moment
ça	PRO:cls	ça
va	VER:pres	aller
j'	PRO:cls	je
ai	VER:pres	avoir
rien	PRO:ind	rien
à	PRP	à
faire	VER:infi	faire
avec	PRP	avec
mes	DET:pos	mon
mains	NOM	main
alors	ADV	alors
euh	INT	euh
hum	FNO	hum
hum	FNO	hum
hum	FNO	hum
hum	FNO	hum
quand	KON	quand
je	PRO:cls	je
ferai	VER:futu	faire
la	DET:def	le
vaisselle	NOM	vaisselle
ça	PRO:cls	ça
va	VER:pres	aller
me	PRO:clo	me
saouler	VER:infi	saouler
je	PRO:cls	je
l'	PRO:clo	le
enlèverai	VER:futu	enlever
hum	FNO	hum
hum	FNO	hum
putain	INT	putain
en	PRP	en
plus	ADV	plus
il	PRO:cls	il
est	VER:pres	être
trop	ADV	trop
dur	ADJ	dur
à	PRP	à
enlever	VER:infi	enlever
et	KON	et
à	PRP	à
mettre	VER:infi	mettre
parce	TRC	parce
que	KON	que
j'	PRO:cls	je
ai	VER:pres	avoir
plus	ADV	plus
d'	PRP	un
ongles	NOM	ongle
ça	PRO:cls	ça
marche	VER:pres	marcher
mais	KON	mais
euh	INT	euh
les	DET:def	le
sujets	NOM	sujet
c'	PRO:cls	ce
était	AUX:impf	être
marqué	VER:pper	marquer
argent	NOM	argent
hein	INT	hein
ouais	FNO	ouais
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
toi	PRO:ton	toi
qui	PRO:rel	qui
as	AUX:pres	avoir
dit	VER:pper	dire
mais	KON	mais
ouais	FNO	ouais
mais	KON	mais
pas	ADV	pas
euh	INT	euh
je	PRO:cls	je
m'	PRO:clo	me
en	PRO:clo	en
rappelle	VER:pres	rappeler
plus	ADV	plus
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
de	PRP	de
je	PRO:cls	je
vois	VER:pres	voir
trop	ADV	trop
bien	ADV	bien
moi	PRO:ton	moi
la	DET:def	le
tortue	NOM	tortue
en	PRP	en
collier	NOM	collier
hum	FNO	hum
hum	FNO	hum
même	ADV	même
même	ADV	même
la	DET:def	le
coccinelle	NOM	coccinelle
hein	INT	hein
ouais	FNO	ouais
le	DET:def	le
chat	NOM	chat
moins	ADV	moins
quand	KON	quand
même	ADV	même
oh	INT	oh
si	KON	si
ah	INT	ah
bon	INT	bon
si	KON	si
quand	KON	quand
tu	PRO:cls	tu
as	VER:pres	avoir
un	DET:ind	un
un	DET:ind	un
truc	NOM	truc
blanc	ADJ	blanc
ah	INT	ah
ouais	FNO	ouais
et	KON	et
en	PRP	en
été	NOM	été
je	PRO:cls	je
pourrai	VER:futu	pouvoir
m'	PRO:clo	me
amuser	VER:infi	amuser
à	PRP	à
me	PRO:clo	me
faire	VER:infi	faire
des	DET:ind	un
colliers	NOM	collier
quand	KON	quand
tu	PRO:cls	tu
as	VER:pres	avoir
des	DET:ind	un
ouais	FNO	ouais
j'	PRO:cls	je
vais	VER:pres	aller
mettre	VER:infi	mettre
peut-être	ADV	peut-être
une	DET:ind	un
chaîne	NOM	chaîne
euh	INT	euh
ouais	FNO	ouais
oui	FNO	oui
ou	KON	ou
bien	ADV	bien
tu	PRO:cls	tu
as	VER:pres	avoir
un	DET:ind	un
habit	NOM	habit
vert	ADJ	vert
tu	PRO:cls	tu
peux	VER:pres	pouvoir
mettre	VER:infi	mettre
le	DET:def	le
trèfle	NOM	trèfle
tu	PRO:cls	tu
vois	VER:pres	voir
ouais	FNO	ouais
hum	FNO	hum
hum	FNO	hum
ah	INT	ah
si	FNO	si
ouais	FNO	ouais
ouais	FNO	ouais
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
comme	KON	comme
euh	INT	euh
sur	PRP	sur
la	DET:def	le
photo	NOM:trc	photographie
hein	INT	hein
tu	PRO:cls	tu
es	AUX:pres	être
pas	ADV	pas
déçue	VER:pper	décevoir
quand	KON	quand
tu	PRO:cls	tu
les	PRO:clo	le
reçois	VER:pres	recevoir
quand	KON	quand
tu	PRO:cls	tu
reçois	VER:pres	recevoir
mais	KON	mais
bon	INT	bon
¤Pren¤	NAM	<unknown>
il	PRO:cls	il
a	AUX:pres	avoir
dit	VER:pper	dire
le	DET:def	le
truc	NOM	truc
euh	INT	euh
papa	NOM	papa
il	PRO:clsi	il
m'	PRO:clo	me
avait	AUX:impf	avoir
appelé	VER:pper	appeler
euh	INT	euh
chez	PRP	chez
¤S¤	NAM	<unknown>
euh	INT	euh
quand	KON	quand
il	PRO:cls	il
est	AUX:pres	être
parti	VER:pper	partir
en	PRP	en
réunion	NOM	réunion
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
aussi	ADV	aussi
ça	PRO:cls	ça
parce	TRC	parce
qu'	KON	que
on	PRO:cls	on
était	VER:impf	être
voir	VER:infi	voir
au	PRP:det	au
Globus	NOM	<unknown>
alors	ADV	alors
il	PRO:cls	il
savait	VER:impf	savoir
ce	PRO:dem	ce
que	PRO:rel	que
c'	PRO:cls	ce
était	VER:impf	être
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
le	DET:def	le
bracelet	NOM	bracelet
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
plein	ADV	plein
de	PRP	de
petits	NOM	petit
sujets	ADJ	sujet
il	PRO:clsi	il
m'	PRO:clo	me
appelle	VER:pres	appeler
il	PRO:clsi	il
dit	VER:pres	dire
écoute	VER:impe	écouter
je	PRO:cls	je
regarde	VER:pres	regarder
là	ADV	là
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
plein	ADV	plein
de	PRP	de
sujets	NOM	sujet
là	ADV	là
pour	PRP	pour
mettre	VER:infi	mettre
après	ADV	après
le	DET:def	le
charme	NOM	charme
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
joli	ADJ	joli
euh	INT	euh
et	KON	et
alors	ADV	alors
je	PRO:cls	je
lui	PRO:clo	lui
dis	VER:pres	dire
ouais	FNO	ouais
mais	KON	mais
bon	INT	bon
après	ADV	après
moi	PRO:ton	moi
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
j'	PRO:cls	je
aimerais	VER:cond	aimer
quand	KON	quand
même	ADV	même
voir	VER:infi	voir
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
chaussures	NOM	chaussure
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
je	PRO:cls	je
lui	PRO:clo	lui
dis	VER:pres	dire
écoute	VER:impe	écouter
chaussures	NOM	chaussure
j'	PRO:cls	je
aime	VER:pres	aimer
pas	ADV	pas
alors	ADV	alors
il	PRO:clsi	il
me	PRO:clo	me
dit	VER:pres	dire
non	FNO	non
mais	KON	mais
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
plein	ADV	plein
de	PRP	de
choses	NOM	chose
euh	INT	euh
et	KON	et
puis	KON	puis
à	PRP	à
chaque	DET:ind	chaque
fois	NOM	fois
qu'	KON	que
il	PRO:clsi	il
me	PRO:clo	me
parlait	VER:impf	parler
ça	PRO:cls	ça
coupait	VER:impf	couper
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
pas	ADV	pas
de	PRP	de
réseau	NOM	réseau
dans	PRP	dans
le	DET:def	le
truc	NOM	truc
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
signe	NOM	signe
alors	ADV	alors
il	PRO:cls	il
sortait	VER:impf	sortir
alors	ADV	alors
il	PRO:clsi	il
me	PRO:clo	me
dit	VER:pres	dire
écoute	VER:impe	écouter
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
plein	ADV	plein
de	PRP	de
choses	NOM	chose
et	KON	et
tout	PRO:ind	tout
euh	INT	euh
alors	ADV	alors
je	PRO:cls	je
lui	PRO:clo	lui
dis	VER:pres	dire
oui	FNO	oui
mais	KON	mais
bon	INT	bon
c'	PRO:cls	ce
était	VER:impf	être
comment	PRO:int	comment
euh	INT	euh
ben	INT	ben
je	PRO:cls	je
sais	VER:pres	savoir
plus	ADV	plus
alors	ADV	alors
euh	INT	euh
il	PRO:cls	il
a	AUX:pres	avoir
dit	VER:pper	dire
et	KON	et
comme	KON	comme
ça	PRO:cls	ça
coupait	VER:impf	couper
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
à	PRP	à
l'	DET:def	le
intérieur	NOM	intérieur
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
la	DET:def	le
peine	NOM	peine
après	ADV	après
ça	PRO:cls	ça
me	PRO:clo	me
plaît	VER:pres	plaire
pas	ADV	pas
hum	FNO	hum
hum	FNO	hum
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
une	DET:ind	un
guitare	NOM	guitare
il	PRO:clsi	il
m'	PRO:clo	me
avait	AUX:impf	avoir
dit	VER:pper	dire
je	PRO:cls	je
lui	PRO:clo	lui
dis	VER:pres	dire
non	FNO	non
ça	PRO:ton	ça
je	PRO:cls	je
veux	VER:pres	vouloir
pas	ADV	pas
euh	INT	euh
mais	KON	mais
il	PRO:cls	il
dit	VER:pres	dire
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
plus	ADV	plus
beau	ADJ	beau
que	KON	que
ça	PRO:ton	ça
ah	INT	ah
oh	INT	oh
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
oh	INT	oh
toi	PRO:ton	toi
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
moi	PRO:ton	moi
je	PRO:cls	je
trouvais	VER:impf	trouver
que	KON	que
ça	PRO:ton	ça
c'	PRO:cls	ce
était	VER:impf	être
joli	ADJ	joli
vraiment	ADV	vraiment
hein	INT	hein
parce	TRC	parce
que	KON	que
tu	PRO:cls	tu
vois	VER:pres	voir
les	DET:def	le
d'	PRP	un
après	ADV	après
les	DET:def	le
prix	NOM	prix
normalement	ADV	normalement
ça	PRO:cls	ça
devrait	VER:cond	devoir
être	VER:infi	être
beaucoup	ADV	beaucoup
plus	ADV	plus
cher	ADJ	cher
bon	INT	bon
après	ADV	après
ils	PRO:cls	il
mettent	VER:pres	mettre
ce	PRO:dem	ce
qu'	PRO:rel	que
ils	PRO:cls	il
veulent	VER:pres	vouloir
sur	PRP	sur
internet	NOM	Internet
mais	KON	mais
c'	PRO:cls	ce
était	VER:impf	être
des	DET:ind	un
prix	NOM	prix
barrés	VER:pper	barrer
oui	FNO	oui
c'	PRO:cls	ce
était	AUX:impf	être
marqué	VER:pper	marquer
hein	INT	hein
hum	FNO	hum
donc	ADV	donc
euh	INT	euh
le	DET:def	le
love	ETR	love
aussi	ADV	aussi
ça	PRO:cls	ça
fait	VER:pres	faire
trop	ADV	trop
collier	NOM	collier
oui	FNO	oui
ça	PRO:cls	ça
/le	MLT	<unknown>
fait	VER:pres	faire
tu	PRO:cls	tu
peux/	MLT	<unknown>
aussi	ADV	aussi
ouais	FNO	ouais
ouais	FNO	ouais
ouais	FNO	ouais
ben	INT	ben
voilà	FNO	voilà
maintenant	ADV	maintenant
il	PRO:cls	il
faut	VER:pres	falloir
que	KON	que
tu	PRO:cls	tu
m'	PRO:clo	me
achètes	VER:pres	acheter
un	DET:ind	un
charm's	NOM	<unknown>
collier	NOM	collier
hum	FNO	hum
hum	FNO	hum
comme	KON	comme
ça	PRO:ton	ça
je	PRO:cls	je
l'	PRO:clo	le
accroche	VER:pres	accrocher
après	ADV	après
mais	KON	mais
nan	NOM	<unknown>
pas	ADV	pas
forcément	ADV	forcément
une	DET:ind	un
chaîne	NOM	chaîne
oui	FNO	oui
une	DET:ind	un
chaîne	NOM	chaîne
oui	FNO	oui
hum	FNO	hum
hum	FNO	hum
xxx	NOM	<unknown>
tu	PRO:cls	tu
diras	VER:futu	dire
à	PRP	à
tu	PRO:cls	tu
diras	VER:futu	dire
à	PRP	à
¤Pren¤	NAM	<unknown>
hein	INT	hein
comme	KON	comme
il	PRO:cls	il
voulait	VER:impf	vouloir
t'	PRO:clo	te
acheter	VER:infi	acheter
le	DET:def	le
bracelet	NOM	bracelet
comme	KON	comme
tu	PRO:cls	tu
l'	PRO:clo	le
as	AUX:pres	avoir
eu	VER:pper	avoir
il	PRO:cls	il
a	AUX:pres	avoir
dit	VER:pper	dire
il	PRO:clsi	il
voulait	VER:impf	vouloir
lui	PRO:clo	lui
acheter	VER:infi	acheter
le	DET:def	le
bracelet	NOM	bracelet
pour	PRP	pour
la	DET:def	le
la	DET:def	le
Saint	ADJ	saint
Valentin	NOM	<unknown>
pour	PRP	pour
la	DET:def	le
Saint	ADJ	saint
Valentin	NOM	<unknown>
ah	INT	ah
ben	INT	ben
je	PRO:cls	je
lui	PRO:clo	lui
ai	AUX:pres	avoir
enlevé	VER:pper	enlever
l'	DET:def	le
idée	NOM	idée
ah	INT	ah
ah	INT	ah
ben	INT	ben
alors	ADV	alors
tu	PRO:cls	tu
lui	PRO:clo	lui
diras	VER:futu	dire
ah	INT	ah
ben	INT	ben
j'	PRO:cls	je
ai	VER:pres	avoir
une	DET:ind	un
autre	ADJ	autre
idée	NOM	idée
j'	PRO:cls	je
aurais	AUX:cond	avoir
dû	VER:pper	devoir
lui	PRO:clo	lui
dire	VER:infi	dire
j'	PRO:cls	je
aurais	AUX:cond	avoir
dû	VER:pper	devoir
lui	PRO:clo	lui
dire	VER:infi	dire
oui	FNO	oui
mais	KON	mais
tu	PRO:cls	tu
voulais	VER:impf	vouloir
aussi	ADV	aussi
pour	PRP	pour
Noël	NAM	Noël
et	KON	et
puis	KON	puis
pour	PRP	pour
nos	DET:pos	notre
un	NUM	@card@
an	NOM	an
et	KON	et
puis	KON	puis
pour	PRP	pour
euh	INT	euh
à	PRP	à
chaque	DET:ind	chaque
fois	NOM	fois
il	PRO:clsi	il
me	PRO:clo	me
dit	VER:pres	dire
oh	INT	oh
ben	INT	ben
je	PRO:cls	je
te	PRO:clo	te
le	PRO:clo	le
prendrai	VER:futu	prendre
plus	ADV	plus
tard	ADV	tard
c'	PRO:cls	ce
est	VER:pres	être
oh	INT	oh
ben	INT	ben
en	PRO:clo	en
fait	VER:pres	faire
finalement	ADV	finalement
je	PRO:cls	je
te	PRO:clo	te
prends	VER:pres	prendre
un	DET:ind	un
super	ADJ	super
cadeau	NOM	cadeau
à	PRP	à
Noël	NAM	Noël
ah	INT	ah
ben	INT	ben
en	PRP	en
fait	NOM	fait
euh	INT	euh
je	PRO:cls	je
te	PRO:clo	te
le	PRO:clo	le
prendrai	VER:futu	prendre
à	PRP	à
la	DET:def	le
Saint	ADJ	saint
Valentin	NOM	<unknown>
ouais	FNO	ouais
je	PRO:cls	je
le	PRO:clo	le
dis	VER:pres	dire
quand	KON	quand
c'	PRO:cls	ce
est	VER:pres	être
il	PRO:cls	il
repousse	VER:pres	repousser
/à	ADV	<unknown>
hein/	MLT	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
dur	ADJ	dur
euh	INT	euh
l'	DET:def	le
argent	NOM	argent
ouais	FNO	ouais
il	PRO:cls	il
repousse	VER:pres	repousser
à	PRP	à
tout	PRO:ind	tout
bout	NOM	bout
de	PRP	de
champ	NOM	champ
ouais	FNO	ouais
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
pas	ADV	pas
génial	ADJ	génial
ouais	FNO	ouais
ah	INT	ah
ben	INT	ben
ça	PRO:cls	ça
cette	DET:dem	ce
fois	NOM	fois
elles	PRO:cls	elle
étaient	VER:impf	être
toujours	ADV	toujours
blanches	ADJ	blanc
dès	PRP	dès
le	DET:def	le
départ	NOM	départ
tu	PRO:cls	tu
sais	VER:pres	savoir
que	KON	que
moi	PRO:ton	moi
j'	PRO:cls	je
en	PRO:clo	en
ai	AUX:pres	avoir
encore	ADV	encore
plein	ADV	plein
de	PRP	de
l'	DET:def	le
extérieur	NOM	extérieur
je	PRO:cls	je
trouve	VER:pres	trouver
que	KON	que
je	PRO:cls	je
quoi	PRO:int	quoi
pourrais	VER:cond	pouvoir
en	PRP	en
mettre	VER:infi	mettre
à	PRP	à
l'	DET:def	le
intérieur	NOM	intérieur
des	PRP:det	du
ampoules	NOM	ampoule
pour	PRP	pour
le	DET:def	le
sapin	NOM	sapin
ben	INT	ben
oui	FNO	oui
nous	PRO:ton	nous
euh	INT	euh
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
là	ADV	là
on	PRO:cls	on
a	VER:pres	avoir
des	DET:ind	un
ampoules	NOM	ampoule
de	PRP	de
l'	DET:def	le
extérieur	NOM	extérieur
qu'	KON	que
