en	PRP	en
.	VER:cond	<unknown>
tu	PRO:cls	tu
mouilles	VER:pres	mouiller
le	DET:def	le
chiffon	NOM	chiffon
et	KON	et
tu	PRO:cls	tu
essuies	VER:pres	essuyer
par	PRP	par
terre	NOM	terre
avec	PRP	avec
ben	INT	ben
c'	PRO:cls	ce
est	VER:pres	être
propre	ADJ	propre
tiens	INT	tiens
tu	PRO:cls	tu
es	VER:pres	être
sûre	ADJ	sûr
que	KON	que
ma-	TRC	ma-
et	KON	et
ta	DET:pos	ton
maman	NOM	maman
elle	PRO:cls	elle
elle	PRO:cls	elle
sait	VER:pres	savoir
que	KON	que
tu	PRO:cls	tu
fais	VER:pres	faire
ça	PRO:cls	ça
.	VER:cond	<unknown>
ben	INT	ben
non	FNO	non
non	FNO	non
ah	INT	ah
oui	FNO	oui
non	FNO	non
ça	PRO:cls	ça
m'	PRO:clo	me
étonnerait	VER:cond	étonner
hein	INT	hein
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
secret	ADJ	secret
?	NOM:sig	<unknown>
d'	PRP	un
accord	NOM	accord
on	PRO:cls	on
dira	VER:futu	dire
rien	PRO:ind	rien
faut	VER:pres	falloir
pas	ADV	pas
le	PRO:clo	le
dire	VER:infi	dire
en	PRP	en
partant	VER:ppre	partir
non	FNO	non
je	PRO:cls	je
dirais	VER:cond	dire
pas	ADV	pas
en	PRP	en
partant	VER:ppre	partir
tiens	INT	tiens
tu	PRO:cls	tu
veux	VER:pres	vouloir
que	KON	que
je	PRO:cls	je
remette	VER:subp	remettre
le	DET:def	le
chiffon	NOM	chiffon
à	PRP	à
sa	DET:pos	son
place	NOM	place
.	NAM	<unknown>
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
q-	TRC	<unknown>
parce	TRC	parce
que	KON	que
lui	PRO:ton	lui
il	PRO:cls	il
va	VER:pres	aller
avoir	VER:infi	avoir
froid	ADJ	froid
ah	INT	ah
ben	INT	ben
oui	FNO	oui
le	DET:def	le
petit	ADJ	petit
chien	NOM	chien
qui	PRO:rel	qui
a	VER:pres	avoir
le	DET:def	le
torticoli	NOM	<unknown>
bien	ADV	bien
voilà	FNO	voilà
voilà	FNO	voilà
voilà	FNO	voilà
je	PRO:cls	je
m'	PRO:clo	me
applique	VER:pres	appliquer
bien	ADV	bien
moi	PRO:ton	moi
hein	INT	hein
.	NAM	<unknown>
tu	PRO:cls	tu
t'	PRO:clo	te
appliques	VER:pres	appliquer
oh	INT	oh
ben	INT	ben
je	PRO:cls	je
vois	VER:pres	voir
ça	PRO:ton	ça
oui	FNO	oui
tu	PRO:cls	tu
fais	VER:pres	faire
ça	PRO:ton	ça
très	ADV	très
très	ADV	très
sérieusement	ADV	sérieusement
tu	PRO:cls	tu
t'	PRO:clo	te
apppliques	VER:pres	<unknown>
bien	ADV	bien
mais	KON	mais
tu	PRO:cls	tu
rigoles	VER:pres	rigoler
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
attends	VER:impe	attendre
tu	PRO:cls	tu
ris	VER:pres	rire
tu	PRO:cls	tu
ris	VER:pres	rire
tu	PRO:cls	tu
ris	VER:pres	rire
ouh	INT	ouh
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
toit	NOM	toit
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
toit	NOM	toit
.	NAM	<unknown>
ben	INT	ben
oui	FNO	oui
un	DET:ind	un
toit	NOM	toit
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
hein	INT	hein
.	NAM	<unknown>
ah	INT	ah
oui	FNO	oui
oui	FNO	oui
sur	PRP	sur
le	DET:def	le
dessus	ADV	dessus
oui	FNO	oui
xxx	NOM	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
toujours	ADV	toujours
les	DET:def	le
cailloux	NOM	caillou
?	NAM	<unknown>
hum	FNO	hum
d'	PRP	un
accord	NOM	accord
parce	TRC	parce
que	KON	que
un	DET:ind	un
chemin	NOM	chemin
ça	PRO:cls	ça
a	VER:pres	avoir
beaucoup	ADV	beaucoup
de	PRP	de
cailloux	NOM	caillou
.	NAM	<unknown>
ah	INT	ah
ben	INT	ben
oui	FNO	oui
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
le	DET:def	le
ouh	INT	ouh
chemin	NOM	chemin
ouh	INT	ouh
qui	PRO:rel	qui
va	VER:pres	aller
dans	PRP	dans
ton	DET:pos	ton
immeuble	ADJ	immeuble
.	NOM:sig	<unknown>
là	ADV	là
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
les	DET:def	le
balançoires	NOM	balançoire
et	KON	et
cetera	VER:futu	<unknown>
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
ça	PRO:ton	ça
que	KON	que
tu	PRO:cls	tu
es	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
dessiner	VER:infi	dessiner
?	NAM	<unknown>
non	FNO	non
.	NAM	<unknown>
les	DET:def	le
balançoires	NOM	balançoire
écoute	VER:impe	écouter
je	PRO:cls	je
vais	VER:pres	aller
les	PRO:clo	le
faire	VER:infi	faire
là	ADV	là
ah	INT	ah
bon	INT	bon
-moi	PRO:clo	moi
excuse	VER:impe	excuser
d'	PRP	un
accord	NOM	accord
entre	PRP	entre
le	DET:def	le
chemin	NOM	chemin
et	KON	et
l'	DET:def	le
immeuble	NOM	immeuble
hum	FNO	hum
d'	PRP	un
accord	NOM	accord
regarde	VER:impe	regarder
regarde	VER:impe	regarder
les	DET:def	le
bonshommes	NOM	<unknown>
où	PRO:rel	où
ils	PRO:cls	il
vont	VER:pres	aller
ils	PRO:cls	il
font	VER:pres	faire
comme	KON	comme
ça	PRO:ton	ça
ils	PRO:cls	il
tournent	VER:pres	tourner
d'	PRP	un
accord	NOM	accord
après	ADV	après
ils	PRO:cls	il
xxx	NOM	<unknown>
après	ADV	après
ils	PRO:cls	il
traversent	VER:pres	traverser
la	DET:def	le
route	NOM	route
ils	PRO:cls	il
ouvrent	VER:pres	ouvrir
la	DET:def	le
porte	NOM	porte
après	ADV	après
ils	PRO:cls	il
v-	TRC	v-
ils	PRO:cls	il
rentrent	VER:pres	rentrer
xxx	NOM	<unknown>
ah	INT	ah
ben	INT	ben
ah	INT	ah
oui	FNO	oui
ben	INT	ben
voyons	VER:impe	voir
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
évident	ADJ	évident
oui	FNO	oui
xxx	NOM	<unknown>
.	NAM	<unknown>
ah	INT	ah
ben	INT	ben
oui	FNO	oui
ah	INT	ah
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
évident	ADJ	évident
quand	KON	quand
oui	FNO	oui
même	ADV	même
c'	PRO:cls	ce
est	VER:pres	être
évident	ADJ	évident
quand	KON	quand
même	ADV	même
oui	FNO	oui
hum	FNO	hum
hum	FNO	hum
hum	FNO	hum
oh	INT	oh
les	DET:def	le
¤N¤	NAM	¤N¤
ils	PRO:cls	il
sont	VER:pres	être
xxx	NOM	<unknown>
tout	ADV	tout
au	PRP:det	au
tout	ADV	tout
au-dessus	ADV	au-dessus
¤N¤	NAM	¤N¤
.	NAM	<unknown>
oui	FNO	oui
ah	INT	ah
je	PRO:cls	je
les	PRO:clo	le
connais	VER:pres	connaître
pas	ADV	pas
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
des	DET:ind	un
petits	ADJ	petit
amis	NOM	ami
à	PRP	à
toi	PRO:ton	toi
?	NAM	<unknown>
hum	FNO	hum
oui	FNO	oui
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
écoute	VER:impe	écouter
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
Henri	NOM	<unknown>
euh	INT	euh
il	PRO:cls	il
a	VER:pres	avoir
quel	DET:int	quel
âge	NOM	âge
.	NAM	<unknown>
Mathilde	NOM	<unknown>
oui	FNO	oui
euh	INT	euh
Vi-	TRC	vi-
Violaine	NAM	<unknown>
oui	FNO	oui
ça	PRO:cls	ça
fait	VER:pres	faire
trois	NUM	@card@
là	ADV	là
sur	PRP	sur
tes	DET:pos	ton
doigts	NOM	doigt
tu	PRO:cls	tu
as	AUX:pres	avoir
levé	VER:pper	lever
trois	NUM	@card@
doigts	NOM	doigt
ça	PRO:cls	ça
fait	VER:pres	faire
trois	NUM	@card@
tu	PRO:cls	tu
m'	PRO:clo	me
as	AUX:pres	avoir
dit	VER:pper	dire
Henri	NOM	<unknown>
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
mais	KON	mais
euh	INT	euh
la	DET:def	le
maman	NOM	maman
et	KON	et
le	DET:def	le
papa	NOM	papa
papa	NOM	papa
d'	PRP	un
accord	NOM	accord
et	KON	et
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
quel	DET:int	quel
âge	NOM	âge
ils	PRO:cls	il
ont	VER:pres	avoir
Henri	NOM	<unknown>
Mathilde	NOM	<unknown>
et	KON	et
Violaine	NAM	<unknown>
.	NAM	<unknown>
non	FNO	non
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
.	NOM:sig	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
oui	FNO	oui
des	DET:ind	un
amis	NOM	ami
de	PRP	de
Marie-Hélène	NOM	<unknown>
des	PRP:det	du
amis	NOM	ami
à	PRP	à
toi	PRO:ton	toi
.	NAM	<unknown>
oui	FNO	oui
des	DET:ind	un
amis	NOM	ami
des	PRP:det	du
amis	NOM	ami
à	PRP	à
Marie-Hélène	NOM	<unknown>
et	KON	et
moi	PRO:ton	moi
ah	INT	ah
oui	FNO	oui
donc	ADV	donc
ils	PRO:cls	il
ont	VER:pres	avoir
entre	PRP	entre
¤C¤	NAM	<unknown>
ans	NOM	an
alors	ADV	alors
.	VER:simp	<unknown>
oui	FNO	oui
ils	PRO:cls	il
sont	VER:pres	être
plus	ADV	plus
grands	ADJ	grand
que	KON	que
Anne-Caroline	NAM	<unknown>
?	NAM	<unknown>
d'	PRP	un
accord	NOM	accord
et	KON	et
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
¤C¤	NAM	<unknown>
toi	PRO:ton	toi
tu	PRO:cls	tu
as	VER:pres	avoir
¤C¤	NAM	<unknown>
ans	NOM	an
je	PRO:cls	je
sais	VER:pres	savoir
xxx	NOM	<unknown>
.	NAM	<unknown>
tu	PRO:cls	tu
me	PRO:clo	me
l'	PRO:clo	le
as	AUX:pres	avoir
dit	VER:pper	dire
l'	DET:def	le
autre	ADJ	autre
jour	NOM	jour
ou-	TRC	ou-
ou-	TRC	ou-
oui	FNO	oui
hum	FNO	hum
hum	FNO	hum
mais	KON	mais
moi	PRO:ton	moi
je	PRO:cls	je
peux	VER:pres	pouvoir
pas	ADV	pas
inviter	VER:infi	inviter
mes	DET:pos	mon
camarades	NOM	camarade
je	PRO:cls	je
pouvais	VER:impf	pouvoir
je	PRO:cls	je
pouvais	VER:impf	pouvoir
pas	ADV	pas
inviter	VER:infi	inviter
mes	DET:pos	mon
camarades	NOM	camarade
à	PRP	à
mon	DET:pos	mon
anniversaire	NOM	anniversaire
parce	TRC	parce
que	KON	que
on	PRO:cls	on
a	AUX:pres	avoir
fait	VER:pper	faire
mon	DET:pos	mon
anniversaire	NOM	anniversaire
en	PRP	en
vacances	NOM	vacances
ah	INT	ah
ben	INT	ben
oui	FNO	oui
puisque	KON	puisque
tu	PRO:cls	tu
es	AUX:pres	être
née	VER:pper	naître
au	PRP:det	au
mois	NOM	mois
¤C¤	NAM	<unknown>
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
les	DET:def	le
grandes	ADJ	grand
vacances	NOM	vacances
ouais	FNO	ouais
alors	ADV	alors
tous	DET:pre	tout
les	DET:def	le
petits	ADJ	petit
enfants	NOM	enfant
ils	PRO:cls	il
sont	AUX:pres	être
partis	VER:pper	partir
en	PRP	en
vacances	NOM	vacances
.	NOM:sig	<unknown>
ou-	TRC	ou-
ou-	TRC	ou-
oui	FNO	oui
mais	KON	mais
mes	DET:pos	mon
camarades	NOM	camarade
ils	PRO:cls	il
ont	VER:pres	avoir
de	PRP	de
la	DET:def	le
chance	NOM	chance
parce	TRC	parce
que	KON	que
ça	PRO:cls	ça
va	VER:pres	aller
être	VER:infi	être
à	PRP	à
Noël	NAM	Noël
leur	DET:pos	leur
anniversaire	NOM	anniversaire
à	PRP	à
Noël	NAM	Noël
ah	INT	ah
ben	INT	ben
oui	FNO	oui
mais	KON	mais
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
pourrais	VER:cond	pouvoir
faire	VER:infi	faire
c'	PRO:cls	ce
est	VER:pres	être
le	PRO:clo	le
fêter	VER:infi	fêter
euh	INT	euh
hum	FNO	hum
avant	ADV	avant
les	DET:def	le
vacances	NOM	vacances
ou	KON	ou
alors	ADV	alors
en	PRP	en
septembre	NOM	septembre
après	ADV	après
les	DET:def	le
vacances	NOM	vacances
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
pourras	VER:futu	pouvoir
m'	PRO:clo	me
inviter	VER:infi	inviter
à	PRP	à
dormir	VER:infi	dormir
chez	PRP	chez
toi	PRO:ton	toi
.	NAM	<unknown>
dans	PRP	dans
ma	DET:pos	mon
maison	NOM	maison
à	PRP	à
moi	PRO:ton	moi
.	NAM	<unknown>
oui	FNO	oui
ah	INT	ah
je	PRO:cls	je
crois	VER:pres	croire
pas	ADV	pas
que	KON	que
ça	PRO:cls	ça
sera	VER:futu	être
possible	ADJ	possible
hein	INT	hein
.	NAM	<unknown>
oh	INT	oh
non	FNO	non
xxx	NOM	<unknown>
bien	ADV	bien
que	KON	que
tu	PRO:cls	tu
ailles	VER:subp	aller
me	PRO:clo	me
promener	VER:infi	promener
mais	KON	mais
un	DET:ind	un
jour	NOM	jour
ah	INT	ah
ben	INT	ben
par	PRP	par
contre	ADV	contre
oui	FNO	oui
si	KON	si
tu	PRO:cls	tu
veux	VER:pres	vouloir
qu'	KON	que
on	PRO:cls	on
aille	VER:subp	aller
se	PRO:clo	se
promener	VER:infi	promener
un	DET:ind	un
jour	NOM	jour
d'	PRP	un
accord	NOM	accord
mais	KON	mais
te	PRO:clo	te
faire	VER:infi	faire
dormir	VER:infi	dormir
dans	PRP	dans
ma	DET:pos	mon
maison	NOM	maison
tu	PRO:cls	tu
sais	VER:pres	savoir
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
possible	ADJ	possible
hein	INT	hein
.	NAM	<unknown>
tu	PRO:cls	tu
sais	VER:pres	savoir
moi	PRO:ton	moi
je	PRO:cls	je
rentre	VER:pres	rentrer
tard	ADV	tard
tous	DET:pre	tout
les	DET:def	le
soirs	NOM	soir
de	PRP	de
mon	DET:pos	mon
école	NOM	école
donc	ADV	donc
euh	INT	euh
on	PRO:cls	on
aura	VER:futu	avoir
pas	ADV	pas
les	DET:def	le
mêmes	ADJ	même
heures	NOM	heure
hein	INT	hein
.	NAM	<unknown>
que	KON	que
toi	PRO:ton	toi
tu	PRO:cls	tu
te	PRO:clo	te
couches	VER:pres	coucher
beaucoup	ADV	beaucoup
plus	ADV	plus
tôt	ADV	tôt
que	KON	que
moi	PRO:ton	moi
mais	KON	mais
par	PRP	par
contre	PRP	contre
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
peut	VER:pres	pouvoir
faire	VER:infi	faire
un	DET:ind	un
jour	NOM	jour
où	PRO:rel	où
je	PRO:cls	je
vais	VER:pres	aller
garder	VER:infi	garder
les	DET:def	le
¤N¤	NAM	¤N¤
avec	PRP	avec
Agathe	NOM	agathe
et	KON	et
Delphine	NAM	<unknown>
et	KON	et
Clémence	NOM	clémence
eh	INT	eh
ben	INT	ben
tu	PRO:cls	tu
pourras	VER:futu	pouvoir
peut-être	ADV	peut-être
venir	VER:infi	venir
chez	PRP	chez
chez	PRP	chez
elles	PRO:ton	elle
et	KON	et
comme	KON	comme
ça	PRO:ton	ça
quand	KON	quand
moi	PRO:ton	moi
j'	PRO:cls	je
irai	VER:futu	aller
les	PRO:clo	le
garder	VER:infi	garder
un	DET:ind	un
soir	NOM	soir
je	PRO:cls	je
te	PRO:clo	te
garderai	VER:futu	garder
en	PRP	en
même	ADJ	même
temps	NOM	temps
hein	INT	hein
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
mais	KON	mais
ça	PRO:ton	ça
et	KON	et
ben	INT	ben
demain	ADV	demain
tu	PRO:cls	tu
vas	VER:pres	aller
venir	VER:infi	venir
dans	PRP	dans
ma	DET:pos	mon
maison	NOM	maison
et	KON	et
puis	KON	puis
xxx	NOM	<unknown>
et	KON	et
puis	KON	puis
demain	ADV	demain
soir	NOM	soir
eh	INT	eh
ben	INT	ben
tu	PRO:cls	tu
vas	VER:pres	aller
m'	PRO:clo	me
emmen-	TRC	<unknown>
tu	PRO:cls	tu
xxx	NOM	<unknown>
tu	PRO:cls	tu
vas	VER:pres	aller
m'	PRO:clo	me
emmener	VER:infi	emmener
voir	VER:infi	voir
ton	DET:pos	ton
école	NOM	école
et	KON	et
après	ADV	après
tu	PRO:cls	tu
vas	VER:pres	aller
me	PRO:clo	me
promener	VER:infi	promener
ah	INT	ah
ben	INT	ben
écoute	VER:impe	écouter
on	PRO:cls	on
pourrait	VER:cond	pouvoir
faire	VER:infi	faire
ça	PRO:ton	ça
peut-être	ADV	peut-être
un	DET:ind	un
jour	NOM	jour
peut-être	ADV	peut-être
pas	ADV	pas
demain	ADV	demain
soir	NOM	soir
mais	KON	mais
prochainement	ADV	prochainement
mais	KON	mais
tu	PRO:cls	tu
sais	VER:pres	savoir
mon	DET:pos	mon
école	NOM	école
elle	PRO:cls	elle
est	VER:pres	être
pas	ADV	pas
à	PRP	à
¤T¤	NAM	¤T¤
hein	INT	hein
.	NAM	<unknown>
elle	PRO:cls	elle
est	VER:pres	être
très	ADV	très
très	ADV	très
loin	ADV	loin
faut	VER:pres	falloir
prendre	VER:infi	prendre
le	DET:def	le
bus	NOM	bus
et	KON	et
il	PRO:cls	il
faut	VER:pres	falloir
prendre	VER:infi	prendre
le	DET:def	le
train	NOM	train
oh	INT	oh
oh	INT	oh
moi	PRO:ton	moi
jusqu'	PRP	jusque
à	PRP	à
Paris	NAM	Paris
je	PRO:cls	je
veux	VER:pres	vouloir
p-	TRC	p-
oh	INT	oh
moi	PRO:ton	moi
veux	VER:pres	vouloir
prendre	VER:infi	prendre
le	DET:def	le
train	NOM	train
veux	VER:pres	vouloir
prendre	VER:infi	prendre
le	DET:def	le
train	NOM	train
avec	PRP	avec
toi	PRO:ton	toi
.	VER:futu	<unknown>
parce	TRC	parce
que	KON	que
mais	KON	mais
comme	KON	comme
.	NAM	<unknown>
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
jamais	ADV	jamais
pris	VER:pper	prendre
tu	PRO:cls	tu
as	AUX:pres	avoir
jamais	ADV	jamais
pris	VER:pper	prendre
le	DET:def	le
train	NOM	train
.	NAM	<unknown>
même	ADV	même
l'	DET:def	le
avion	NOM	avion
ah	INT	ah
moi	PRO:ton	moi
xxx	NOM	<unknown>
j'	PRO:cls	je
ai	AUX:pres	avoir
déjà	ADV	déjà
pris	VER:pper	prendre
l'	DET:def	le
avion	NOM	avion
mais	KON	mais
ça	PRO:cls	ça
fait	VER:pres	faire
très	ADV	très
longtemps	ADV	longtemps
tu	PRO:cls	tu
as	VER:pres	avoir
jamais	ADV	jamais
oh	INT	oh
mais	KON	mais
tu	PRO:cls	tu
sais	VER:pres	savoir
tu	PRO:cls	tu
es	VER:pres	être
encore	ADV	encore
petite	ADJ	petit
pour	PRP	pour
prendre	VER:infi	prendre
le	DET:def	le
train	NOM	train
hein	INT	hein
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
dur	ADJ	dur
le	DET:def	le
train	NOM	train
c'	PRO:cls	ce
est	VER:pres	être
fatigant	ADJ	fatigant
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
très	ADV	très
long	ADJ	long
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
très	ADV	très
long	ADJ	long
hein	INT	hein
sur	PRP	sur
le	DET:def	le
trajet	NOM	trajet
sur	PRP	sur
le	DET:def	le
trajet	NOM	trajet
oh	INT	oh
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
mais	KON	mais
tu	PRO:cls	tu
vas	VER:pres	aller
me	PRO:clo	me
faire	VER:infi	faire
des	DET:ind	un
câlins	ADJ	câlin
et	KON	et
des	DET:ind	un
xxx	NOM	<unknown>
xxx	NOM	<unknown>
ah	INT	ah
ben	INT	ben
oui	FNO	oui
je	PRO:cls	je
te	PRO:clo	te
ferai	VER:futu	faire
des	DET:ind	un
câlins	ADJ	câlin
et	KON	et
puis	KON	puis
je	PRO:cls	je
te	PRO:clo	te
raconterai	VER:futu	raconter
des	DET:ind	un
histoires	NOM	histoire
oui	FNO	oui
vais	VER:pres	aller
emmener	VER:infi	emmener
le	DET:def	le
hum	FNO	hum
vais	VER:pres	aller
emmener	VER:infi	emmener
le	DET:def	le
livre	NOM	livre
dans	PRP	dans
le	DET:def	le
train	NOM	train
et	KON	et
puis	KON	puis
tu	PRO:cls	tu
vas	VER:pres	aller
me	PRO:clo	me
lire	VER:infi	lire
une	DET:ind	un
histoire	NOM	histoire
eh	INT	eh
ben	INT	ben
voilà	FNO	voilà
on	PRO:cls	on
fera	VER:futu	faire
comme	KON	comme
ça	PRO:ton	ça
ben	INT	ben
oui	FNO	oui
bon	INT	bon
on	PRO:cls	on
fera	VER:futu	faire
ça	PRO:cls	ça
.	VER:cond	<unknown>
un	DET:ind	un
euh	INT	euh
un	DET:ind	un
autre	ADJ	autre
jour	NOM	jour
.	NAM	<unknown>
hein	INT	hein
.	NAM	<unknown>
oui	FNO	oui
un	DET:ind	un
autre	ADJ	autre
jour	NOM	jour
quand	KON	quand
il	PRO:clsi	il
y	PRO:clo	y
aura	VER:futu	avoir
pas	ADV	pas
d-	TRC	d-
ou	KON	ou
.	NAM	<unknown>
demain	ADV	demain
.	VER:simp	<unknown>
demain	ADV	demain
mais	KON	mais
demain	ADV	demain
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
école	NOM	école
c'	PRO:cls	ce
est	VER:pres	être
aujourd'hui	ADV	aujourd'hui
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
pas	ADV	pas
école	NOM	école
demain	ADV	demain
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
école	NOM	école
après	ADV	après
ça	PRO:cls	ça
va	VER:pres	aller
être	VER:infi	être
les	DET:def	le
vacances	NOM	vacances
il	PRO:clsi	il
y	PRO:clo	y
aura	VER:futu	avoir
le	DET:def	le
Père	NOM	père
Noël	NAM	Noël
qui	PRO:rel	qui
va	VER:pres	aller
passer	VER:infi	passer
pendant	PRP	pendant
les	DET:def	le
va-	TRC	va-
-ances	NAM	<unknown>
vais	VER:pres	aller
avoir	VER:infi	avoir
des	DET:ind	un
Pogs	NOM	<unknown>
tu	PRO:cls	tu
vas	VER:pres	aller
avoir	VER:infi	avoir
des	DET:ind	un
Pogs	NOM	<unknown>
tu	PRO:cls	tu
veux	VER:pres	vouloir
des	DET:ind	un
Pogs	NOM	<unknown>
pour	PRP	pour
attends	VER:impe	attendre
Noël	NAM	Noël
.	NAM	<unknown>
attends	VER:impe	attendre
vais	VER:pres	aller
montrer	VER:infi	montrer
mes	DET:pos	mon
Pogs	NOM	<unknown>
tu	PRO:cls	tu
en	PRO:clo	en
as	AUX:pres	avoir
.	VER:pper	<unknown>
oui	FNO	oui
j'	PRO:cls	je
ai	VER:pres	avoir
un	DET:ind	un
Pog	NOM	<unknown>
qui	PRO:rel	qui
brille	VER:pres	briller
et	KON	et
tout	DET:pre	tout
ça	PRO:ton	ça
j'	PRO:cls	je
ai	VER:pres	avoir
un	DET:ind	un
Kini	NOM	<unknown>
qui	PRO:rel	qui
brille	VER:pres	briller
tu	PRO:cls	tu
as	VER:pres	avoir
un	DET:ind	un
Kini	NOM	<unknown>
qui	PRO:rel	qui
brille	VER:pres	briller
?	NAM	<unknown>
ouh	INT	ouh
ah	INT	ah
tu	PRO:cls	tu
réfléchis	VER:pres	réfléchir
où	PRO:int	où
tu	PRO:cls	tu
l'	PRO:clo	le
as	AUX:pres	avoir
mis	VER:pper	mettre
.	NAM	<unknown>
ouh	INT	ouh
tu	PRO:cls	tu
l'	PRO:clo	le
as	AUX:pres	avoir
trouvé	VER:pper	trouver
?	NAM	<unknown>
non	FNO	non
xxx	NOM	<unknown>
vais	VER:pres	aller
vais	VER:pres	aller
voir	VER:infi	voir
tu	PRO:cls	tu
vas	VER:pres	aller
voir	VER:infi	voir
où	PRO:int	où
.	NAM	<unknown>
attends	VER:impe	attendre
