ben	INT	ben
vêtements	NOM	vêtement
et	KON	et
dès	ADV	dès
qu'	KON	que
on	PRO:cls	on
arrivait	VER:impf	arriver
on	PRO:cls	on
devait	VER:impf	devoir
se	PRO:clo	se
changer	VER:infi	changer
et	KON	et
s'	PRO:clo	se
était	VER:impf	être
la	DET:def	le
même	ADJ	même
chose	NOM	chose
quand	KON	quand
on	PRO:cls	on
repartait	VER:impf	repartir
avant	ADV	avant
de	PRP	de
repartir	VER:infi	repartir
on	PRO:cls	on
remettait	VER:impf	remettre
les	DET:def	le
vêtements	NOM	vêtement
après	ADV	après
euh	INT	euh
bah	INT	bah
euh	INT	euh
nos	DET:pos	notre
vrais	ADJ	vrai
vêtements	NOM	vêtement
quoi	INT	quoi
ça	PRO:ton	ça
je	PRO:cls	je
savais	VER:impf	savoir
pas	ADV	pas
tu	PRO:cls	tu
me	PRO:clo	me
l'	PRO:clo	le
avais	AUX:impf	avoir
jamais	ADV	jamais
dit	VER:pper	dire
on	PRO:cls	on
avait	VER:impf	avoir
pas	ADV	pas
de	PRP	de
lit	NOM	lit
euh	INT	euh
au	PRP:det	au
début	NOM	début
euh	INT	euh
de	PRP	de
lit	NOM	lit
chacun	PRO:ind	chacun
à	PRP	à
ma	DET:pos	mon
soeur	NOM	soeur
on	PRO:cls	on
dormait	VER:impf	dormir
dans	PRP	dans
un	DET:ind	un
grand	ADJ	grand
lit	NOM	lit
c'	PRO:cls	ce
est	VER:pres	être
qu'	KON	que
après	ADV	après
on	PRO:cls	on
si	KON	si
je	PRO:cls	je
me	PRO:clo	me
souviens	VER:pres	souvenir
bien	ADV	bien
attends	VER:impe	attendre
ça	PRO:cls	ça
date	VER:pres	dater
j'	PRO:cls	je
avais	VER:impf	avoir
neuf	NUM	@card@
ans	NOM	an
la	DET:def	le
dernière	ADJ	dernier
fois	NOM	fois
que	KON	que
j'	PRO:cls	je
y	PRO:clo	y
suis	AUX:pres	être
allé	VER:pper	aller
on	PRO:cls	on
avait	VER:impf	avoir
des	DET:ind	un
lits	NOM	lit
jumeaux	ADJ	jumeau
hum	FNO	hum
oui	FNO	oui
il	PRO:cls	il
avait	VER:impf	avoir
comme	KON	comme
il	PRO:cls	il
avait	AUX:impf	avoir
préparé	VER:pper	préparer
quoi	INT	quoi
mais	KON	mais
bon	INT	bon
préparé	VER:pper	préparer
un	DET:ind	un
peu	NOM	peu
tard	ADV	tard
voilà	FNO	voilà
généralement	ADV	généralement
tu	PRO:cls	tu
euh	INT	euh
tu	PRO:cls	tu
fais	VER:pres	faire
en	PRP	en
sorte	NOM	sorte
de	PRP	de
bien	ADV	bien
faire	VER:infi	faire
pour	PRP	pour
recevoir	VER:infi	recevoir
tes	DET:pos	ton
enfants	NOM	enfant
les	DET:def	le
week-ends	NOM	week-end
après	ADV	après
il	PRO:cls	il
a	AUX:pres	avoir
essayé	VER:pper	essayer
de	PRP	de
se	PRO:clo	se
rattraper	VER:infi	rattraper
il	PRO:clsi	il
nous	PRO:clo	nous
achetait	VER:impf	acheter
des	DET:ind	un
conneries	NOM	connerie
je	PRO:cls	je
me	PRO:clo	me
rappelle	VER:pres	rappeler
euh	INT	euh
que	KON	que
ma	DET:pos	mon
soeur	NOM	soeur
et	KON	et
moi	PRO:ton	moi
on	PRO:cls	on
a	AUX:pres	avoir
eu	VER:pper	avoir
des	DET:ind	un
Furby	NOM	<unknown>
hé	INT	hé
hé	INT	hé
ils	PRO:cls	il
ont	AUX:pres	avoir
jamais	ADV	jamais
réussis	VER:pper	réussir
à	PRP	à
apprendre	VER:infi	apprendre
parler	VER:infi	parler
français	ADJ	français
puisque	KON	puisque
forcément	ADV	forcément
qu'	KON	que
il	PRO:cls	il
faut	VER:pres	falloir
leur	PRO:clo	lui
parler	VER:infi	parler
quasiment	ADV	quasiment
non	FNO	non
stop	NOM	stop
et	KON	et
que	KON	que
xxx	NOM	<unknown>
qu'	KON	que
un	DET:ind	un
week-end	NOM	week-end
sur	PRP	sur
deux	NUM	@card@
les	DET:def	le
machins	NOM	machin
là	ADV	là
et	KON	et
puis	KON	puis
il	PRO:cls	il
voulait	VER:impf	vouloir
sûrement	ADV	sûrement
pas	ADV	pas
que	KON	que
tu	PRO:cls	tu
les	PRO:clo	le
amènes	VER:pres	amener
ah	INT	ah
non	FNO	non
non	FNO	non
tout	DET:pre	tout
ce	PRO:dem	ce
que	PRO:rel	que
lui	PRO:ton	lui
il	PRO:clsi	il
nous	PRO:clo	nous
achetait	VER:impf	acheter
comme	KON	comme
cadeau	NOM	cadeau
il	PRO:cls	il
fallait	VER:impf	falloir
que	KON	que
ça	PRO:cls	ça
reste	VER:pres	rester
là-bas	ADV	là-bas
c'	PRO:cls	ce
est	VER:pres	être
souvent	ADV	souvent
ça	PRO:ton	ça
dans	PRP	dans
les	DET:def	le
bah	INT	bah
les	DET:def	le
parents	NOM	parent
divorcés	ADJ	divorcé
où	PRO:rel	où
euh	INT	euh
ils	PRO:cls	il
veulent	VER:pres	vouloir
pas	ADV	pas
voir	VER:infi	voir
les	DET:def	le
affaires	NOM	affaire
de	PRP	de
l'	DET:def	le
autre	ADJ	autre
ou	KON	ou
euh	INT	euh
bah	INT	bah
en	PRP	en
même	ADJ	même
temps	NOM	temps
quand	KON	quand
tu	PRO:cls	tu
vois	VER:pres	voir
par	PRP	par
exemple	NOM	exemple
euh	INT	euh
¤Pren¤	NAM	<unknown>
hum	FNO	hum
euh	INT	euh
tu	PRO:cls	tu
comprends	VER:pres	comprendre
vite	ADV	vite
pourquoi	PRO:int	pourquoi
euh	INT	euh
fils	NOM	fil|fils
à	PRP	à
¤Pren¤¤	NAM	<unknown>
voilà	FNO	voilà
euh	INT	euh
hum	FNO	hum
chaque	DET:ind	chaque
fois	NOM	fois
qu'	KON	que
il	PRO:cls	il
ramène	VER:pres	ramener
un	DET:ind	un
truc	NOM	truc
là-bas	ADV	là-bas
euh	INT	euh
que	KON	que
¤Pren¤	NAM	<unknown>
lui	PRO:clo	lui
achète	VER:pres	acheter
un	DET:ind	un
truc	NOM	truc
qu'	KON	que
il	PRO:cls	il
ramène	VER:pres	ramener
un	DET:ind	un
truc	NOM	truc
en	PRP	en
Martinique	NOM	<unknown>
il	PRO:clsi	il
le	PRO:clo	le
revoit	VER:pres	revoir
jamais	ADV	jamais
bah	INT	bah
parce	TRC	parce
qu'	KON	que
elle	PRO:cls	elle
en	PRO:clo	en
profite	VER:pres	profiter
ben	INT	ben
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
elle	PRO:cls	elle
elle	PRO:cls	elle
a	VER:pres	avoir
peut-être	ADV	peut-être
elle	PRO:cls	elle
a	VER:pres	avoir
pas	ADV	pas
les	DET:def	le
moyens	NOM	moyen
ou	KON	ou
elle	PRO:cls	elle
a	VER:pres	avoir
pas	ADV	pas
envie	NOM	envie
de	PRP	de
se	PRO:clo	se
faire	VER:infi	faire
chier	VER:infi	chier
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
donc	ADV	donc
maintenant	ADV	maintenant
quand	KON	quand
il	PRO:clsi	il
lui	PRO:clo	lui
achète	VER:pres	acheter
un	DET:ind	un
truc	NOM	truc
ça	PRO:cls	ça
doit	VER:pres	devoir
rester	VER:infi	rester
ici	ADV	ici
c'	PRO:cls	ce
est	VER:pres	être
triste	ADJ	triste
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
trop	ADV	trop
facile	ADJ	facile
sinon	ADV	sinon
c'	PRO:cls	ce
est	VER:pres	être
trop	ADV	trop
facile	ADJ	facile
parce	TRC	parce
qu'	KON	que
à	PRP	à
chaque	DET:ind	chaque
fois	NOM	fois
voilà	FNO	voilà
il	PRO:clsi	il
lui	PRO:clo	lui
achète	VER:pres	acheter
une	DET:ind	un
console	NOM	console
pour	PRP	pour
pas	ADV	pas
qu'	KON	que
il	PRO:clsi	il
s'	PRO:clo	se
ennuie	VER:pres	ennuyer
parce	TRC	parce
que	KON	que
¤Pren¤	NAM	<unknown>
il	PRO:cls	il
bosse	VER:pres	bosser
quand	KON	quand
même	ADV	même
un	DET:ind	un
peu	NOM	peu
oui	FNO	oui
et	KON	et
puis	KON	puis
il	PRO:cls	il
a	VER:pres	avoir
personne	PRO:ind	personne
voilà	FNO	voilà
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
personne	PRO:ind	personne
d'	PRP	un
autre	ADJ	autre
comme	KON	comme
gamin	NOM	gamin
là-bas	ADV	là-bas
voilà	FNO	voilà
¤Pren¤	NAM	<unknown>
elle	PRO:cls	elle
est	VER:pres	être
déjà	ADV	déjà
plus	ADV	plus
âgée	ADJ	âgé
voilà	FNO	voilà
donc	ADV	donc
euh	INT	euh
donc	ADV	donc
à	PRP	à
chaq-	NOM	<unknown>
il	PRO:clsi	il
lui	PRO:clo	lui
a	AUX:pres	avoir
acheté	VER:pper	acheter
une	DET:ind	un
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
il	PRO:cls	il
l'	PRO:clo	le
a	AUX:pres	avoir
plus	ADV	plus
revue	VER:pper	revoir
il	PRO:clsi	il
lui	PRO:clo	lui
acheté	VER:pper	acheter
une	DET:ind	un
Wii	NOM	<unknown>
il	PRO:clsi	il
l'	PRO:clo	le
a	AUX:pres	avoir
plus	ADV	plus
revue	VER:pper	revoir
non	FNO	non
mais	KON	mais
tout	PRO:ind	tout
il	PRO:cls	il
avait	VER:impf	avoir
voilà	FNO	voilà
à	PRP	à
chaque	DET:ind	chaque
fois	NOM	fois
qu'	KON	que
il	PRO:cls	il
est	VER:pres	être
là	ADV	là
moi	PRO:ton	moi
je	PRO:cls	je
lui	PRO:clo	lui
avais	AUX:impf	avoir
acheté	VER:pper	acheter
des	DET:ind	un
consoles	NOM	console
pour	PRP	pour
pas	ADV	pas
qu'	KON	que
il	PRO:clsi	il
s'	PRO:clo	se
ennuie	VER:pres	ennuyer
il	PRO:clsi	il
les	PRO:clo	le
retrouve	VER:pres	retrouver
pas	ADV	pas
donc	ADV	donc
maintenant	ADV	maintenant
la	DET:def	le
tablette	NOM	tablette
qu'	KON	que
il	PRO:clsi	il
lui	PRO:clo	lui
a	AUX:pres	avoir
acheté	VER:pper	acheter
il	PRO:cls	il
dit	VER:pres	dire
elle	PRO:cls	elle
reste	VER:pres	rester
ici	ADV	ici
il	PRO:cls	il
a	VER:pres	avoir
même	ADV	même
pas	ADV	pas
besoin	NOM	besoin
de	PRP	de
tablette	NOM	tablette
à	PRP	à
cet	DET:dem	ce
âge	NOM	âge
là	ADV	là
moi	PRO:ton	moi
je	PRO:cls	je
trouve	VER:pres	trouver
ça	PRO:ton	ça
ridicule	ADJ	ridicule
bah	INT	bah
oui	FNO	oui
mais	KON	mais
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:cls	il
veut	VER:pres	vouloir
et	KON	et
euh	INT	euh
quand	KON	quand
il	PRO:clsi	il
s'	PRO:clo	se
ennuie	VER:pres	ennuyer
tu	PRO:cls	tu
veux	VER:pres	vouloir
lui	PRO:clo	lui
acheter	VER:infi	acheter
quoi	INT	quoi
il	PRO:cls	il
va	VER:pres	aller
pas	ADV	pas
lui	PRO:clo	lui
acheter	VER:infi	acheter
un	DET:ind	un
ordinateur	NOM	ordinateur
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
peu	NOM	peu
trop	ADV	trop
cher	ADJ	cher
ben	INT	ben
et	KON	et
les	DET:def	le
bouquins	NOM	bouquin
ça	PRO:cls	ça
existe	VER:pres	exister
encore	ADV	encore
hein	INT	hein
ce	PRO:dem	ce
que	PRO:rel	que
je	PRO:cls	je
sache	VER:subp	savoir
avec	PRP	avec
du	DET:par	du
papier	NOM	papier
ouais	FNO	ouais
et	KON	et
tout	PRO:ind	tout
c'	PRO:cls	ce
est	VER:pres	être
super	ADV	super
intéressant	ADJ	intéressant
hein	INT	hein
ouais	FNO	ouais
mais	KON	mais
quand	KON	quand
tu	PRO:cls	tu
as	VER:pres	avoir
sept	NUM	@card@
ans	NOM	an
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
encore	ADV	encore
trop	ADV	trop
ton	DET:pos	ton
truc	NOM	truc
non	FNO	non
mais	KON	mais
juste	ADV	juste
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
a	AUX:pres	avoir
été	AUX:pper	être
habitué	VER:pper	habituer
aussi	ADV	aussi
à	PRP	à
toutes	DET:pre	tout
les	DET:def	le
conneries	NOM	connerie
de	PRP	de
maintenant	ADV	maintenant
tous	DET:pre	tout
les	DET:def	le
gosses	NOM	gosse
de	PRP	de
maintenant	ADV	maintenant
sont	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
bah	INT	bah
en	PRP	en
même	ADJ	même
temps	NOM	temps
euh	INT	euh
je	PRO:cls	je
comprends	VER:pres	comprendre
un	DET:ind	un
peu	NOM	peu
le	DET:def	le
principe	NOM	principe
de	PRP	de
¤Pren¤	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
peu	NOM	peu
triste	ADJ	triste
mais	KON	mais
il	PRO:clsi	il
le	PRO:clo	le
voit	VER:pres	voir
pas	ADV	pas
souvent	ADV	souvent
donc	ADV	donc
il	PRO:cls	il
veut	VER:pres	vouloir
lui	PRO:clo	lui
faire	VER:infi	faire
plaisir	NOM	plaisir
ouais	FNO	ouais
ce	PRO:dem	ce
qui	PRO:rel	qui
est	VER:pres	être
normal	ADJ	normal
hum	FNO	hum
tu	PRO:cls	tu
sais	VER:pres	savoir
tu	PRO:cls	tu
as	VER:pres	avoir
pas	ADV	pas
envie	NOM	envie
de	PRP	de
jouer	VER:infi	jouer
les	DET:def	le
gendarmes	NOM	gendarme
quand	KON	quand
tu	PRO:cls	tu
vois	VER:pres	voir
ton	DET:pos	ton
fils	NOM	fil|fils
deux	NUM	@card@
fois	NOM	fois
euh	INT	euh
un	DET:ind	un
mois	NOM	mois
et	KON	et
demi	NOM	demi
euh	INT	euh
par	PRP	par
an	NOM	an
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
mais	KON	mais
putain	INT	putain
cette	DET:dem	ce
toux	NOM	toux
elle	PRO:cls	elle
partira	VER:futu	partir
jamais	ADV	jamais
donc	ADV	donc
ouais	FNO	ouais
donc	ADV	donc
le	DET:def	le
Furby	NOM	<unknown>
à	PRP	à
la	DET:def	le
con	NOM	con
ben	INT	ben
moi	PRO:ton	moi
j'	PRO:cls	je
aimais	VER:impf	aimer
bien	ADV	bien
les	DET:def	le
Furby	NOM	<unknown>
ouais	FNO	ouais
mais	KON	mais
je	PRO:cls	je
mais	KON	mais
au	PRP:det	au
moins	ADV	moins
là-bas	ADV	là-bas
euh	INT	euh
j'	PRO:cls	je
avais	VER:impf	avoir
les	DET:def	le
je	PRO:cls	je
revoyais	VER:impf	revoir
enfin	ADV	enfin
les	DET:def	le
cassettes	NOM	cassette
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
seul	ADJ	seul
truc	NOM	truc
tout	ADV	tout
qu'	KON	que
il	PRO:cls	il
est	AUX:pres	être
reparti	VER:pper	repartir
avec	PRP	avec
c'	PRO:cls	ce
était	VER:impf	être
les	DET:def	le
cassettes	NOM	cassette
hein	INT	hein
euh	INT	euh
lors	ADV	lors
du	PRP:det	du
divorce	NOM	divorce
c'	PRO:cls	ce
est	VER:pres	être
qu'	KON	que
après	ADV	après
qu'	KON	que
il	PRO:cls	il
a	AUX:pres	avoir
pu	VER:pper	pouvoir
.	NOM:sig	<unknown>
en	PRP	en
disant	VER:ppre	dire
je	PRO:cls	je
suis	AUX:pres	être
pas	ADV	pas
reparti	VER:pper	repartir
avec	PRP	avec
les	DET:def	le
meubles	NOM	meuble
donne	VER:pres	donner
moi	PRO:ton	moi
la	DET:def	le
moitié	NOM	moitié
non	FNO	non
mais	KON	mais
euh	INT	euh
trou	NOM	trou
du	PRP:det	du
cul	NOM	cul
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
là	ADV	là
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
découvert	VER:pper	découvrir
Bartok	NOM	<unknown>
le	DET:def	le
Magnifique	ADJ	magnifique
attention	NOM	attention
le	DET:def	le
dessin	NOM	dessin
animé	ADJ	animé
que	KON	que
personne	PRO:ind	personne
ne	ADV	ne
connaît	VER:pres	connaître
quoi	PRO:int	quoi
Anastasia	NAM	<unknown>
encore	ADV	encore
Bartok	ADJ	<unknown>
walou	NOM	<unknown>
non	FNO	non
mais	KON	mais
puis	KON	puis
au	PRP:det	au
fur	NOM	<unknown>
et	KON	et
à	PRP	à
mesure	NOM	mesure
il	PRO:cls	il
a	AUX:pres	avoir
commencé	VER:pper	commencer
à	PRP	à
faire	VER:infi	faire
des	DET:ind	un
conneries	NOM	connerie
euh	INT	euh
à	PRP	à
me	PRO:clo	me
rac-	TRC	<unknown>
à	PRP	à
raconter	VER:infi	raconter
des	DET:ind	un
trucs	NOM	truc
mais	KON	mais
genre	NOM	genre
énormes	ADJ	énorme
j'	PRO:cls	je
avais	VER:impf	avoir
sept	NUM	@card@
ans	NOM	an
il	PRO:clsi	il
m'	PRO:clo	me
avait	AUX:impf	avoir
montré	VER:pper	montrer
des	DET:ind	un
papiers	NOM	papier
pour	PRP	pour
pour	PRP	pour
pou-	TRC	pou-
pour	PRP	pour
pour	PRP	pour
me	PRO:clo	me
pour	PRP	pour
me	PRO:clo	me
prouver	VER:infi	prouver
que	KON	que
ma	DET:pos	mon
mère	NOM	mère
avait	AUX:impf	avoir
fait	VER:pper	faire
une	DET:ind	un
tentative	NOM	tentative
de	PRP	de
suicide	NOM	suicide
au	PRP:det	au
moment	NOM	moment
où	PRO:rel	où
euh	INT	euh
au	PRP:det	au
moment	NOM	moment
où	PRO:rel	où
ils	PRO:cls	il
s'	PRO:clo	se
étaient	AUX:impf	être
quittés	VER:pper	quitter
et	KON	et
en	PRP	en
disant	VER:ppre	dire
tu	PRO:cls	tu
vois	VER:pres	voir
elle	PRO:cls	elle
a	AUX:pres	avoir
voulu	VER:pper	vouloir
se	PRO:clo	se
suicider	VER:infi	suicider
euh	INT	euh
en	PRP	en
vous	PRO:clo	vous
laissant	VER:ppre	laisser
à	PRP	à
elle	PRO:ton	elle
elle	PRO:cls	elle
aurait	AUX:cond	avoir
été	VER:pper	être
capable	ADJ	capable
de	PRP	de
vous	PRO:clo	vous
laisser	VER:infi	laisser
toi	PRO:ton	toi
et	KON	et
ta	DET:pos	ton
soeur	NOM	soeur
derrière	ADV	derrière
quand	KON	quand
tu	PRO:cls	tu
as	VER:pres	avoir
sept	NUM	@card@
ans	NOM	an
euh	INT	euh
¤Pren¤	NAM	<unknown>
elle	PRO:cls	elle
en	PRO:clo	en
avait	VER:impf	avoir
deux	NUM	@card@
trois	NUM	@card@
ans	NOM	an
quoi	INT	quoi
faut	VER:pres	falloir
vraiment	ADV	vraiment
être	AUX:infi	être
con	ADJ	con
hum	FNO	hum
le	DET:def	le
seul	ADJ	seul
avantage	NOM	avantage
des	PRP:det	du
week-ends	NOM	week-end
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
je	PRO:cls	je
voyais	VER:impf	voir
des	DET:ind	un
fois	NOM	fois
¤Pren¤	NAM	<unknown>
parce	TRC	parce
que	KON	que
forcément	ADV	forcément
avec	PRP	avec
¤Pren¤	NAM	<unknown>
euh	INT	euh
bah	INT	bah
ma	DET:pos	mon
ma	DET:pos	mon
euh	INT	euh
on	PRO:cls	on
le	PRO:clo	le
voyait	VER:impf	voir
euh	INT	euh
que	KON	que
quand	KON	quand
j'	PRO:cls	je
étais	VER:impf	être
chez	PRP	chez
ma	DET:pos	mon
mère	NOM	mère
je	PRO:cls	je
le	PRO:clo	le
voyais	VER:impf	voir
plus	ADV	plus
quoi	INT	quoi
parce	TRC	parce
que	KON	que
¤Pren¤	NAM	<unknown>
il	PRO:cls	il
voulait	VER:impf	vouloir
qu'	KON	que
on	PRO:cls	on
foute	VER:subp	foutre
les	DET:def	le
pieds	NOM	pied
euh	INT	euh
voulait	VER:impf	vouloir
plus	ADV	plus
foutre	VER:infi	foutre
les	DET:def	le
pieds	NOM	pied
chez	PRP	chez
ma	DET:pos	mon
mère	NOM	mère
¤Pren¤	NAM	<unknown>
a	AUX:pres	avoir
dû	VER:pper	devoir
suivre	VER:infi	suivre
pas	ADV	pas
trop	ADV	trop
le	DET:def	le
choix	NOM	choix
de	PRP	de
temps	NOM	temps
en	PRP	en
temps	NOM	temps
elle	PRO:cls	elle
avait	AUX:impf	avoir
réussi	VER:pper	réussir
à	PRP	à
filer	VER:infi	filer
en	PRP	en
douce	ADJ	doux
avec	PRP	avec
les	DET:def	le
enfants	NOM	enfant
pour	PRP	pour
voir	VER:infi	voir
sa	DET:pos	son
soeur	NOM	soeur
mais	KON	mais
pas	ADV	pas
souvent	ADV	souvent
donc	ADV	donc
le	DET:def	le
¤Pren¤	NAM	<unknown>
je	PRO:cls	je
le	PRO:clo	le
voyais	VER:impf	voir
que	KON	que
quand	KON	quand
j'	PRO:cls	je
étais	VER:impf	être
chez	PRP	chez
mon	DET:pos	mon
père	NOM	père
ce	PRO:dem	ce
qui	PRO:rel	qui
est	VER:pres	être
un	DET:ind	un
peu	NOM	peu
con	ADJ	con
parce	TRC	parce
que	KON	que
je	PRO:cls	je
me	PRO:clo	me
rappelle	VER:pres	rappeler
aussi	ADV	aussi
de	PRP	de
du	DET:par	du
dit	VER:pper	dire
le	DET:def	le
premier	ADJ	premier
nouvel	ADJ	nouveau
an	NOM	an
du	PRP:det	du
dit	NOM	dit
après	ADV	après
le	DET:def	le
qu'	KON	que
ils	PRO:cls	il
soient	AUX:subp	être
séparés	ADJ	séparé
on	PRO:cls	on
a	AUX:pres	avoir
fêté	VER:pper	fêter
chez	PRP	chez
son	DET:pos	son
autre	ADJ	autre
frère	NOM	frère
le	DET:def	le
¤Pren¤	NAM	<unknown>
il	PRO:cls	il
avait	AUX:impf	avoir
invité	VER:pper	inviter
mon	DET:pos	mon
père	NOM	père
mon	DET:pos	mon
père	NOM	père
a	AUX:pres	avoir
dit	VER:pper	dire
ben	INT	ben
non	FNO	non
je	PRO:cls	je
fais	VER:pres	faire
quelque	ADJ	<unknown>
chose	NOM	chose
donc	ADV	donc
il	PRO:cls	il
a	AUX:pres	avoir
invité	VER:pper	inviter
ma	DET:pos	mon
mère	NOM	mère
ben	INT	ben
voilà	FNO	voilà
parce	TRC	parce
que	KON	que
on	PRO:cls	on
est	VER:pres	être
ses	DET:pos	son
neveux	NOM	neveu
quand	KON	quand
même	ADV	même
ma	DET:pos	mon
mère	NOM	mère
a	AUX:pres	avoir
dit	VER:pper	dire
oui	FNO	oui
on	PRO:cls	on
y	PRO:clo	y
est	AUX:pres	être
allé	VER:pper	aller
et	KON	et
puis	KON	puis
quand	KON	quand
mon	DET:pos	mon
père	NOM	père
a	AUX:pres	avoir
dit	VER:pper	dire
bah	INT	bah
c'	PRO:cls	ce
est	AUX:pres	être
annulé	VER:pper	annuler
on	PRO:cls	on
arrive	VER:pres	arriver
et	KON	et
qu'	KON	que
il	PRO:cls	il
dit	VER:pres	dire
ben	INT	ben
attends	VER:impe	attendre
j'	PRO:cls	je
ai	AUX:pres	avoir
invité	VER:pper	inviter
¤Pren¤	NAM	<unknown>
euh	INT	euh
ben	INT	ben
il	PRO:clsi	il
lui	PRO:clo	lui
a	AUX:pres	avoir
gueulé	VER:pper	gueuler
dessus	ADV	dessus
il	PRO:clsi	il
lui	PRO:clo	lui
a	AUX:pres	avoir
fait	VER:pper	faire
la	DET:def	le
gueule	NOM	gueule
et	KON	et
ils	PRO:cls	il
se	PRO:clo	se
sont	AUX:pres	être
plus	ADV	plus
parlés	VER:pper	parler
pendant	PRP	pendant
plusieurs	DET:ind	plusieurs
années	NOM	année
de	PRP	de
toute	DET:ind	tout
façon	NOM	façon
la	DET:def	le
fratrie	NOM	fratrie
là	ADV	là
elle	PRO:cls	elle
s'	PRO:clo	se
est	VER:pres	être
depuis	ADV	depuis
depuis	ADV	depuis
depuis	ADV	depuis
que	KON	que
mes	DET:pos	mon
parents	NOM	parent
ont	AUX:pres	avoir
divorcé	VER:pper	divorcer
ils	PRO:cls	il
ont	AUX:pres	avoir
jamais	ADV	jamais
été	AUX:pper	être
capable	ADJ	capable
de	PRP	de
s'	PRO:clo	se
entendre	VER:infi	entendre
en	PRP	en
même	ADJ	même
temps	NOM	temps
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
toujours	ADV	toujours
une	DET:ind	un
merde	NOM	merde
problème	NOM	problème
de	PRP	de
pognon	NOM	pognon
lui	PRO:ton	lui
il	PRO:cls	il
a	AUX:pres	avoir
dit	VER:pper	dire
ça	PRO:ton	ça
sur	PRP	sur
ci	PRO:dem	ci
et	KON	et
des	DET:ind	un
vrais	ADJ	vrai
gamins	NOM	gamin
des	PRP:det	du
vrais	NOM	vrai
cons	ADJ	con
quoi	INT	quoi
ouais	FNO	ouais
et	KON	et
puis	KON	puis
dès	ADV	dès
que	KON	que
dès	ADV	dès
que	KON	que
la	DET:def	le
belle-mère	NOM	<unknown>
s'	PRO:clo	se
est	AUX:pres	être
fait	VER:pper	faire
engrosser	VER:infi	engrosser
bah	INT	bah
on	PRO:cls	on
l'	PRO:clo	le
a	AUX:pres	avoir
plus	ADV	plus
vu	VER:pper	voir
parce	TRC	parce
que	KON	que
soi-disant	ADJ	<unknown>
euh	INT	euh
voilà	FNO	voilà
elle	PRO:cls	elle
était	VER:impf	être
enceinte	ADJ	enceinte
hein	INT	hein
c'	PRO:cls	ce
était	VER:impf	être
difficile	ADJ	difficile
les	DET:def	le
voyages	NOM	voyage
euh	INT	euh
elle	PRO:cls	elle
reste	VER:pres	rester
assis	VER:pper	asseoir
euh	INT	euh
dans	PRP	dans
une	DET:ind	un
voiture	NOM	voiture
je	PRO:cls	je
pense	VER:pres	penser
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
quand	KON	quand
même	ADV	même
plus	ADV	plus
crevant	ADJ	crevant
comme	KON	comme
truc	NOM	truc
mais	KON	mais
bon	INT	bon
bon	INT	bon
à	PRP	à
la	DET:def	le
rigueur	NOM	rigueur
tu	PRO:cls	tu
la	PRO:clo	le
laisses	VER:pres	laisser
à	PRP	à
la	DET:def	le
maison	NOM	maison
quand	KON	quand
tu	PRO:cls	tu
es	AUX:pres	être
enceinte	VER:pper	enceindre
de	PRP	de
deux	NUM	@card@
mois	NOM	mois
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
pas	ADV	pas
trop	ADV	trop
de	PRP	de
risque	NOM	risque
qu'	KON	que
elle	PRO:cls	elle
accouche	VER:pres	accoucher
sans	PRP	sans
toi	PRO:ton	toi
donc	ADV	donc
tu	PRO:cls	tu
peux	VER:pres	pouvoir
peut-être	ADV	peut-être
t'	PRO:clo	te
absenter	VER:infi	se absenter
quatre	NUM	@card@
heures	NOM	heure
pour	PRP	pour
aller	VER:infi	aller
chercher	VER:infi	chercher
tes	DET:pos	ton
gosses	NOM	gosse
tu	PRO:cls	tu
m'	PRO:clo	me
étonnes	VER:pres	étonner
non	FNO	non
mais	KON	mais
euh	INT	euh
l'	DET:def	le
excuse	NOM	excuse
à	PRP	à
la	DET:def	le
con	NOM	con
quoi	INT	quoi
je	PRO:cls	je
me	PRO:clo	me
rappelle	VER:pres	rappeler
qu'	KON	que
il	PRO:cls	il
devait	VER:impf	devoir
nous	PRO:clo	nous
chercher	VER:infi	chercher
pour	PRP	pour
le	DET:def	le
un	DET:ind	un
