eh	INT	eh
va	VER:pres	aller
sur	PRP	sur
son	DET:pos	son
=z=yeux	NOM	<unknown>
oh	INT	oh
ben	INT	ben
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
très	ADV	très
grave	ADJ	grave
hein	INT	hein
mais	KON	mais
parce	TRC	parce
qu'	KON	que
elle	PRO:cls	elle
est	VER:pres	être
juste	ADV	juste
à	PRP	à
côté	NOM	côté
oui	FNO	oui
elle	PRO:cls	elle
va	VER:pres	aller
arriver	VER:infi	arriver
dans	PRP	dans
son	DET:pos	son
=z=yeux	NOM	<unknown>
alors	ADV	alors
la	DET:def	le
bulle	NOM	bulle
va	VER:pres	aller
arriver	VER:infi	arriver
dans	PRP	dans
son	DET:pos	son
oeil	NOM	oeil
mais	KON	mais
comme	KON	comme
elle	PRO:cls	elle
monte	VER:pres	monter
elle	PRO:cls	elle
monte	VER:pres	monter
elle	PRO:cls	elle
monte	VER:pres	monter
tout	PRO:ind	tout
en	PRP	en
haut	NOM	haut
de	PRP	de
l'	DET:def	le
eau	NOM	eau
pour	PRP	pour
arriver	VER:infi	arriver
dans	PRP	dans
l'	DET:def	le
air	NOM	air
ça	PRO:cls	ça
va	VER:pres	aller
ça	PRO:cls	ça
lui	PRO:clo	lui
fait	VER:pres	faire
pas	ADV	pas
mal	ADV	mal
ça	PRO:cls	ça
lui	PRO:clo	lui
caresse	VER:pres	caresser
la	DET:def	le
joue	NOM	joue
mais	KON	mais
celles-là	NOM	<unknown>
elles	PRO:cls	elle
sont	AUX:pres	être
arrivées	VER:pper	arriver
au	PRP:det	au
celle-là	PRO:dem	celui-là
elle	PRO:cls	elle
est	AUX:pres	être
arrivée	VER:pper	arriver
en	PRP	en
d-	TRC	d-
en	PRP	en
première	ADJ	premier
ah	INT	ah
ouais	FNO	ouais
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
qui	PRO:rel	qui
sont	AUX:pres	être
arrivées	VER:pper	arriver
en	PRP	en
premières	ADJ	premier
et	KON	et
celles-là	NOM	<unknown>
elles	PRO:cls	elle
sont	VER:pres	être
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
en	PRP	en
retard	NOM	retard
alors	ADV	alors
elles	PRO:cls	elle
vont	VER:pres	aller
monter	VER:infi	monter
monter	VER:infi	monter
monter	VER:infi	monter
hop	INT	hop
pour	PRP	pour
la	PRO:clo	le
rejoindre	VER:infi	rejoindre
ouais	FNO	ouais
elles	PRO:cls	elle
sont	VER:pres	être
un	DET:ind	un
peu	NOM	peu
en	PRP	en
retard	NOM	retard
elles	PRO:cls	elle
sont	VER:pres	être
un	DET:ind	un
peu	NOM	peu
en	PRP	en
retard	NOM	retard
.	NAM	<unknown>
il	PRO:cls	il
parle	VER:pres	parler
à	PRP	à
la	DET:def	le
pieuvre	NOM	pieuvre
ah	INT	ah
la	DET:def	le
ah	INT	ah
oui	FNO	oui
il	PRO:cls	il
va	VER:pres	aller
trouver	VER:infi	trouver
une	DET:ind	un
pieuvre	NOM	pieuvre
dans	PRP	dans
une	DET:ind	un
petite	ADJ	petit
grotte	NOM	grotte
de	PRP	de
rochers	NOM	rocher
oui	FNO	oui
les	DET:def	le
pieuvres	NOM	pieuvre
ça	PRO:cls	ça
fait	VER:pres	faire
ça	PRO:cls	ça
attrape	VER:pres	attraper
ça	PRO:cls	ça
attrape	VER:pres	attraper
?	NOM:sig	<unknown>
avec	PRP	avec
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
avec	PRP	avec
ses	DET:pos	son
ses	DET:pos	son
p-	TRC	p-
ses	DET:pos	son
pattes	NOM	patte
ben	INT	ben
elles	PRO:cls	elle
sont	VER:pres	être
grandes	ADJ	grand
hein	INT	hein
ses	DET:pos	son
pattes	NOM	patte
.	NAM	<unknown>
ouais	FNO	ouais
elles	PRO:cls	elle
ont	VER:pres	avoir
oh	INT	oh
la	DET:def	le
la	DET:def	le
toutes	DET:pre	tout
les	DET:def	le
pattes	NOM	patte
hum	FNO	hum
et	KON	et
ça	PRO:cls	ça
fait	VER:pres	faire
ça	PRO:cls	ça
nous	PRO:clo	nous
enroule	VER:pres	enrouler
.	NAM	<unknown>
non	FNO	non
ça	PRO:cls	ça
juste	ADV	juste
attrape	VER:pres	attraper
ça	PRO:ton	ça
d'	PRP	un
accord	NOM	accord
attrape	VER:pres	attraper
ça	PRO:cls	ça
attrape	VER:pres	attraper
alors	ADV	alors
tu	PRO:cls	tu
crois	VER:pres	croire
qu'	KON	que
Arc-en-ciel	NOM	<unknown>
il	PRO:cls	il
va	VER:pres	aller
aller	VER:infi	aller
dans	PRP	dans
la	DET:def	le
maison	NOM	maison
de	PRP	de
la	DET:def	le
pieuvre	NOM	pieuvre
.	NAM	<unknown>
non	FNO	non
non	FNO	non
il	PRO:cls	il
va	VER:pres	aller
pas	ADV	pas
là	ADV	là
dans	PRP	dans
la	DET:def	le
maison	NOM	maison
de	PRP	de
la	DET:def	le
pieuvre	NOM	pieuvre
tu	PRO:cls	tu
vois	VER:pres	voir
ses	DET:pos	son
yeux	NOM	oeil
ils	PRO:cls	il
brillent	VER:pres	briller
dans	PRP	dans
le	DET:def	le
noir	ADJ	noir
ouais	FNO	ouais
ils	PRO:cls	il
brillent	VER:pres	briller
un	DET:ind	un
peu	NOM	peu
hum	FNO	hum
et	KON	et
puis	KON	puis
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
le	DET:def	le
le	DET:def	le
crabe	NOM	crabe
qui	PRO:rel	qui
est	VER:pres	être
là	ADV	là
pour	PRP	pour
écouter	VER:infi	écouter
et	KON	et
aussi	ADV	aussi
petit	ADJ	petit
escargot	NOM	escargot
comme	KON	comme
on	PRO:cls	on
a	AUX:pres	avoir
vu	VER:pper	voir
tout	PRO:ind	tout
à	PRP	à
l'	DET:def	le
heure	NOM	heure
il	PRO:clsi	il
s'	PRO:clo	se
enroule	VER:pres	enrouler
hum	FNO	hum
il	PRO:clsi	il
s'	PRO:clo	se
enroule	VER:subp	enrouler
s'	PRO:clo	se
enroule	VER:pres	enrouler
il	PRO:clsi	il
est	VER:pres	être
jaune	ADJ	jaune
cette	DET:dem	ce
-ci	ADV	-ci
fois	NOM	fois
et	KON	et
là	ADV	là
il	PRO:cls	il
parle	VER:pres	parler
je	PRO:cls	je
te	PRO:clo	te
reverrai	VER:futu	revoir
comme	KON	comme
une	DET:ind	un
personnage	NOM	personnage
 	NAM	<unknown>
je	PRO:cls	je
te	PRO:clo	te
rappelle	VER:pres	rappeler
plus	ADV	plus
tard	ADV	tard
au	PRP:det	au
téléphone	NOM	téléphone
il	PRO:cls	il
veut	VER:pres	vouloir
l-	TRC	l-
il	PRO:clsi	il
veut	VER:pres	vouloir
lui	PRO:clo	lui
parler	VER:infi	parler
au	PRP:det	au
téléphone	NOM	téléphone
.	NAM	<unknown>
mais	KON	mais
non	FNO	non
il	PRO:clsi	il
lui	PRO:clo	lui
parle	VER:pres	parler
juste	ADV	juste
ah	INT	ah
tu	PRO:cls	tu
sais	VER:pres	savoir
comment	PRO:int	comment
elle	PRO:cls	elle
s'	PRO:clo	se
appelle	VER:pres	appeler
la	DET:def	le
pieuvre	NOM	pieuvre
?	NAM	<unknown>
elle	PRO:cls	elle
s'	PRO:clo	se
appelle	VER:pres	appeler
Octopus	NOM	<unknown>
ouais	FNO	ouais
moi	PRO:ton	moi
je	PRO:cls	je
la	PRO:clo	le
connais	VER:pres	connaître
elle	PRO:cls	elle
s'	PRO:clo	se
appelle	VER:pres	appeler
Octopus	NOM	<unknown>
alors	ADV	alors
l'	DET:def	le
Arc-en-ci-	NOM	<unknown>
Arc-en-ciel	NOM	<unknown>
va	VER:pres	aller
aller	VER:infi	aller
voir	VER:infi	voir
Octopus	NOM	<unknown>
et	KON	et
Octopus	NOM	<unknown>
il	PRO:cls	il
a	AUX:pres	avoir
déjà	ADV	déjà
entendu	VER:pper	entendre
parlé	VER:pper	parler
de	PRP	de
l'	DET:def	le
histoire	NOM	histoire
d'	PRP	un
Arc-en-ciel	NOM	<unknown>
avec	PRP	avec
tous	DET:pre	tout
ses	DET:pos	son
amis	NOM	ami
et	KON	et
puis	KON	puis
ses	DET:pos	son
belles	ADJ	beau
écailles	NOM	écaille
tu	PRO:cls	tu
te	PRO:clo	te
souviens	VER:pres	souvenir
.	NAM	<unknown>
tu	PRO:cls	tu
te	PRO:clo	te
souviens	VER:pres	souvenir
de	PRP	de
ça	PRO:cls	ça
regarde	VER:pres	regarder
quand	KON	quand
il	PRO:clsi	il
se	PRO:clo	se
quand	KON	quand
il	PRO:cls	il
a	VER:pres	avoir
peur	NOM	peur
xxx	NOM	<unknown>
ça	PRO:ton	ça
quand	KON	quand
il	PRO:clsi	il
se	PRO:clo	se
xxx	NOM	<unknown>
et	KON	et
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
les	DET:def	le
abeilles	NOM	abeille
qui	PRO:rel	qui
boient	VER:pres	<unknown>
du	DET:par	du
miel	NOM	miel
elles	PRO:cls	elle
boient	VER:pres	<unknown>
du	DET:par	du
miel	NOM	miel
dans	PRP	dans
les	DET:def	le
fleurs	NOM	fleur
.	NAM	<unknown>
ouais	FNO	ouais
les	DET:def	le
fleurs	NOM	fleur
d-	TRC	d-
de	PRP	de
miel	NOM	miel
elles	PRO:cls	elle
boient	VER:pres	<unknown>
hum	FNO	hum
hum	FNO	hum
et	KON	et
après	ADV	après
elles	PRO:cls	elle
recrachent	VER:pres	recracher
et	KON	et
elles	PRO:cls	elle
fabriquent	VER:pres	fabriquer
du	DET:par	du
miel	NOM	miel
ouah	INT	ouah
et	KON	et
ben	INT	ben
dis	VER:pres	dire
=s=	NOM:sig	<unknown>
donc	ADV	donc
tu	PRO:cls	tu
sais	VER:pres	savoir
plein	ADV	plein
de	PRP	de
choses	NOM	chose
sur	PRP	sur
les	DET:def	le
animaux	NOM	animal
toi	PRO:ton	toi
hein	INT	hein
tu	PRO:cls	tu
les	PRO:clo	le
as	AUX:pres	avoir
appris	VER:pper	apprendre
dans	PRP	dans
les	DET:def	le
livres	NOM	livre
toutes	DET:pre	tout
ces	DET:dem	ce
choses	NOM	chose
ou	KON	ou
c'	PRO:cls	ce
est	VER:pres	être
papa	NOM	papa
et	KON	et
maman	NOM	maman
qui	PRO:rel	qui
t'	PRO:clo	te
ont	AUX:pres	avoir
racontées	VER:pper	raconter
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
papa	NOM	papa
et	KON	et
maman	NOM	maman
oh	INT	oh
bah	INT	bah
dis-donc	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
super	ADV	super
on	PRO:cls	on
continue	VER:pres	continuer
l'	DET:def	le
histoire	NOM	histoire
.	VER:impe	<unknown>
-y	PRO:clo	y
vas	VER:impe	aller
tourne	NOM	tourne
ah	INT	ah
hum	FNO	hum
mais	KON	mais
là	ADV	là
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:clsi	il
se	PRO:clo	se
passe	VER:pres	passer
?	NAM	<unknown>
un	DET:ind	un
petit	ADJ	petit
ami	NOM	ami
qui	PRO:rel	qui
le	PRO:clo	le
rejoint	VER:pres	rejoindre
ouais	FNO	ouais
regarde	VER:impe	regarder
un	DET:ind	un
crabe	NOM	crabe
ouais	FNO	ouais
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
écrevisse	NOM	écrevisse
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
un	DET:ind	un
crabe	NOM	crabe
regarde	VER:impe	regarder
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
peu	NOM	peu
comme	KON	comme
un	DET:ind	un
crabe	NOM	crabe
pourquoi	PRO:int	pourquoi
?	NOM:sig	<unknown>
parce	TRC	parce
que	KON	que
qu'	KON	que
elle	PRO:cls	elle
a	VER:pres	avoir
des	DET:ind	un
grosses	ADJ	gros
pinces	NOM	pince
pinces	NOM	pince
comme	KON	comme
les	DET:def	le
crabes	NOM	crabe
et	KON	et
elle	PRO:cls	elle
se	PRO:clo	se
déplace	VER:pres	déplacer
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
comme	KON	comme
les	DET:def	le
crabes	NOM	crabe
mais	KON	mais
elle	PRO:cls	elle
veut	VER:pres	vouloir
monter	VER:infi	monter
comment	PRO:int	comment
on	PRO:cls	on
fait	VER:pres	faire
?	NAM	<unknown>
elle	PRO:cls	elle
veut	VER:pres	vouloir
monter	VER:infi	monter
elle	PRO:cls	elle
veut	VER:pres	vouloir
monter	VER:infi	monter
sur	PRP	sur
le	DET:def	le
rocher	NOM	rocher
.	NAM	<unknown>
ouais	FNO	ouais
ah	INT	ah
bah	INT	bah
regarde	VER:impe	regarder
elle	PRO:cls	elle
se	PRO:clo	se
débrouille	VER:pres	débrouiller
avec	PRP	avec
ses	DET:pos	son
toutes	DET:ind	tout
petites	ADJ	petit
pattes	NOM	patte
là	ADV	là
ça	PRO:ton	ça
l'	DET:def	le
aide	NOM	aide
à	PRP	à
monter	VER:infi	monter
oui	FNO	oui
je	PRO:cls	je
sais	VER:pres	savoir
mais	KON	mais
j'	PRO:cls	je
arrive	VER:pres	arriver
pas	ADV	pas
oh	INT	oh
tu	PRO:cls	tu
es	VER:pres	être
pas	ADV	pas
une	DET:ind	un
écrevisse	NOM	écrevisse
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:ton	ça
et	KON	et
là	ADV	là
regarde	VER:impe	regarder
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:cls	il
fait	VER:pres	faire
Arc-en-ciel	NOM	<unknown>
?	NAM	<unknown>
han	NOM	<unknown>
il	PRO:cls	il
est	VER:pres	être
gentil	ADJ	gentil
ouais	FNO	ouais
il	PRO:clsi	il
lui	PRO:clo	lui
donne	VER:pres	donner
s-	TRC	s-
il	PRO:cls	il
lui	PRO:clo	lui
n-	TRC	n-
d-	TRC	d-
il	PRO:clsi	il
lui	PRO:clo	lui
donne	VER:pres	donner
ça	PRO:ton	ça
à	PRP	à
lui	PRO:ton	lui
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:cls	ça
.	VER:cond	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
a	AUX:pres	avoir
vu	VER:pper	voir
comme	KON	comme
ça	PRO:ton	ça
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
écaille	NOM	écaille
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
écaille	NOM	écaille
il	PRO:clsi	il
lui	PRO:clo	lui
donne	VER:pres	donner
une	DET:ind	un
écaille	NOM	écaille
voilà	FNO	voilà
Arc-en-ciel	NOM	<unknown>
donne	VER:pres	donner
une	DET:ind	un
écaille	NOM	écaille
une	DET:ind	un
écaille	NOM	écaille
au	PRP:det	au
à	PRP	à
l'	DET:def	le
autre	ADJ	autre
petit	ADJ	petit
poisson	NOM	poisson
parce	TRC	parce
que	KON	que
il	PRO:cls	il
est	VER:pres	être
gentil	ADJ	gentil
voilà	FNO	voilà
il	PRO:cls	il
est	VER:pres	être
gentil	ADJ	gentil
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
que	KON	que
il	PRO:clsi	il
lui	PRO:clo	lui
donne	VER:pres	donner
lui	PRO:clo	lui
donne	VER:pres	donner
un	DET:ind	un
écaille	NOM	écaille
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:cls	il
va	VER:pres	aller
faire	VER:infi	faire
le	DET:def	le
petit	ADJ	petit
poisson	NOM	poisson
.	NAM	<unknown>
il	PRO:cls	il
va	VER:pres	aller
le	DET:def	le
i-	TRC	i-
il	PRO:cls	il
va	VER:pres	aller
le	PRO:clo	le
prendre	VER:infi	prendre
mais	KON	mais
il	PRO:cls	il
faut	VER:pres	falloir
pas	ADV	pas
qu'	KON	que
il	PRO:clsi	il
le	PRO:clo	le
touche	VER:pres	toucher
ah	INT	ah
bon	INT	bon
.	NAM	<unknown>
même	ADV	même
pas	ADV	pas
qu'	KON	que
il	PRO:clsi	il
le	PRO:clo	le
touche	VER:pres	toucher
parce	TRC	parce
que	KON	que
ça	PRO:cls	ça
brille	VER:pres	briller
ah	INT	ah
regarde	VER:impe	regarder
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:cls	il
a	AUX:pres	avoir
fait	VER:pper	faire
?	NAM	<unknown>
on	PRO:cls	on
le	PRO:clo	le
voit	VER:pres	voir
le	DET:def	le
poisson	NOM	poisson
il	PRO:cls	il
a	VER:pres	avoir
une	DET:ind	un
étoile	NOM	étoile
qui	PRO:rel	qui
brille	VER:pres	briller
maintenant	ADV	maintenant
ouais	FNO	ouais
une	DET:ind	un
étoile	NOM	étoile
qui	PRO:rel	qui
brille	VER:pres	briller
une	DET:ind	un
écaille	NOM	écaille
qui	PRO:rel	qui
brille	VER:pres	briller
en	PRO:clo	en
fait	VER:pres	faire
parce	TRC	parce
que	KON	que
Arc-en-ciel	NAM	<unknown>
lui	PRO:clo	lui
en	PRO:clo	en
a	AUX:pres	avoir
donné	VER:pper	donner
une	DET:ind	un
ouais	FNO	ouais
ah	INT	ah
bah	INT	bah
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
et	KON	et
lui	PRO:ton	lui
aussi xxx	NOM	<unknown>
tu	PRO:cls	tu
as	AUX:pres	avoir
donné	VER:pper	donner
une	DET:ind	un
parce	TRC	parce
que	KON	que
il	PRO:cls	il
est	VER:pres	être
très	ADV	très
gentil	ADJ	gentil
hum	FNO	hum
puis	KON	puis
il	PRO:clsi	il
en	PRO:clo	en
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
il	PRO:cls	il
a	VER:pres	avoir
pas	ADV	pas
d'	PRP	un
étoile	NOM	étoile
qui	PRO:rel	qui
brille	VER:pres	briller
celui-là	PRO:dem	celui-là
celui-là	PRO:dem	celui-là
non	FNO	non
plus	ADV	plus
il	PRO:clsi	il
en	PRO:clo	en
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
mais	KON	mais
parce	TRC	parce
qu'	KON	que
il	PRO:clsi	il
faut *	VER:cond	<unknown>
donne	VER:pres	donner
allez	INT	allez
t-	TRC	t-
hop	INT	hop
qui	PRO:rel	qui
-ce	PRO:dem	ce
est	VER:pres	être
qui	PRO:int	qui
en	PRP	en
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
d'	DET:ind	un
autre	ADJ	autre
?	NOM:sig	<unknown>
lui	PRO:ton	lui
il	PRO:clsi	il
en	PRO:clo	en
a	VER:pres	avoir
une	DET:ind	un
d'	DET:ind	un
étoile	NOM	étoile
qui	PRO:rel	qui
brille	VER:pres	briller
.	NAM	<unknown>
non	FNO	non
non	FNO	non
je	PRO:cls	je
la	PRO:clo	le
vois	VER:pres	voir
pas	ADV	pas
non	FNO	non
celui-là	PRO:dem	celui-là
non	FNO	non
plus	ADV	plus
ah	INT	ah
celui-là	PRO:dem	celui-là
celui-là	PRO:dem	celui-là
il	PRO:clsi	il
en	PRO:clo	en
a	AUX:pres	avoir
donné	VER:pper	donner
une	DET:ind	un
hum	FNO	hum
peut-être	ADV	peut-être
qu'	KON	que
il	PRO:cls	il
va	VER:pres	aller
donner	VER:infi	donner
aux	PRP:det	au
autres	ADJ	autre
après	ADV	après
mais	KON	mais
il	PRO:cls	il
aura	VER:futu	avoir
p-	TRC	p-
oh	INT	oh
regarde	VER:impe	regarder
il	PRO:cls	il
a	VER:pres	avoir
une	DET:ind	un
tous	ADV	tout
il	PRO:cls	il
les	DET:def	le
poissons	NOM	poisson
ont	VER:pres	avoir
une	DET:ind	un
étoile	NOM	étoile
qui	PRO:rel	qui
brille	VER:pres	briller
maintenant	ADV	maintenant
regarde	VER:impe	regarder
regarde	VER:impe	regarder
ah	INT	ah
ouais	FNO	ouais
regarde	VER:impe	regarder
regarde	VER:impe	regarder
regarde	VER:impe	regarder
et	KON	et
maintenant	ADV	maintenant
il	PRO:cls	il
a	VER:pres	avoir
plus	ADV	plus
de	PRP	de
écailles	NOM	écaille
Arc-en-ciel	NOM	<unknown>
il	PRO:cls	il
a	VER:pres	avoir
plus	ADV	plus
qu'	KON	que
une	DET:ind	un
étoile	NOM	étoile
qui	PRO:rel	qui
brille	VER:pres	briller
parce	TRC	parce
que	KON	que
il	PRO:clsi	il
en	PRO:clo	en
a	AUX:pres	avoir
donné	VER:pper	donner
plein	ADV	plein
aux	PRP:det	au
autres	ADJ	autre
et	KON	et
mais	KON	mais
mais	KON	mais
il	PRO:cls	il
va	VER:pres	aller
être	VER:infi	être
triste	ADJ	triste
il	PRO:cls	il
va	VER:pres	aller
être	VER:infi	être
triste	ADJ	triste
.	NAM	<unknown>
oui	FNO	oui
parce	TRC	parce
qu'	KON	que
il	PRO:clsi	il
en	PRO:clo	en
a	VER:pres	avoir
qu'	KON	que
une	DET:ind	un
mais	KON	mais
il	PRO:cls	il
est	VER:pres	être
content	ADJ	content
d'	PRP	un
en	PRP	en
avoir	AUX:infi	avoir
donné	VER:pper	donner
aux	PRP:det	au
autres	ADJ	autre
il	PRO:cls	il
est	VER:pres	être
gentil	ADJ	gentil
ou	KON	ou
d'	PRP	un
en	PRP	en
avoir	AUX:infi	avoir
donné	VER:pper	donner
aux	PRP:det	au
autres	ADJ	autre
ça	PRO:cls	ça
s'	PRO:clo	se
est	VER:pres	être
bien	ADV	bien
de	PRP	de
partager	VER:infi	partager
mais	KON	mais
parce	TRC	parce
que	KON	que
mais	KON	mais
parce	TRC	parce
qu'	KON	que
il	PRO:clsi	il
en	PRO:clo	en
a	VER:pres	avoir
une xxx	NOM	<unknown>
il	PRO:cls	il
sera	VER:futu	être
triste	ADJ	triste
oh	INT	oh
xxx	NOM	<unknown>
si	KON	si
tu	PRO:cls	tu
vois	VER:pres	voir
que	KON	que
je	PRO:cls	je
t'	PRO:clo	te
avais	AUX:impf	avoir
dit	VER:pper	dire
qu'	KON	que
il	PRO:clsi	il
s'	PRO:clo	se
ennuie	VER:pres	ennuyer
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
est	VER:pres	être
tout	ADV	tout
seul	ADJ	seul
dans	PRP	dans
la	DET:def	le
mer	NOM	mer
mais	KON	mais
ouais	FNO	ouais
il	PRO:cls	il
est	VER:pres	être
content	ADJ	content
d'	PRP	un
avoir	AUX:infi	avoir
donné	VER:pper	donner
des	DET:ind	un
des	DET:ind	un
autres	ADJ	autre
ét-	TRC	ét-
des	DET:ind	un
autres	ADJ	autre
écailles	NOM	écaille
aux	PRP:det	au
autres	ADJ	autre
regarde	VER:pres	regarder
là	ADV	là
il en	ADJ	<unknown>
=z=	NOM:sig	<unknown>
a	VER:pres	avoir
beaucoup	ADV	beaucoup
hum	FNO	hum
là	ADV	là
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
beaucoup	ADV	beaucoup
hein	INT	hein
maintenant	ADV	maintenant
on	PRO:cls	on
joue	VER:pres	jouer
à	PRP	à
ça	PRO:ton	ça
on	PRO:cls	on
joue	VER:pres	jouer
au	PRP:det	au
camion	NOM	camion
eh	INT	eh
bah	INT	bah
moi	PRO:ton	moi
je	PRO:cls	je
prends	VER:pres	prendre
la	DET:def	le
voiture	NOM	voiture
de	PRP	de
course	NOM	course
alors	ADV	alors
regarde	VER:impe	regarder
moi	PRO:ton	moi
je	PRO:cls	je
prends	VER:pres	prendre
le	DET:def	le
gros	ADJ	gros
camion	NOM	camion
bah	INT	bah
moi	PRO:ton	moi
je	PRO:cls	je
prends	VER:pres	prendre
la	DET:def	le
voiture	NOM	voiture
de	PRP	de
course	NOM	course
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qui	PRO:rel	qui
va	VER:pres	aller
le	DET:def	le
plus	ADV	plus
vite	ADV	vite
.	VER:simp	<unknown>
moi	PRO:ton	moi
parce	TRC	parce
que	KON	que
je	PRO:cls	je
suis	VER:pres	être
xxx	NOM	<unknown>
l'	DET:def	le
éclair	NOM	éclair
xxx	NOM	<unknown>
comme	KON	comme
l'	DET:def	le
éclair	NOM	éclair
oui	FNO	oui
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
on	PRO:cls	on
peut	VER:pres	pouvoir
mettre	VER:infi	mettre
des	DET:ind	un
choses	NOM	chose
dans	PRP	dans
la	DET:def	le
dans	PRP	dans
le	DET:def	le
gros	ADJ	gros
camion	NOM	camion
là	ADV	là
.	VER:simp	<unknown>
non	FNO	non
parce	TRC	parce
que	KON	que
on	PRO:cls	on
peut	VER:pres	pouvoir
pas	ADV	pas
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
trous	NOM	trou
on	PRO:cls	on
peut	VER:pres	pouvoir
pas	ADV	pas
l'	PRO:clo	le
ouvrir	VER:infi	ouvrir
.	VER:infi	<unknown>
eh	INT	eh
regarde	VER:impe	regarder
dedans	ADV	dedans
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
trou	NOM	trou
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
mettre	VER:infi	mettre
quoi	INT	quoi
ça	PRO:cls	ça
.	VER:cond	<unknown>
pour	PRP	pour
mettre	VER:infi	mettre
dedans	ADV	dedans
je	PRO:cls	je
suis	VER:pres	être
plus	ADV	plus
vite	ADV	vite
possible	ADJ	possible
ouais	FNO	ouais
je	PRO:cls	je
suis	VER:pres	être
le	DET:def	le
plus	ADV	plus
vite	ADV	vite
possible	ADJ	possible
je	PRO:cls	je
suis	VER:pres	être
le	DET:def	le
plus	ADV	plus
vite	ADV	vite
possible	ADJ	possible
moi	PRO:ton	moi
je	PRO:cls	je
suis	VER:pres	être
le	DET:def	le
plus	ADV	plus
vite	ADV	vite
possible	ADJ	possible
et	KON	et
le	DET:def	le
camion	NOM	camion
rouge	ADJ	rouge
il	PRO:clsi	il
va	VER:pres	aller
te	PRO:clo	te
rattraper	VER:infi	rattraper
hein	INT	hein
il	PRO:cls	il
est	VER:pres	être
déjà	ADV	déjà
il	PRO:clsi	il
.	VER:futu	<unknown>
loin	ADV	loin
il	PRO:cls	il
veut	VER:pres	vouloir
être	VER:infi	être
ton	DET:pos	ton
ami	NOM	ami
le	DET:def	le
camion	NOM	camion
mm	NOM	<unknown>
d'	PRP	un
accord	NOM	accord
je	PRO:cls	je
reviens	VER:pres	revenir
ah	INT	ah
bah	INT	bah
te	PRO:clo	te
voilà	FNO	voilà
voiture	NOM	voiture
bleue	ADJ	bleu
où	PRO:rel	où
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
étais	AUX:impf	être
passée	VER:pper	passer
.	NAM	<unknown>
là-bas	ADV	là-bas
où	PRO:rel	où
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
vas	VER:pres	aller
là-bas	ADV	là-bas
.	NOM:sig	<unknown>
nulle	ADJ	nul
part	NOM	part
il	PRO:cls	il
part	VER:pres	partir
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
rien	PRO:ind	rien
d'	PRP	un
intéressant	ADJ	intéressant
.	NAM	<unknown>
non	FNO	non
non	FNO	non
bah	INT	bah
viens	VER:impe	venir
on	PRO:cls	on
va	VER:pres	aller
se	PRO:clo	se
promener	VER:infi	promener
