Conversation	NOM	conversation
côté	NOM	côté
là	ADV	là
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
quoi	INT	quoi
ouais	FNO	ouais
il	PRO:cls	il
suffit	VER:pres	suffire
de	PRP	de
et	KON	et
puis	KON	puis
ici	ADV	ici
ils	PRO:cls	il
font	VER:pres	faire
.	NAM	<unknown>
ils	PRO:cls	il
font	VER:pres	faire
quoi	INT	quoi
ici	ADV	ici
.	VER:simp	<unknown>
oh	INT	oh
ils	PRO:cls	il
font	VER:pres	faire
.	NAM	<unknown>
ils	PRO:cls	il
font	VER:pres	faire
des	DET:ind	un
petites	ADJ	petit
patates	NOM	patate
.	NAM	<unknown>
ils	PRO:cls	il
font	VER:pres	faire
des	DET:ind	un
patates	NOM	patate
des	PRP:det	du
gâteaux	NOM	gâteau
//euh	MLT	<unknown>
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
du	DET:par	du
melon	NOM	melon
euh	INT	euh
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
du	DET:par	du
melon	NOM	melon
euh	INT	euh
///et	MLT	<unknown>
puis	KON	puis
ils	PRO:cls	il
font	VER:pres	faire
de	PRP	de
la	DET:def	le
sauce	NOM	sauce
euh	INT	euh
de	PRP	de
la	DET:def	le
sauce	NOM	sauce
tomate	NOM	tomate
euh	INT	euh
ils	PRO:cls	il
font	VER:pres	faire
aussi	ADV	aussi
euh//	MLT	<unknown>
hum	FNO	hum
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
je	PRO:cls	je
raconte	VER:pres	raconter
euh	INT	euh
oui	FNO	oui
ils	PRO:cls	il
font	VER:pres	faire
aussi	ADV	aussi
euh	INT	euh
ben	INT	ben
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
ce	PRO:dem	ce
qu'	PRO:rel	que
ils	PRO:cls	il
font	VER:pres	faire
moi	PRO:ton	moi
aussi//	ADV	<unknown>
là	ADV	là
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
tête	NOM	tête
de	PRP	de
poulet//	NOM	<unknown>
ah	INT	ah
oui	FNO	oui
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
tête	NOM	tête
de	PRP	de
poulet	NOM	poulet
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
plein	ADV	plein
de	PRP	de
casseroles	NOM	casserole
partout	ADV	partout
et	KON	et
puis	KON	puis
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
plein	ADV	plein
d'	PRP	un
enfants	NOM	enfant
partout	ADV	partout
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
plein	ADV	plein
d'	PRP	un
enfants	NOM	enfant
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
tous	DET:pre	tout
les	DET:def	le
enfants	NOM	enfant
qui	PRO:rel	qui
sont	VER:pres	être
là	ADV	là
et	KON	et
lui	PRO:ton	lui
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
trouvé	VER:pper	trouver
il	PRO:cls	il
est	VER:pres	être
ici	ADV	ici
il	PRO:cls	il
est	VER:pres	être
ici	ADV	ici
.	NOM:sig	<unknown>
il	PRO:cls	il
est	VER:pres	être
ici=	NOM	<unknown>
il	PRO:cls	il
est	VER:pres	être
ici	ADV	ici
et	KON	et
-ci	ADV	-ci
celui	PRO:dem	celui
il	PRO:clsi	il
est	VER:pres	être
où	PRO:rel	où
celui-	TRC	<unknown>
ci	PRO:dem	ci
il	PRO:clsi	il
est	VER:pres	être
Martin	NOM	martin
Martin	NOM	martin
il	PRO:cls	il
est	VER:pres	être
euh	INT	euh
de	PRP	de
l'	DET:def	le
autre	ADJ	autre
côté	NOM	côté
je	PRO:cls	je
pense	VER:pres	penser
je	PRO:cls	je
pense	VER:pres	penser
qu'	KON	que
il	PRO:cls	il
est	VER:pres	être
de	PRP	de
l'	DET:def	le
autre	ADJ	autre
côté	NOM	côté
Martin//	MLT	<unknown>
Martin	NOM	martin
où	PRO:rel	où
te	PRO:clo	te
caches	VER:pres	cacher
tu	PRO:cls	tu
où	PRO:rel	où
te	PRO:clo	te
caches	VER:pres	cacher
tu	PRO:cls	tu
Martin	NOM	martin
où	PRO:rel	où
te	PRO:clo	te
caches	VER:pres	cacher
tu	PRO:cls	tu
Martin	NOM	martin
et	KON	et
ben	INT	ben
xxx	NOM	<unknown>
il	PRO:cls	il
est	VER:pres	être
ici	ADV	ici
où	PRO:int	où
là	ADV	là
près	ADV	près
de	PRP	de
la	DET:def	le
poubelle	NOM	poubelle
viens	VER:impe	venir
voir	VER:infi	voir
ah	INT	ah
ouais	FNO	ouais
il	PRO:cls	il
est	VER:pres	être
ici	ADV	ici
Martin	NOM	martin
.	NAM	<unknown>
près	ADV	près
de	PRP	de
la	DET:def	le
poubelle//	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
lui	PRO:ton	lui
Martin	NOM	martin
hum	FNO	hum
Martin	NOM	martin
oufoufoufouf	NOM	<unknown>
beur	ADJ	<unknown>
il	PRO:clsi	il
va	VER:pres	aller
se	PRO:clo	se
couper	VER:infi	couper
ça	PRO:cls	ça
se	PRO:clo	se
trouve	VER:pres	trouver
le	DET:def	le
petit	ADJ	petit
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
Mathieu	NOM	<unknown>
qui	PRO:rel	qui
lui	PRO:clo	lui
c'	PRO:cls	ce
est	VER:pres	être
Mathieu	NOM	<unknown>
hum	FNO	hum
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
il	PRO:cls	il
va	VER:pres	aller
se	PRO:clo	se
couper	VER:infi	couper
il	PRO:clsi	il
est	VER:pres	être
en	PRP	en
train	NOM	train
de///	ADV	<unknown>
il	PRO:cls	il
est	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
faire	VER:infi	faire
un	DET:ind	un
concombre	NOM	concombre
ben	INT	ben
oui	FNO	oui
mais	KON	mais
il	PRO:cls	il
va	VER:pres	aller
pas	ADV	pas
se	PRO:clo	se
couper	VER:infi	couper
t'	PRO:clo	te
inquiètes	VER:pres	inquiéter
il	PRO:clsi	il
fait	VER:pres	faire
comme	KON	comme
ça	PRO:ton	ça
.	NAM	<unknown>
il	PRO:cls	il
fait	VER:pres	faire
comme	KON	comme
ça	PRO:ton	ça
et	KON	et
puis	KON	puis
il	PRO:cls	il
fait	VER:pres	faire
avec	PRP	avec
le	DET:def	le
.	NOM:sig	<unknown>
toute	DET:ind	tout
façon	NOM	façon
il	PRO:cls	il
fait	VER:pres	faire
vite	ADV	vite
ouais	FNO	ouais
comme	KON	comme
les	DET:def	le
grands	ADJ	grand
cuisiniers	NOM	cuisinier
.	NAM	<unknown>
hum	FNO	hum
comme	KON	comme
ça	PRO:ton	ça
hum	FNO	hum
il	PRO:cls	il
balance	VER:pres	balancer
plein	ADV	plein
de	PRP	de
concomb-bre	NOM	<unknown>
partout	ADV	partout
ouais	FNO	ouais
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
d'	PRP	un
ailleurs	ADV	ailleurs
lui	PRO:ton	lui
il	PRO:cls	il
est	VER:pres	être
pas	ADV	pas
content	ADJ	content
hum	FNO	hum
il	PRO:cls	il
est	VER:pres	être
pas	ADV	pas
content	ADJ	content
hein	INT	hein
.	VER:impe	<unknown>
regarde	VER:impe	regarder
lui	PRO:ton	lui
il	PRO:cls	il
est	VER:pres	être
content	ADJ	content
hum	FNO	hum
elle	PRO:ton	elle
elle	PRO:cls	elle
est	VER:pres	être
avec	PRP	avec
ses	DET:pos	son
les	DET:def	le
couettes	NOM	couette
noires	ADJ	noir
elle	PRO:cls	elle
est	VER:pres	être
où	PRO:int	où
elle	PRO:ton	elle
elle	PRO:cls	elle
est	VER:pres	être
là	ADV	là
du	PRP:det	du
coté	NOM	coté
là	ADV	là
.	VER:simp	<unknown>
ah	INT	ah
elle	PRO:cls	elle
est	VER:pres	être
là	ADV	là
voilà	FNO	voilà
elle	PRO:cls	elle
est	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
goûter	VER:infi	goûter
le	DET:def	le
melon	NOM	melon
où	PRO:rel	où
viens	VER:pres	venir
voir	VER:infi	voir
ah	INT	ah
oui	FNO	oui
.	NAM	<unknown>
elle	PRO:cls	elle
va	VER:pres	aller
goûter	VER:infi	goûter
le	DET:def	le
melon	NOM	melon
hum	FNO	hum
peut-être	ADV	peut-être
qu'	KON	que
elle	PRO:cls	elle
veutsegaver	NOM	<unknown>
de	PRP	de
melon	NOM	melon
.	NAM	<unknown>
alors	ADV	alors
et	KON	et
le	DET:def	le
monsieur	NOM	monsieur
et	KON	et
le	DET:def	le
monsieur	NOM	monsieur
et	KON	et
.	NAM	<unknown>
et	KON	et
puis	KON	puis
le	DET:def	le
monsieur	NOM	monsieur
là	ADV	là
le	DET:def	le
monsieur	NOM	monsieur
là	ADV	là
il	PRO:cls	il
voit	VER:pres	voir
rien	PRO:ind	rien
et	KON	et
puis	KON	puis
hop	INT	hop
euh	INT	euh
elle	PRO:ton	elle
elle	PRO:cls	elle
va	VER:pres	aller
se	PRO:clo	se
gaver	VER:infi	gaver
hum	FNO	hum
elle	PRO:cls	elle
va	VER:pres	aller
se	PRO:clo	se
gaver	VER:infi	gaver
de	PRP	de
friandises	NOM	friandise
et	KON	et
j'	PRO:cls	je
aime	VER:pres	aimer
bien	ADV	bien
j'	PRO:cls	je
aime	VER:pres	aimer
bien	ADV	bien
parce	TRC	parce
que	KON	que
euh	INT	euh
lui	PRO:ton	lui
il	PRO:cls	il
est	AUX:pres	être
caché	VER:pper	cacher
derrière	PRP	derrière
la	DET:def	le
porte	NOM	porte
et	KON	et
puis	KON	puis
lui	PRO:ton	lui
fait	VER:pres	faire
et	KON	et
puis	KON	puis
lui	PRO:ton	lui
il	PRO:cls	il
lâche	VER:pres	lâcher
tout	PRO:ind	tout
hum	FNO	hum
il	PRO:clsi	il
lui	PRO:clo	lui
a	AUX:pres	avoir
fait	VER:pper	faire
peur	NOM	peur
ouais	FNO	ouais
il	PRO:cls	il
a	AUX:pres	avoir
fait	VER:pper	faire
tout	PRO:ind	tout
par	PRP	par
terre	NOM	terre
eh	INT	eh
ouais	FNO	ouais
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
.	VER:futu	<unknown>
a	VER:pres	avoir
même	ADJ	même
qui	PRO:rel	qui
casse	VER:pres	casser
ouais	FNO	ouais
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
.	VER:futu	<unknown>
a	VER:pres	avoir
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
lui	PRO:ton	lui
il	PRO:cls	il
fait	VER:pres	faire
quoi	INT	quoi
sinon	ADV	sinon
il	PRO:cls	il
mange	VER:pres	manger
les	DET:def	le
gâteaux	NOM	gâteau
lui	PRO:ton	lui
qui	PRO:rel	qui
lui	PRO:clo	lui
hum	FNO	hum
ah	INT	ah
ouais	FNO	ouais
il	PRO:cls	il
mange	VER:pres	manger
les	DET:def	le
gâteaux	NOM	gâteau
ah	INT	ah
ouais	FNO	ouais
tiens	INT	tiens
euh	INT	euh
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
cuisinier	NOM	cuisinier
qui	PRO:rel	qui
fabrique	VER:pres	fabriquer
les	DET:def	le
les	DET:def	le
gâteaux	NOM	gâteau
et	KON	et
puis	KON	puis
après	ADV	après
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
.	VER:futu	<unknown>
a	VER:pres	avoir
un	DET:ind	un
qui	PRO:rel	qui
qui	PRO:rel	qui
se	PRO:clo	se
gave	VER:pres	gaver
de	PRP	de
ga-	TRC	ga-
de	PRP	de
gâteaux	NOM	gâteau
et	KON	et
puis	KON	puis
hop	INT	hop
-il	PRO:clsi	il
i	VER:futu	<unknown>
se	PRO:clo	se
bourre	VER:pres	bourrer
de	PRP	de
et	KON	et
après	ADV	après
il	PRO:cls	il
fait	VER:pres	faire
et	KON	et
puis	KON	puis
il	PRO:cls	il
mange	VER:pres	manger
tous	DET:pre	tout
les	DET:def	le
gâteaux	NOM	gâteau
puis	KON	puis
après	ADV	après
euh	INT	euh
il	PRO:clsi	il
il	PRO:clsi	il
a	VER:pres	avoir
mal	ADV	mal
au	PRP:det	au
ventre	NOM	ventre
et	KON	et
puis	KON	puis
ah	INT	ah
ouais	FNO	ouais
après	ADV	après
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
qu'	KON	que
il	PRO:cls	il
doit	VER:pres	devoir
avoir	VER:infi	avoir
mal	ADV	mal
au	PRP:det	au
ventre	NOM	ventre
parce	TRC	parce
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
.	VER:futu	<unknown>
a	VER:pres	avoir
beaucoup	ADV	beaucoup
des	DET:ind	un
gâteaux	NOM	gâteau
hein	INT	hein
bah	INT	bah
oui	FNO	oui
.	NAM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
quoi	INT	quoi
d'	PRP	un
autre	ADJ	autre
ici	ADV	ici
ils	PRO:cls	il
sont	VER:pres	être
où	PRO:int	où
les	DET:def	le
autres	ADJ	autre
des	DET:ind	un
petites	ADJ	petit
tartes	NOM	tarte
ouais	FNO	ouais
ici	ADV	ici
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
tarte	NOM	tarte
ici	ADV	ici
aussi	ADV	aussi
ici	ADV	ici
aussi	ADV	aussi
partout	ADV	partout
et	KON	et
lui	PRO:ton	lui
il	PRO:cls	il
va	VER:pres	aller
tomber	VER:infi	tomber
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
il	PRO:cls	il
est	VER:pres	être
où	PRO:int	où
sur	PRP	sur
la	DET:def	le
porte	NOM	porte
ah	INT	ah
oui	FNO	oui
il	PRO:cls	il
va	VER:pres	aller
tomber	VER:infi	tomber
en	PRP	en
plus	ADV	plus
il	PRO:clsi	il
s'	PRO:clo	se
accroche	VER:pres	accrocher
avec	PRP	avec
ses	DET:pos	son
pieds	NOM	pied
hein	INT	hein
hum	FNO	hum
il	PRO:cls	il
va	VER:pres	aller
tomber	VER:infi	tomber
mais	KON	mais
là	ADV	là
.	VER:simp	<unknown>
mais	KON	mais
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
qu'	KON	que
une	DET:ind	un
image	NOM	image
il	PRO:cls	il
peut	VER:pres	pouvoir
pas	ADV	pas
ah	INT	ah
ben	INT	ben
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
c'	PRO:cls	ce
est	VER:pres	être
tout	ADV	tout
fixe	ADJ	fixe
hum	FNO	hum
c'	PRO:cls	ce
est	AUX:pres	être
fixé	VER:pper	fixer
les	DET:def	le
gens	NOM	gens
ils	PRO:cls	il
sont	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
ouais	FNO	ouais
comme	KON	comme
sur	PRP	sur
les	DET:def	le
photos	NOM:trc	photographie
ouais	FNO	ouais
comme	KON	comme
ça	PRO:ton	ça
ils	PRO:cls	il
bougent	VER:pres	bouger
même	ADV	même
pas	ADV	pas
-ils	ADJ	<unknown>
i	NOM	<unknown>
respirent	VER:pres	respirer
même	ADV	même
pas	ADV	pas
ils	PRO:cls	il
sont	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
hum	FNO	hum
et	KON	et
ceux	PRO:dem	celui
qui	PRO:rel	qui
sont	AUX:pres	être
morts	VER:pper	mourir
ils	PRO:cls	il
sont	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
-ils	NAM	<unknown>
i	VER:futu	<unknown>
sont	VER:pres	être
ils	PRO:cls	il
sont	AUX:pres	être
morts	VER:pper	mourir
et	KON	et
puis	KON	puis
ils	PRO:cls	il
sont	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
ouais	FNO	ouais
ils	PRO:cls	il
bougent	VER:pres	bouger
plus	ADV	plus
non	FNO	non
plus	ADV	plus
ils	PRO:cls	il
sont	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
et	KON	et
puis	KON	puis
ils	PRO:cls	il
respirent	VER:pres	respirer
plus	ADV	plus
hum	FNO	hum
puis	KON	puis
voilà	FNO	voilà
comment	PRO:int	comment
on	PRO:cls	on
est	AUX:pres	être
mort	VER:pper	mourir
hum	FNO	hum
lui	PRO:ton	lui
aussi	ADV	aussi
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
oh	INT	oh
lui	PRO:ton	lui
il	PRO:cls	il
a	VER:pres	avoir
envie	NOM	envie
de	PRP	de
manger	VER:infi	manger
la	DET:def	le
tarte	NOM	tarte
par	PRP	par
contre	NOM	contre
qui	PRO:rel	qui
-ci	ADV	-ci
celui	PRO:dem	celui
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
fille	NOM	fille
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
fille	NOM	fille
oui	FNO	oui
ah	INT	ah
.	NAM	<unknown>
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
humhan	NOM	<unknown>
ah	INT	ah
elle	PRO:cls	elle
vient	VER:pres	venir
de	PRP	de
manger	VER:infi	manger
.	NAM	<unknown>
elle	PRO:cls	elle
se	PRO:clo	se
met	VER:pres	mettre
le	DET:def	le
doigt	NOM	doigt
dans	PRP	dans
le	DET:def	le
nez	NOM	nez
hum	FNO	hum
han	NOM	<unknown>
ah	INT	ah
elle	PRO:cls	elle
vient	VER:pres	venir
de	PRP	de
manger	VER:infi	manger
.	NAM	<unknown>
ouais	FNO	ouais
bxxx	NOM	<unknown>
elle	PRO:cls	elle
mange	VER:pres	manger
les	DET:def	le
mirabelles	NOM	mirabelle
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
sur	PRP	sur
la	DET:def	le
tarte	NOM	tarte
ouais	FNO	ouais
et	KON	et
puis	KON	puis
lui	PRO:ton	lui
il	PRO:cls	il
est	VER:pres	être
pas	ADV	pas
trop	ADV	trop
con-content	VER:pres	<unknown>
il	PRO:cls	il
fait	VER:pres	faire
ça	PRO:ton	ça
hum	FNO	hum
ouais	FNO	ouais
il	PRO:cls	il
fait	VER:pres	faire
une	DET:ind	un
tête	NOM	tête
méchante	ADJ	méchant
ouais	FNO	ouais
il	PRO:cls	il
fait	VER:pres	faire
il	PRO:cls	il
va	VER:pres	aller
la	PRO:clo	le
disputer	VER:infi	disputer
ouais	FNO	ouais
et	KON	et
puis	KON	puis
là	ADV	là
elle	PRO:cls	elle
rigole	VER:pres	rigoler
et	KON	et
puis	KON	puis
il	PRO:cls	il
fait	VER:pres	faire
comme	KON	comme
ça	PRO:ton	ça
il	PRO:cls	il
fait	VER:pres	faire
comme	KON	comme
ça	PRO:ton	ça
il	PRO:cls	il
est	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
et	KON	et
il	PRO:cls	il
a	VER:pres	avoir
son	DET:pos	son
chapeau	NOM	chapeau
comme	KON	comme
ça	PRO:ton	ça
ouais	FNO	ouais
il	PRO:cls	il
est	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
avec	PRP	avec
un	DET:ind	un
couteau	NOM	couteau
il	PRO:cls	il
est	AUX:pres	être
co*	VER:pper	<unknown>
-il	PRO:clsi	il
est	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
avec	PRP	avec
un	DET:ind	un
couteau	NOM	couteau
il	PRO:cls	il
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
couteau	NOM	couteau
lui	PRO:ton	lui
qui	PRO:rel	qui
lui	PRO:clo	lui
lui	PRO:clo	lui
ouais	FNO	ouais
mais	KON	mais
non	FNO	non
mais	KON	mais
je	PRO:cls	je
parle	VER:pres	parler
de	PRP	de
lui	PRO:ton	lui
ah	INT	ah
tu	PRO:cls	tu
parles	VER:pres	parler
de	PRP	de
lui	PRO:ton	lui
lui	PRO:ton	lui
il	PRO:cls	il
fait	VER:pres	faire
ahah	NOM	<unknown>
hum	FNO	hum
xxx	NOM	<unknown>
là	ADV	là
il	PRO:cls	il
est	AUX:pres	être
fâché	VER:pper	fâcher
hein	INT	hein
ca	NOM	<unknown>
se	PRO:clo	se
voit	VER:pres	voir
ouais	FNO	ouais
elle	PRO:ton	elle
elle	PRO:cls	elle
jongle	VER:pres	jongler
avec	PRP	avec
les	DET:def	le
assiettes	NOM	assiette
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
dangereux	ADJ	dangereux
aussi	ADV	aussi
ça	PRO:ton	ça
ben	INT	ben
oui	FNO	oui
parce	TRC	parce
parce	TRC	parce
qu'	KON	que
on	PRO:cls	on
peut	VER:pres	pouvoir
se	PRO:clo	se
couper	VER:infi	couper
la	DET:def	le
tête	NOM	tête
hein	INT	hein
ben	INT	ben
si	KON	si
elle	PRO:cls	elle
prend	VER:pres	prendre
un	DET:ind	un
bout	NOM	bout
et	KON	et
puis	KON	puis
euh	INT	euh
hop	INT	hop
elle	PRO:ton	elle
elle	PRO:cls	elle
jongle	VER:pres	jongler
et	KON	et
puis	KON	puis
elle	PRO:cls	elle
voit	VER:pres	voir
rien	PRO:ind	rien
pchhh	NOM	<unknown>
ça	PRO:cls	ça
lui	PRO:clo	lui
découpe	VER:pres	découper
la	DET:def	le
tête	NOM	tête
ouais	FNO	ouais
on	PRO:cls	on
v-	TRC	v-
on	PRO:cls	on
voit	VER:pres	voir
le	DET:def	le
crâne	NOM	crâne
hein	INT	hein
elle	PRO:cls	elle
voit	VER:pres	voir
le	DET:def	le
crâne	NOM	crâne
carrément	ADV	carrément
elle	PRO:cls	elle
va	VER:pres	aller
à	PRP	à
l'	DET:def	le
hôpital	NOM	hôpital
ben	INT	ben
oui	FNO	oui
et	KON	et
puis	KON	puis
elle	PRO:cls	elle
est	AUX:pres	être
morte	VER:pper	mourir
hein	INT	hein
ben	INT	ben
pas	ADV	pas
forcément	ADV	forcément
si	KON	si
les	DET:def	le
médecins	NOM	médecin
ils	PRO:cls	il
la	PRO:clo	le
soignent	VER:pres	soigner
ben	INT	ben
non	FNO	non
mais	KON	mais
euh	INT	euh
des	DET:ind	un
fois	NOM	fois
si	KON	si
les	DET:def	le
médecins	NOM	médecin
ils	PRO:cls	il
la	PRO:clo	le
soignent	VER:pres	soigner
pas	ADV	pas
el-	TRC	<unknown>
elle	PRO:cls	elle
est	AUX:pres	être
morte	VER:pper	mourir
ah	INT	ah
ben	INT	ben
oui	FNO	oui
si	KON	si
ils	PRO:cls	il
la	PRO:clo	le
soignent	VER:pres	soigner
pas	ADV	pas
elle	PRO:ton	elle
elle	PRO:cls	elle
s'	PRO:clo	se
appelle	VER:pres	appeler
comment	PRO:int	comment
elle	PRO:cls	elle
s'	PRO:clo	se
appelle	VER:pres	appeler
Josette	NAM	<unknown>
eh	INT	eh
Josette	NAM	<unknown>
comme	KON	comme
euh	INT	euh
chez	PRP	chez
nous	PRO:ton	nous
avant	ADV	avant
elle	PRO:cls	elle
faisait	VER:impf	faire
elle	PRO:cls	elle
faisait	VER:impf	faire
le	DET:def	le
repassage	NOM	repassage
et	KON	et
tout	PRO:ind	tout
et	KON	et
elle	PRO:cls	elle
s'	PRO:clo	se
appelait	VER:impf	appeler
Josette	NAM	<unknown>
ouais	FNO	ouais
elle	PRO:cls	elle
s'	PRO:clo	se
appelait	VER:impf	appeler
Josette	NAM	<unknown>
et	KON	et
celui	PRO:dem	celui
qui	PRO:rel	qui
prend	VER:pres	prendre
le	DET:def	le
bain	NOM	bain
là	ADV	là
lui	PRO:ton	lui
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
Lulu	NAM	<unknown>
Lulu	NAM	<unknown>
tout	ADV	tout
nu	ADJ	nu
ouais	FNO	ouais
Lulu	NAM	<unknown>
tout	ADV	tout
nu	ADJ	nu
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
Lulu	NAM	<unknown>
tout	ADV	tout
nu	ADJ	nu
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
prénom	NOM	prénom
parce	TRC	parce
que	KON	que
Lulu	NAM	<unknown>
tout	PRO:ind	tout
tout	PRO:ind	tout
Lulu	VER:pper	<unknown>
tout	DET:ind	tout
nu	ADJ	nu
ca	NOM	<unknown>
rime	NOM	rime
hum	FNO	hum
ouais	FNO	ouais
Lulu	NAM	<unknown>
tout	ADV	tout
nu	ADJ	nu
et	KON	et
là	ADV	là
c'	PRO:cls	ce
était	VER:impf	être
Josette	NOM	<unknown>
à	PRP	à
lunettes	NOM	lunettes
ca	NOM	<unknown>
rime	NOM	rime
aussi	ADV	aussi
ben	INT	ben
oui	FNO	oui
Josette	NAM	<unknown>
à	PRP	à
lunettes	NOM	lunettes
ca	NOM	<unknown>
rime	NOM	rime
et	KON	et
puis	KON	puis
elle	PRO:cls	elle
Zoé	NOM	zoé
doigts	NOM	doigt
dans	PRP	dans
le	DET:def	le
nez	NOM	nez
c'	PRO:cls	ce
était	VER:impf	être
celle	PRO:dem	celui
qu'	PRO:rel	que
on	PRO:cls	on
a	AUX:pres	avoir
vu	VER:pper	voir
tout	PRO:ind	tout
à	PRP	à
l'	DET:def	le
heure	NOM	heure
Zoé	NOM	zoé
doigts	NOM	doigt
dans	PRP	dans
le	DET:def	le
nez	NOM	nez
et	KON	et
elle	PRO:ton	elle
c'	PRO:cls	ce
est	VER:pres	être
Juliette	NOM	<unknown>
des	PRP:det	du
couettes	NOM	couette
Juliette	NAM	<unknown>
des	PRP:det	du
couettes	NOM	couette
parce	TRC	parce
qu'	KON	que
elle	PRO:cls	elle
a	VER:pres	avoir
des	DET:ind	un
couettes	NOM	couette
et	KON	et
puis	KON	puis
lui	PRO:ton	lui
Ignace	NOM	<unknown>
la	DET:def	le
grimace	NOM	grimace
en	PRP	en
plus	ADV	plus
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
Ignace	NOM	<unknown>
la	DET:def	le
grimace	NOM	grimace
c'	PRO:cls	ce
est	VER:pres	être
lui	PRO:ton	lui
qui	PRO:rel	qui
faisait	VER:impf	faire
peur	NOM	peur
aux	PRP:det	au
gens	NOM	gens
et	KON	et
puis	KON	puis
lui	PRO:ton	lui
c'	PRO:cls	ce
est	VER:pres	être
Martin	NOM	martin
Ouinouin	NOM	<unknown>
et	KON	et
puis	KON	puis
elle	PRO:ton	elle
ben	INT	ben
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
xxxet	ADJ	<unknown>
et	KON	et
lui	PRO:ton	lui
elle	PRO:cls	elle
c'	PRO:cls	ce
est	VER:pres	être
Mi-	TRC	mi-
euh	INT	euh
Mireille	NOM	<unknown>
grandes	ADJ	grand
oreilles	NOM	oreille
Mireille	NOM	<unknown>
grandes	ADJ	grand
oreilles	NOM	oreille
et	KON	et
puis	KON	puis
lui	PRO:ton	lui
ben	INT	ben
on	PRO:cls	on
l'	PRO:clo	le
a	AUX:pres	avoir
déjà	ADV	déjà
dit	VER:pper	dire
et	KON	et
lui	PRO:clo	lui
Jennifer	VER:infi	<unknown>
à	PRP	à
l'	DET:def	le
envers	NOM	envers
euh	INT	euh
et	KON	et
elle	PRO:ton	elle
ben	INT	ben
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:ton	ça
